"Player","Team","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"Alberth Elis","HOU","3.6807","0.1502","-0.5806","-0.2802","3.6275","0.6301","7.2277"
"Miguel Almirón","ATL","4.1868","0.8527","0.0938","-0.4231","1.4434","1.0451","7.1987"
"Darwin Quintero","MIN","3.0738","0.0514","-0.2815","2.8986","-0.1725","-0.1128","5.457"
"Sebastián Blanco","POR","2.2019","0.5152","-0.084","1.4246","1.2274","0.158","5.4431"
"Maximiliano Moralez","NYC","0.8002","0.4","0.2536","0.7192","2.1908","0.8159","5.1797"
"Alphonso Davies","VAN","4.6846","0.1685","1.4074","-0.4028","-0.9462","0.1627","5.0742"
"Josef Martínez","ATL","0.1009","0.2879","-0.2246","0.2659","2.8499","1.683","4.963"
"Carlos Vela","LAFC","0.7493","0.6933","-0.2977","2.614","0.6817","0.3708","4.8114"
"Bradley Wright-Phillips","NYRB","-0.2737","0.3476","-0.2148","0.7553","2.4428","1.5369","4.5941"
"Johnny Russell","SKC","2.6606","0.8247","-0.6602","-0.1023","1.0485","0.67","4.4413"
"Luciano Acosta","DCU","1.9465","-0.0557","-0.0503","1.9905","0.4867","-0.2235","4.0942"
"Ola Kamara","LAG","-0.5414","0.2212","0.0066","-0.0381","4.377","0.0551","4.0804"
"Zlatan Ibrahimovic","LAG","0.1666","0.2798","0.7621","1.0592","1.5542","-0.2162","3.6057"
"Leandro González Pirez","ATL","0.7851","0.6181","0.8037","0.9949","-0.0528","0.2374","3.3864"
"Michael Bradley","TOR","0.4934","0.0645","2.298","1.0175","-0.5204","-0.1259","3.2271"
"Graham Zusi","SKC","1.3919","0.1493","0.7647","0.2872","0.2063","0.2976","3.097"
"Ignacio Piatti","MTL","2.4908","0.3328","0.2078","0.4022","-0.1561","-0.182","3.0955"
"Romell Quioto","HOU","2.4567","-0.0603","-0.4458","1.3647","-0.4353","0.0645","2.9445"
"Jonathan Osorio","TOR","0.3156","0.1003","0.4629","-0.7983","2.2437","0.5934","2.9176"
"Kendall Waston","VAN","0.2414","-0.4013","1.5824","-0.1877","1.4859","0.167","2.8877"
"Michael Barrios","FCD","2.51","-0.1638","-0.106","0.5703","-0.1154","0.1784","2.8735"
"Saphir Taïder","MTL","1.9058","0.5886","-0.4056","0.0622","0.53","0.1572","2.8382"
"Diego Valeri","POR","-0.0893","0.2347","0.0183","1.0527","0.9351","0.5355","2.687"
"Yoshimar Yotún","ORL","0.7328","0.4013","0.4351","1.664","-0.2557","-0.3161","2.6614"
"Alejandro Bedoya","PHI","0.6234","-0.3651","-0.4853","0.8552","1.6879","0.3414","2.6575"
"Cory Burke","PHI","0.5555","0.372","-0.0068","-0.0208","1.3053","0.3944","2.5996"
"Diego Rossi","LAFC","0.436","0.4569","-0.4377","-0.9504","1.9371","1.0803","2.5222"
"Anton Tinnerholm","NYC","0.9667","0.6213","-0.0068","0.8537","0.2665","-0.2148","2.4866"
"Daniel Royer","NYRB","-1.3612","-0.0622","-0.4805","0.104","2.8386","1.401","2.4397"
"Harrison Afful","CLB","0.787","0.2792","-0.4366","0.94","0.7093","0.0976","2.3765"
"Víctor Vázquez","TOR","-0.0504","0.0528","-0.2397","1.5573","1.0974","-0.0735","2.3439"
"Francisco Calvo","MIN","0.2026","-0.3124","1.2876","0.6924","0.4048","0.0039","2.2789"
"Florian Jungwirth","SJE","0.1894","0.091","1.9768","0.1773","-0.1556","-0.009","2.2699"
"Joao Plata","RSL","1.1617","0.5377","-0.6686","0.8156","0.1533","0.1108","2.1105"
"Sebastian Giovinco","TOR","1.1454","0.5423","-0.2282","2.0392","-1.8525","0.464","2.1102"
"Bastian Schweinsteiger","CHI","-0.0562","0.0669","1.0733","1.0941","-0.0269","-0.1028","2.0484"
"Haris Medunjanin","PHI","0.796","0.2944","-0.2656","1.6732","-0.3287","-0.1964","1.9729"
"Matt Besler","SKC","0.6116","0.2589","-0.6549","2.3245","-0.5945","-0.0379","1.9077"
"Héctor Villalba","ATL","0.9744","0.1638","0.1311","0.1433","0.0075","0.4554","1.8755"
"Sean Davis","NYRB","0.0838","0.6939","0.2622","1.177","-0.3733","-0.0479","1.7957"
"Aleksandar Katai","CHI","2.9312","0.167","-0.1326","-0.9275","-0.0402","-0.2062","1.7917"
"Valeri Qazaishvili","SJE","2.7035","-0.2056","0.1152","-0.6251","-0.8296","0.6119","1.7703"
"Derrick Etienne","NYRB","0.6827","-0.0589","0.0922","0.2571","0.6676","0.056","1.6967"
"Michael Murillo","NYRB","0.5025","0.0115","-0.0653","0.4687","0.8154","-0.0402","1.6926"
"DaMarcus Beasley","HOU","0.2157","0.2977","1.2964","-0.0798","-0.0921","0.0295","1.6674"
"Diego Fagundez","NER","1.2209","-0.1663","-0.2442","0.7873","-0.3008","0.3696","1.6665"
"Latif Blessing","LAFC","0.0452","0.0647","1.0644","-0.2874","0.5286","0.2024","1.6179"
"Julian Gressel","ATL","0.8584","0.1618","-0.5857","0.2226","0.8576","0.1001","1.6148"
"Fafa Picault","PHI","1.7091","0.0218","0.4433","-1.0687","0.2213","0.2676","1.5944"
"Ismael Tajouri-Shradi","NYC","1.6392","-0.0665","0.3177","-0.3409","-0.2959","0.3371","1.5907"
"Yordy Reyna","VAN","1.0489","-0.0531","0.0224","1.5606","-0.8916","-0.0976","1.5896"
