"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Michel","FCD","2013","2478","1","1","0","0.0109","-0.0007","-0.0109","14","4","2.252","1.748","2.2629","0","0.0092"
"Graham Zusi","SKC","2013","2563","0","0","0","0","0","0","24","1","1.9632","-0.9632","1.9632","0","0"
"Robbie Findley","RSL","2013","1335","7","3","2","1.8993","0.2203","0.1008","0","0","0","0","1.8993","0.8441","0.7919"
"Shea Salinas","SJE","2013","2092","0","0","0","0","0","0","16","3","1.8976","1.1024","1.8976","0","0"
"Chris Wondolowski","SJE","2013","2826","8","4","1","1.6288","-0.0952","-0.6288","1","0","0.2299","-0.2299","1.8587","0.7769","1.3633"
"Thierry Henry","NYRB","2013","2734","1","1","0","0.1416","-0.016","-0.1416","12","2","1.6627","0.3372","1.8044","0","0.0839"
"Javier Morales","RSL","2013","2466","0","0","0","0","0","0","13","1","1.7182","-0.7182","1.7182","0","0"
"Tim Cahill","NYRB","2013","2393","9","3","2","1.6847","-0.3219","0.3153","0","0","0","0","1.6847","2.3493","1.6434"
"José Villarreal","LAG","2013","1189","4","1","1","1.3626","-0.4544","-0.3626","2","0","0.3008","-0.3008","1.6634","0.6156","0.9162"
"David Ferreira","FCD","2013","2626","1","1","0","0.068","0.0188","-0.068","8","2","1.5926","0.4074","1.6607","0","0.0678"
"Aurélien Collin","SKC","2013","2793","12","2","0","1.2686","-0.6372","-1.2686","1","1","0.3818","0.6182","1.6504","0","1.3284"
"Ibrahim Sekagya","NYRB","2013","764","2","1","1","1.6122","-0.7311","-0.6122","0","0","0","0","1.6122","0.7542","1.2159"
"Omar González","LAG","2013","2539","2","0","0","0.4237","-0.4237","-0.4237","4","1","1.0921","-0.0921","1.5157","0","0.3178"
"Sebastien Le Toux","PHI","2013","2403","0","0","0","0","0","0","6","3","1.4788","1.5212","1.4788","0","0"
"Jeff Larentowicz","CHI","2013","3023","4","1","0","0.5996","-0.5198","-0.5996","1","1","0.6945","0.3055","1.2941","0","0.4009"
"Alan Gordon","SJE","2013","1546","7","2","1","1.2679","-0.3116","-0.2679","1","0","0.0192","-0.0192","1.2871","0.5986","0.7951"
