"Player","Team","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"Carlos Vela","LAFC","6.0944","1.252","-0.7331","0.2115","2.5809","1.8735","11.2792"
"Zlatan Ibrahimovic","LAG","-0.3396","0.8726","-0.1777","1.4098","5.3979","1.6415","8.8045"
"Sebastián Blanco","POR","2.6937","0.1836","-0.2997","3.6356","0.2501","0.1284","6.5917"
"Alberth Elis","HOU","2.1321","1.095","-0.4663","0.2368","2.4128","0.303","5.7134"
"Eduard Atuesta","LAFC","2.3963","0.4232","0.3326","1.4762","0.014","0.0288","4.6711"
"Jack Elliott","PHI","0.5018","0.5458","1.2386","0.4976","1.5792","0.2482","4.6112"
"Carles Gil","NER","1.4398","0.3803","0.3107","2.9735","-1.0213","0.2551","4.3381"
"Latif Blessing","LAFC","1.3342","0.4673","0.8572","-0.7947","1.6984","0.5865","4.1489"
"Valeri Qazaishvili","SJE","2.3394","-0.244","0.0632","-0.487","1.0579","1.2289","3.9584"
"Anton Tinnerholm","NYC","1.295","0.7815","-0.1512","0.5856","0.8817","0.4213","3.8139"
"Aleksandar Katai","CHI","3.539","0.1159","-0.1245","0.1745","0.1995","-0.1043","3.8001"
"Josef Martínez","ATL","0.3439","0.2625","-0.3295","-0.2546","1.6586","1.732","3.4129"
"Cristian Espinoza","SJE","3.9491","0.0063","0.543","0.0855","-0.7679","-0.5216","3.2944"
"Mark-Anthony Kaye","LAFC","0.1068","-0.1069","0.5637","1.7571","0.7708","0.09","3.1815"
"Shea Salinas","SJE","1.4504","-0.0268","-0.3793","1.0219","0.7331","0.2949","3.0942"
"Ryan Hollingshead","FCD","0.5151","0.2288","2.6037","-0.863","1.0071","-0.4466","3.0451"
"Johnny Russell","SKC","2.1125","-0.0652","0.0053","0.4074","0.398","0.1652","3.0232"
"Rolf Feltscher","LAG","0.2698","0.0696","1.4863","-0.3927","1.0461","0.48","2.9591"
"Romain Métanire","MIN","0.6577","0.0927","1.0081","1.3788","-0.1732","-0.0206","2.9435"
"Diego Chara","POR","0.5999","-0.2762","1.5538","0.5026","0.2369","0.2603","2.8773"
"Cristian Pavón","LAG","1.5108","0.199","0.0289","0.8188","0.17","0.1176","2.8451"
"Daniel Royer","NYRB","-1.2718","0.1643","-0.3783","0.5287","2.1897","1.549","2.7816"
"Jozy Altidore","TOR","-0.6394","0.6249","-0.0689","0.6224","2.1538","0.0772","2.77"
"Erik Godoy","VAN","0.1165","0.1961","2.815","0.1054","-0.2484","-0.2486","2.736"
"Frédéric Brillant","DCU","0.0519","0.3038","0.7326","0.0123","0.9887","0.5462","2.6355"
"Haris Medunjanin","PHI","0.7358","0.0657","-0.2296","2.7159","-0.5375","-0.1438","2.6065"
"Felipe Gutiérrez","SKC","0.2421","0.4612","0.5007","0.2307","0.7235","0.3532","2.5114"
"Diego Rossi","LAFC","0.3033","-0.031","-0.4507","0.3842","1.7864","0.4894","2.4816"
"Eddie Segura","LAFC","0.6246","0.1354","0.8019","0.801","0.012","0.1058","2.4807"
"Sam Nicholson","COL","1.6828","0.5364","-0.1367","-0.033","0.3962","0.0157","2.4614"
"Darwin Quintero","MIN","0.3991","-0.1839","0.3165","2.0656","-0.2968","0.1204","2.4209"
"Przemyslaw Frankowski","CHI","0.3356","-0.1512","-0.2043","1.2723","1.0124","0.1075","2.3723"
"Alexandru Mitrita","NYC","2.1914","0.341","-0.684","0.366","-0.1718","0.3181","2.3607"
"Guram Kashia","SJE","0.4074","0.1511","1.0336","0.8134","-0.0247","-0.0244","2.3564"
"Alejandro Romero Gamarra","NYRB","-0.1157","-0.2071","0.3665","2.4274","-0.3459","0.1332","2.2584"
"Héber","NYC","-0.1463","-0.2691","0.2421","-0.6223","1.7537","1.2799","2.238"
"Steven Birnbaum","DCU","-0.3147","0.5742","1.2188","0.3447","0.3656","0.0067","2.1953"
"Leandro González Pirez","ATL","0.8034","0.5902","-0.4689","1.4956","-0.1821","-0.1587","2.0795"
"Michael Barrios","FCD","1.0824","-0.1035","-0.4134","1.3056","0.3259","-0.1325","2.0645"
"Gerso","SKC","0.8435","0.6369","0.0293","0.1232","0.1791","0.2133","2.0253"
"Diego Rubio","COL","0.7415","-0.0476","0.7475","0.1584","0.2941","0.1255","2.0194"
"Francisco Calvo","CHI","-0.0118","0.0621","1.0941","0.8405","0.2447","-0.2126","2.017"
"Dax McCarty","CHI","0.5438","0.1852","0.4944","0.3421","0.3426","0.1018","2.0099"
"Ilsinho","PHI","2.1708","-0.0087","-0.075","0.357","-0.4352","-0.1335","1.8754"
"Matt Besler","SKC","0.8081","-0.0451","0.4853","1.0805","-0.5027","0.0255","1.8516"
"Brian Fernández","POR","0.7354","-0.1927","-0.3185","-0.1207","0.8262","0.9042","1.8339"
"Ali Adnan","VAN","0.9665","0.724","0.2237","0.0622","0.0268","-0.1852","1.818"
"Maynor Figueroa","HOU","1.22","-0.1043","-0.0307","0.9892","-0.2784","-0.0587","1.7371"
"Andre Shinyashiki","COL","0.7234","0.2203","0.3813","0.0546","-0.1521","0.4854","1.7129"
"Víctor Rodríguez","SEA","1.0581","0.2245","0.047","0.2303","-0.0047","0.124","1.6792"
"Richie Laryea","TOR","1.9389","0.7336","-0.0974","-1.0644","0.1003","0.0543","1.6653"
"Cristian Roldan","SEA","-0.0412","0.1886","1.1167","0.5431","-0.1388","-0.0243","1.6441"
"Julian Gressel","ATL","0.2939","-0.0984","-0.4841","0.9995","0.7757","0.1137","1.6003"
"Lamine Sané","ORL","0.1864","0.6164","1.2173","-0.1002","-0.2653","-0.066","1.5886"
"Tommy Thompson","SJE","1.1609","0.2129","1.4812","-1.4152","0.0727","0.0644","1.5769"
"Claude Dielna","POR","0.4303","-0.2046","0.9702","0.2757","0.1584","-0.0704","1.5596"
"Jordan Morris","SEA","0.109","-0.2679","-0.1494","-0.2141","1.4223","0.6592","1.5591"
"Matt Hedges","FCD","0.0114","0.4924","-0.3348","1.1984","-0.0141","0.1933","1.5466"
"Dom Dwyer","ORL","-0.8734","-0.3189","-0.2495","0.4356","2.3669","0.1727","1.5334"
"Nani","ORL","0.8996","-0.0715","0.0902","2.5316","-1.2809","-0.6559","1.5131"
