"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"LAFC","2019","34","42","16","2","0","2","2.2416","0.8393","1.4023","0.5977","72","72.643"
"NYRB","2018","34","13","9","0","1","-1","0.7814","0.4147","0.3666","-1.3666","71","59.418"
"ATL","2018","34","16","25","2","1","1","0.9434","1.4663","-0.5229","1.5229","69","64.496"
"TOR","2017","34","43","19","7","0","7","2.1104","0.9456","1.1647","5.8353","69","54.298"
"NYC","2019","34","28","18","3","1","2","1.7103","1.142","0.5683","1.4317","64","53.73"
"SEA","2014","34","17","11","2","0","2","1.0498","0.573","0.4768","1.5232","64","54.581"
"SKC","2018","34","19","23","0","0","0","1.2048","1.3287","-0.1239","0.1239","62","56.125"
"LAG","2014","34","8","11","1","1","0","0.5239","0.4064","0.1175","-0.1175","61","65.171"
"NYRB","2015","34","21","22","0","0","0","1.0385","1.094","-0.0555","0.0555","60","60.649"
"FCD","2015","34","18","21","1","3","-2","1.347","1.3835","-0.0365","-1.9635","60","47.088"
"FCD","2016","34","14","25","2","2","0","0.97","1.2913","-0.3214","0.3214","60","54.368"
"DCU","2014","34","7","8","0","0","0","0.3532","0.3845","-0.0313","0.0313","59","40.791"
"SEA","2018","34","19","20","1","1","0","1.3425","1.1937","0.1488","-0.1488","59","44.7"
"NYRB","2013","34","0","0","0","0","0","0","0","0","0","59","46.82"
"ATL","2019","34","28","13","0","0","0","1.5257","0.5516","0.9741","-0.9741","58","54.997"
"SKC","2013","34","2","0","0","0","0","0.1119","0","0.1119","-0.1119","58","54.634"
"COL","2016","34","17","20","2","2","0","0.8109","1.0375","-0.2266","0.2266","58","44.299"
"NYC","2017","34","21","21","0","1","-1","1.3927","1.125","0.2677","-1.2677","57","54.594"
"FCD","2018","34","21","21","1","1","0","0.9013","1.4947","-0.5934","0.5934","57","51.977"
"LAFC","2018","34","32","19","4","0","4","1.535","0.8477","0.6873","3.3127","57","55.185"
"NYRB","2016","34","19","11","3","1","2","1.1637","0.6178","0.5459","1.4541","57","51.823"
"POR","2013","34","0","0","0","0","0","0","0","0","0","57","51.638"
"RSL","2013","34","1","0","0","0","0","0.0348","0","0.0348","-0.0348","56","46.071"
"SEA","2019","34","10","24","0","1","-1","0.4992","1.4483","-0.9491","-0.0509","56","45.867"
"RSL","2014","34","8","9","0","1","-1","0.5394","0.4771","0.0622","-1.0622","56","43.275"
"NYC","2018","34","16","25","2","0","2","1.038","1.3036","-0.2656","2.2656","56","54.887"
"NER","2014","34","15","6","2","1","1","0.7202","0.4121","0.308","0.692","55","46.624"
"CHI","2017","34","20","22","0","1","-1","1.0321","0.9997","0.0324","-1.0324","55","49.653"
"ATL","2017","34","18","24","1","1","0","0.9762","1.3336","-0.3574","0.3574","55","50.055"
"PHI","2019","34","15","12","1","2","-1","0.8161","0.7102","0.1059","-1.1059","55","53.063"
"CLB","2017","34","16","26","1","1","0","0.8212","1.3692","-0.548","0.548","54","48.481"
"POR","2018","34","16","22","1","1","0","0.8596","1.2257","-0.3661","0.3661","54","50.427"
"NYC","2016","34","18","18","1","2","-1","1.1395","1.2907","-0.1512","-0.8488","54","46.682"
"FCD","2014","34","7","13","1","1","0","0.331","0.727","-0.396","0.396","54","50.416"
"RSL","2019","34","13","23","0","3","-3","0.7929","1.5346","-0.7417","-2.2583","53","45.431"
"TOR","2016","34","50","14","3","1","2","2.7898","0.706","2.0838","-0.0838","53","57.408"
"POR","2017","34","24","28","0","0","0","1.4421","1.3218","0.1203","-0.1203","53","54.156"
"CLB","2015","34","20","18","0","1","-1","1.4938","0.9491","0.5447","-1.5447","53","48.644"
"MIN","2019","34","12","19","0","2","-2","0.6464","1.1742","-0.5278","-1.4722","53","52.384"
"POR","2015","34","19","16","1","2","-1","1.0701","0.821","0.249","-1.249","53","54.027"
"SEA","2017","34","30","9","0","1","-1","1.6154","0.5252","1.0902","-2.0902","53","55.35"
"VAN","2015","34","12","20","3","1","2","0.6351","1.2378","-0.6027","2.6027","53","49.96"
"LAG","2013","34","0","0","0","0","0","0","0","0","0","53","62.019"
"CLB","2014","34","3","12","0","0","0","0.187","0.5391","-0.3522","0.3522","52","52.172"
"VAN","2017","34","21","27","1","0","1","1.094","1.2387","-0.1446","1.1446","52","44.743"
"LAG","2016","34","13","19","0","1","-1","0.8148","1.1714","-0.3566","-0.6434","52","48.634"
"SEA","2013","34","0","1","0","0","0","0","0.0348","-0.0348","0.0348","52","51.344"
"LAG","2019","34","18","17","0","0","0","0.9003","0.9221","-0.0218","0.0218","51","47.212"
"DCU","2018","34","26","25","3","1","2","2.108","1.3166","0.7913","1.2087","51","44.263"
"SKC","2015","34","15","16","1","1","0","0.7634","0.9647","-0.2012","0.2012","51","48.65"
"MTL","2015","34","31","27","3","1","2","1.5151","1.6691","-0.154","2.154","51","45.265"
"SEA","2015","34","20","21","0","1","-1","1.1438","0.9548","0.189","-1.189","51","49.385"
"LAG","2015","34","24","19","1","1","0","1.2874","1.092","0.1954","-0.1954","51","47.366"
"CLB","2018","34","18","14","1","3","-2","0.8712","0.8826","-0.0114","-1.9886","51","57.27"
"DCU","2015","34","28","23","2","1","1","1.3982","1.2305","0.1678","0.8322","51","41.859"
"NER","2013","34","0","0","0","0","0","0","0","0","0","51","50.937"
"COL","2013","34","0","0","0","0","0","0","0","0","0","51","48.015"
"SJE","2013","34","0","0","0","0","0","0","0","0","0","51","48.875"
"HOU","2013","34","0","0","0","0","0","0","0","0","0","51","48.842"
"HOU","2017","34","20","18","2","1","1","1.2159","0.8189","0.397","0.603","50","51.896"
"NER","2015","34","18","24","1","3","-2","1.0925","1.2777","-0.1852","-1.8148","50","46.011"
"NYRB","2017","34","17","19","0","3","-3","0.8892","1.2825","-0.3933","-2.6067","50","50.812"
"PHI","2018","34","17","12","0","0","0","1.0165","0.8085","0.208","-0.208","50","50.37"
"VAN","2014","34","13","11","0","0","0","0.4532","0.7512","-0.298","0.298","50","51.104"
"NYRB","2014","34","6","11","0","1","-1","0.3349","0.6122","-0.2772","-0.7228","50","47.906"
"DCU","2019","34","34","15","2","0","2","2.9372","0.8736","2.0636","-0.0636","50","39.772"
"TOR","2019","34","17","15","3","1","2","0.9462","0.9785","-0.0323","2.0323","50","46.818"
"RSL","2018","34","21","15","2","0","2","1.2181","0.8426","0.3755","1.6245","49","40.712"
"TOR","2015","34","52","20","5","2","3","2.8023","0.9547","1.8476","1.1524","49","52.353"
"POR","2019","34","12","21","2","0","2","0.8056","1.6984","-0.8928","2.8928","49","46.228"
"SKC","2014","34","13","6","0","0","0","0.5814","0.3154","0.2659","-0.2659","49","51.672"
"SKC","2017","34","20","19","0","1","-1","1.0629","1.1246","-0.0616","-0.9384","49","56.033"
