"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2019-09-29","NER","2","1.3372","1.3372","NYC","0","1.5093","1.7258","2","-0.172","-0.3885","2","1.309","1.429"
"2019-09-29","MTL","1","1.1471","1.1471","ATL","1","1.1643","1.1643","0","-0.0172","-0.0172","0","1.303","1.381"
"2019-09-29","CLB","2","0.5988","0.5988","PHI","0","1.1555","1.1593","2","-0.5567","-0.5605","2","0.83","1.85"
"2019-09-29","CIN","1","1.304","1.3094","ORL","1","1.5785","1.5785","0","-0.2745","-0.2691","0","1.1","1.619"
"2019-09-29","CHI","2","2.001","2.001","TOR","2","1.6824","1.6824","0","0.3186","0.3186","0","1.56","1.185"
"2019-09-25","SJE","1","1.4451","1.4451","PHI","2","1.0551","1.0551","-1","0.3901","0.3901","-1","1.691","1.037"
"2019-09-25","POR","2","2.52","2.5549","NER","2","2.7622","2.7862","0","-0.2422","-0.2313","0","1.223","1.559"
"2019-09-25","LAFC","3","1.8529","1.8691","HOU","0","1.0274","1.0274","3","0.8255","0.8417","2","1.982","0.758"
"2019-09-25","RSL","1","1.0798","1.0811","LAG","2","1.4708","1.4838","-1","-0.3911","-0.4027","-1","1.005","1.719"
"2019-09-25","MIN","2","2.0302","2.0312","SKC","1","2.2986","2.3028","1","-0.2685","-0.2716","1","1.204","1.585"
"2019-09-25","NYC","4","2.242","2.2598","ATL","1","1.3261","1.3261","3","0.9159","0.9336","3","2.068","0.694"
"2019-09-22","DCU","2","1.6062","1.6081","SEA","0","1.2785","1.2797","2","0.3276","0.3284","2","1.651","1.09"
"2019-09-22","NYRB","2","2.328","2.3294","PHI","0","0.819","0.8468","2","1.5091","1.4826","2","2.462","0.398"
"2019-09-22","FCD","1","1.548","1.5516","NYC","1","1.1114","1.1147","0","0.4365","0.4369","0","1.727","1.013"
"2019-09-22","POR","0","2.7848","2.9278","MIN","0","1.9127","1.9203","0","0.8721","1.0076","0","1.941","0.879"
"2019-09-21","LAFC","1","2.419","2.4342","TOR","1","0.4883","0.4922","0","1.9307","1.942","0","2.716","0.181"
"2019-09-21","LAG","2","2.9667","3.0857","MTL","1","1.4633","1.4763","1","1.5034","1.6094","1","2.275","0.556"
"2019-09-21","SKC","1","1.4868","1.4972","COL","3","1.2709","1.2746","-2","0.2158","0.2226","-1","1.543","1.186"
"2019-09-21","HOU","2","1.9851","1.9851","ORL","1","0.4723","0.4723","1","1.5128","1.5128","1","2.587","0.268"
"2019-09-21","NER","0","1.6756","1.6985","RSL","0","0.6962","0.6962","0","0.9795","1.0023","0","2.114","0.659"
"2019-09-21","CIN","0","0.7241","0.7335","CHI","0","1.2672","1.2672","0","-0.5431","-0.5337","0","0.916","1.777"
"2019-09-21","VAN","1","1.1073","1.1073","CLB","1","1.9342","1.9873","0","-0.827","-0.8801","0","0.705","2.037"
"2019-09-21","ATL","3","2.1838","2.1944","SJE","0","1.1566","1.3475","3","1.0272","0.8469","2","2.077","0.718"
"2019-09-18","SEA","0","1.433","1.433","FCD","0","0.4035","0.4063","0","1.0295","1.0267","0","2.187","0.546"
"2019-09-18","POR","0","1.6592","1.6592","NYRB","2","2.6802","2.8588","-2","-1.0209","-1.1995","-2","0.797","2.024"
"2019-09-18","CIN","0","1.4576","1.4594","ATL","2","1.5714","1.5714","-2","-0.1138","-0.112","-2","1.255","1.468"
"2019-09-15","LAG","7","3.7722","3.8893","SKC","2","2.6839","2.7523","5","1.0883","1.137","5","1.978","0.853"
"2019-09-15","SEA","3","2.002","2.0845","NYRB","2","0.7222","0.7222","1","1.2798","1.3623","2","2.372","0.44"
"2019-09-15","MIN","3","2.5037","2.5055","RSL","1","1.2572","1.2637","2","1.2466","1.2417","2","2.268","0.555"
"2019-09-15","TOR","3","2.8664","2.8664","COL","2","2.073","2.1098","1","0.7934","0.7566","1","1.985","0.815"
"2019-09-15","POR","0","1.0302","1.0354","DCU","0","0.6301","0.6301","0","0.4","0.4053","-1","1.649","0.983"
"2019-09-14","PHI","1","1.0207","1.0314","LAFC","1","2.2111","2.2521","0","-1.1903","-1.2207","0","0.599","2.213"
"2019-09-14","ORL","3","1.6068","1.7825","NER","2","1.223","1.2276","1","0.3837","0.5549","0","1.677","1.071"
"2019-09-14","MTL","0","1.8627","1.9332","CIN","1","0.7238","0.7377","-1","1.1389","1.1955","-1","2.208","0.579"
"2019-09-14","ATL","1","2.0241","2.0263","CLB","2","1.2261","1.259","-1","0.798","0.7674","-2","1.968","0.816"
