"Player","Team","Season","MinutesIncludes stoppage time.","Passes","Pass %Pass Completion","xPass %Expected pass completion percentage.","ScoreNumber of passes completed over/under expected.","Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","Touch %Players' share of their team's number of touches."
"Diego Chara","POR","2013","2963","1169","0.8751","0.8459","34.1894","2.9247","18.9372","6.1001","0.1443"
"Nathan Sturgis","COL","2013","2186","903","0.8616","0.8298","28.6977","3.178","19.2753","5.3598","0.1467"
"James Riley","DCU","2013","1877","676","0.8772","0.835","28.5305","4.2205","17.7568","6.1037","0.1163"
"Ned Grabavoy","RSL","2013","2924","831","0.8869","0.855","26.4915","3.1879","15.8713","1.9639","0.1023"
"Juninho Pereira","LAG","2013","2963","1263","0.8606","0.8404","25.6233","2.0288","22.8221","6.9284","0.1579"
"Lee Young-Pyo","VAN","2013","2964","989","0.8574","0.8337","23.4427","2.3703","21.0896","6.4901","0.1264"
"Osvaldo Alonso","SEA","2013","2351","1071","0.8833","0.8623","22.4776","2.0987","20.9945","5.7232","0.1587"
"Sean Franklin","LAG","2013","2946","794","0.835","0.8112","18.9304","2.3842","19.4742","6.1687","0.0948"
"Jhon Kennedy Hurtado","SEA","2013","2434","383","0.8407","0.7917","18.7752","4.9021","22.0473","8.9856","0.06"
"Hendry Thomas","COL","2013","2481","995","0.8492","0.8327","16.4774","1.656","22.4965","7.0439","0.1576"
"Jun Marques Davidson","VAN","2013","2099","661","0.8775","0.8526","16.4189","2.484","20.8062","5.7667","0.1118"
"Seth Sinovic","SKC","2013","3017","928","0.8082","0.7908","16.1583","1.7412","20.1703","6.8623","0.1091"
"Nat Borchers","RSL","2013","2741","401","0.8628","0.824","15.5564","3.8794","22.2005","10.7013","0.0549"
"Markus Holgersson","NYRB","2013","3104","553","0.8354","0.8084","14.9543","2.7042","22.6292","12.2572","0.0721"
"Chad Barson","CLB","2013","1728","408","0.8137","0.7787","14.3057","3.5063","21.1255","8.711","0.0831"
"Steven Beitashour","SJE","2013","2629","655","0.7908","0.7691","14.2462","2.175","20.7397","10.8634","0.1051"
