"Player","Team","Season","MinutesIncludes stoppage time.","Passes","Pass %Pass Completion","xPass %Expected pass completion percentage.","ScoreNumber of passes completed over/under expected.","Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","Touch %Players' share of their team's number of touches."
"Javier Morales","RSL","2013","2466","1044","0.8458","0.8331","13.2919","1.2732","19.9123","5.2692","0.1397"
"Jordan Harvey","VAN","2013","2260","492","0.8293","0.8041","12.3832","2.5169","18.9819","6.6125","0.0887"
"Drew Moor","COL","2013","3023","490","0.8143","0.7914","11.1903","2.2837","23.9811","12.5282","0.0663"
"Justin Morrow","SJE","2013","2127","485","0.8041","0.7811","11.1448","2.2979","20.4021","8.9847","0.0812"
"Richard Eckersley","TOR","2013","1543","461","0.7614","0.7381","10.7248","2.3264","22.8891","13.2305","0.1246"
"Jeb Brovsky","MTL","2013","2832","857","0.8273","0.8149","10.641","1.2417","19.445","7.115","0.1058"
"Tyson Wahl","CLB","2013","2318","604","0.7566","0.7393","10.4378","1.7281","21.6407","10.5764","0.0907"
"Rafael Baca","SJE","2013","2539","876","0.8642","0.8528","9.9676","1.1379","19.2498","3.8084","0.1234"
"Chris Wingert","RSL","2013","1879","725","0.811","0.7983","9.2164","1.2712","21.5985","7.4656","0.1213"
"Dejan Jakovic","DCU","2013","1688","362","0.8757","0.852","8.5649","2.366","22.1938","9.3792","0.0798"
"Chance Myers","SKC","2013","2595","728","0.783","0.7719","8.0681","1.1083","20.634","8.6623","0.1001"
"Jonathan Osorio","TOR","2013","1881","493","0.8742","0.858","8.0281","1.6284","19.1091","3.0728","0.0841"
"Chris Korb","DCU","2013","2897","800","0.8075","0.7978","7.7699","0.9712","21.3342","8.1939","0.0968"
"Chad Marshall","CLB","2013","2857","466","0.7961","0.7797","7.6724","1.6464","24.7908","11.2335","0.0642"
"Tony Beltran","RSL","2013","2407","824","0.818","0.809","7.3965","0.8976","19.9095","6.3793","0.1144"
"A.J. DeLaGarza","LAG","2013","2562","504","0.8333","0.8189","7.296","1.4476","22.5555","10.102","0.0737"
"Matt Hedges","FCD","2013","3030","383","0.8512","0.8322","7.2812","1.9011","25.4415","9.8284","0.0558"
"Yordany Alvarez","RSL","2013","1084","543","0.8564","0.843","7.2649","1.3379","19.4747","6.1873","0.114"
"Alessandro Nesta","MTL","2013","2103","547","0.8537","0.8407","7.1228","1.3022","25.2408","12.0035","0.0825"
"Kofi Sarkodie","HOU","2013","3176","843","0.8055","0.7973","6.8541","0.8131","20.3682","7.1768","0.1038"
"Jair Benitez","FCD","2013","2645","879","0.7895","0.7822","6.4496","0.7337","24.5096","10.1476","0.12"
"Daniel Woolard","DCU","2013","2382","586","0.8362","0.8258","6.1085","1.0424","22.1457","9.5615","0.0799"
"Abdoulie Mansally","RSL","2013","848","293","0.8123","0.7921","5.9277","2.0231","22.8935","6.5307","0.0816"
"Chris Schuler","RSL","2013","1563","305","0.8393","0.8206","5.72","1.8754","23.6981","10.692","0.0767"
"Darren O'Dea","TOR","2013","1669","350","0.72","0.704","5.6155","1.6044","29.1838","17.2342","0.0878"
"Brad Davis","HOU","2013","2326","601","0.8186","0.8095","5.5183","0.9182","20.2891","5.2462","0.1007"
"Dennis Iapichino","MTL","2013","785","237","0.8143","0.7924","5.1946","2.1918","20.4825","8.5323","0.1112"
"Collen Warner","MTL","2013","975","269","0.8662","0.8472","5.0911","1.8926","21.0661","5.3383","0.0727"
"Jeff Parke","PHI","2013","2981","487","0.7967","0.7865","4.9505","1.0165","23.8608","12.275","0.0666"
"Kwame Watson-Siriboe","RSL","2013","680","89","0.9101","0.8545","4.9493","5.561","20.7903","8.6211","0.0479"
"Sanna Nyassi","MTL","2013","1286","195","0.8615","0.8379","4.6061","2.3621","17.5604","-0.5573","0.0431"
"Josh Williams","CLB","2013","2487","633","0.782","0.7749","4.4602","0.7046","21.9769","9.9917","0.0905"
"Jay DeMerit","VAN","2013","657","82","0.8171","0.7665","4.1479","5.0584","22.9176","13.8098","0.0457"
"Benny Feilhaber","SKC","2013","1857","663","0.8537","0.8476","4.054","0.6115","19.4661","4.7277","0.0923"
"Matt Besler","SKC","2013","2254","600","0.795","0.7883","4.0452","0.6742","27.6601","13.4617","0.0973"
"Jared Jeffrey","DCU","2013","841","369","0.8699","0.8591","4.0072","1.086","20.2351","5.2249","0.1352"
"Futty Danso","POR","2013","1463","209","0.8182","0.7992","3.9612","1.8953","26.6005","12.3655","0.0574"
"Bradford Rusin","VAN","2013","1504","202","0.8168","0.7982","3.7551","1.859","24.3025","10.4826","0.0489"
"Clyde Simms","NER","2013","723","201","0.8706","0.8531","3.5264","1.7544","18.0391","1.955","0.0917"
"Amobi Okugo","PHI","2013","3125","544","0.8088","0.8026","3.3915","0.6234","23.623","12.1071","0.0736"
"Maxim Tissot","MTL","2013","348","71","0.8169","0.7724","3.1575","4.4472","19.4185","7.3681","0.0588"
"Clint Dempsey","SEA","2013","709","224","0.8839","0.87","3.126","1.3956","15.3354","1.9565","0.1002"
"Anthony Wallace","COL","2013","141","31","0.8065","0.7107","2.9668","9.5704","28.8853","17.3205","0.0246"
"Chris Tierney","NER","2013","2556","642","0.7617","0.7571","2.9528","0.4599","22.7382","9.7607","0.1035"
"Logan Pause","CHI","2013","979","326","0.8436","0.8348","2.8418","0.8717","18.7701","5.3471","0.0995"
"Steven Caldwell","TOR","2013","2230","323","0.7461","0.7378","2.6894","0.8326","27.6245","15.6051","0.0669"
"Lionard Pajoy","DCU","2013","1243","121","0.9174","0.896","2.5899","2.1404","13.86","-2.7942","0.0304"
"Keon Daniel","PHI","2013","1851","654","0.8532","0.8493","2.5286","0.3866","18.9876","5.1789","0.1144"
"Stephen McCarthy","NER","2013","1698","250","0.804","0.7943","2.4191","0.9676","24.5037","11.5731","0.0643"
"George John","FCD","2013","2245","366","0.8579","0.8513","2.4144","0.6597","24.9755","10.257","0.069"
"Sam Cronin","SJE","2013","3211","1144","0.8147","0.8126","2.3744","0.2076","22.4711","6.5116","0.1465"
"Matteo Ferrari","MTL","2013","3041","626","0.8371","0.8334","2.3151","0.3698","23.3021","11.5248","0.0768"
"Mikaël Silvestre","POR","2013","747","157","0.8025","0.7889","2.1413","1.3639","27.4976","13.1364","0.0669"
"Jon Busch","SJE","2013","3224","15","0.4667","0.324","2.1402","14.2681","58.0816","50.508","0.005"
"Laurent Courtois","LAG","2013","117","13","0.9231","0.7682","2.014","15.4921","14.2507","6.8469","0.0119"
"Alexander López","HOU","2013","93","39","0.9231","0.8723","1.981","5.0795","18.147","5.3844","0.0634"
"Peter Luccin","FCD","2013","213","81","0.8642","0.8409","1.8906","2.3341","22.7255","10.3287","0.119"
"Laurent Courtois","CHV","2013","286","49","0.8367","0.8007","1.7676","3.6074","20.5285","7.1089","0.0503"
"Wells Thompson","CHI","2013","590","213","0.8216","0.8135","1.7349","0.8145","19.1582","5.8434","0.1116"
"Greg Cochrane","LAG","2013","919","175","0.7829","0.7733","1.6788","0.9593","20.9565","9.4372","0.0639"
"José Gonçalves","NER","2013","3329","723","0.7718","0.7695","1.6249","0.2247","26.9051","13.8896","0.0991"
"Marc Burch","SEA","2013","1266","350","0.7371","0.7328","1.5179","0.4337","23.4685","9.8772","0.069"
"Gale Agbossoumonde","TOR","2013","1175","120","0.7583","0.7461","1.4671","1.2226","25.5943","13.5623","0.047"
"Eric Alexander","NYRB","2013","2642","625","0.8464","0.8441","1.4654","0.2345","16.952","4.0478","0.0798"
"Jordan Stewart","SJE","2013","1165","295","0.7932","0.7885","1.4059","0.4766","19.7458","9.4702","0.1111"
"Miller Bolaños","CHV","2013","254","47","0.8723","0.844","1.3336","2.8376","12.8615","0.438","0.0446"
"Shaun Francis","CHI","2013","95","24","0.75","0.6946","1.3285","5.5353","22.8359","12.8417","0.1283"
"Bakary Soumaré","PHI","2013","277","27","0.8889","0.8442","1.2079","4.4737","19.2043","10.4394","0.0429"
"Aaron Wheeler","PHI","2013","188","39","0.7949","0.7676","1.063","2.7256","15.4245","0.5013","0.0181"
"Michael Thomas","TOR","2013","16","4","1","0.7375","1.0498","26.2454","26.2855","19.5787","0.03"
"Clint Irwin","COL","2013","3110","3","0.6667","0.3363","0.9912","33.0411","54.8489","49.9483","0.0021"
"Raúl Fernández","FCD","2013","2547","3","0.6667","0.3479","0.9563","31.8761","46.349","39.33","0.0026"
"Johnny Leverón","VAN","2013","1751","293","0.785","0.7818","0.9407","0.3211","29.3049","14.2498","0.0752"
"Stephen Keel","FCD","2013","549","87","0.8391","0.8283","0.9405","1.0811","21.981","10.313","0.063"
"Cordell Cato","SJE","2013","1126","144","0.7708","0.7644","0.9224","0.6405","14.1863","2.7033","0.0412"
"Alain Rochat","DCU","2013","433","170","0.7882","0.7832","0.8624","0.5073","22.6064","9.0255","0.1377"
"Tally Hall","HOU","2013","3306","6","0.5","0.3629","0.8224","13.706","60.3998","52.8042","0.0035"
"Rauwshan McKenzie","POR","2013","99","9","0.7778","0.6912","0.7796","8.6623","28.5063","16.4706","0.0382"
"Danny Mwanga","COL","2013","629","82","0.8293","0.8198","0.7751","0.9452","13.5013","0.0421","0.0323"
"Diego Calderón","COL","2013","330","40","0.8","0.7806","0.7748","1.9369","24.777","13.4952","0.0567"
"Diego Fagundez","NER","2013","2593","226","0.8053","0.8021","0.7259","0.3212","16.497","3.9192","0.0437"
"Jaime Castrillon","COL","2013","422","81","0.8519","0.8431","0.7095","0.876","16.7628","1.3914","0.0334"
"Quincy Amarikwa","CHI","2013","377","42","0.6905","0.6737","0.7039","1.6759","16.1239","5.8376","0.0189"
"Matthew Fondy","CHV","2013","270","30","0.9","0.8776","0.6731","2.2436","14.4751","-0.9852","0.0256"
"Collin Martin","DCU","2013","384","87","0.8736","0.866","0.6558","0.7538","18.3087","0.1956","0.0484"
"Charlie Rugg","LAG","2013","164","19","0.8421","0.8087","0.6351","3.3427","10.7789","-1.1318","0.0263"
"Omar Cummings","HOU","2013","247","21","0.9048","0.8771","0.5799","2.7613","16.4121","-1.046","0.011"
"Kevin Ellis","SKC","2013","120","32","0.75","0.7319","0.5799","1.8121","18.5824","6.7527","0.0601"
"Andrew Wiedeman","TOR","2013","875","127","0.8661","0.8617","0.5598","0.4408","17.9746","-3.0443","0.0515"
"Darrius Barnes","NER","2013","467","79","0.7089","0.7018","0.5576","0.7058","21.3307","11.0458","0.0732"
"Maximiliano Urruti","TOR","2013","49","5","1","0.8903","0.5487","10.9731","23.2494","6.187","0.0173"
"Zac MacMath","PHI","2013","3324","11","0.4545","0.4048","0.5468","4.9708","50.0027","41.5359","0.0038"
"Maximiliano Urruti","POR","2013","324","38","0.8684","0.8548","0.5187","1.365","12.004","-1.2529","0.0348"
"Terry Dunfield","TOR","2013","325","133","0.7895","0.7857","0.4964","0.3732","22.2552","7.9367","0.1337"
"Don Anding","PHI","2013","35","3","1","0.8372","0.4885","16.2829","14.4941","5.1367","0.013"
"Hugh Alexander Dixon","HOU","2013","31","13","0.9231","0.8867","0.4735","3.6425","28.6526","0.6281","0.023"
"Cole Grossman","RSL","2013","177","47","0.7872","0.7778","0.4428","0.9422","17.534","6.6455","0.0474"
"Josh Saunders","RSL","2013","252","2","0.5","0.2864","0.4273","21.3629","53.7742","48.9325","0.0031"
"Eddie Gaven","CLB","2013","973","241","0.7925","0.7909","0.3962","0.1644","15.4957","3.0864","0.1095"
"Greg Klazura","VAN","2013","92","12","0.8333","0.8046","0.3446","2.8713","20.8781","7.4942","0.0305"
"Lloyd Sam","NYRB","2013","911","149","0.8255","0.8233","0.3305","0.2218","16.0505","2.2444","0.0319"
"Brad Ring","SJE","2013","292","39","0.7692","0.7609","0.3264","0.8369","25.8388","12.5969","0.0492"
"Martin Ponce","CHV","2013","201","51","0.8627","0.8565","0.3198","0.6272","18.4066","5.9687","0.0528"
"John Stertzer","RSL","2013","44","12","0.9167","0.8907","0.3113","2.5942","17.0537","-0.7762","0.0267"
"Charlie Davies","NER","2013","44","4","1","0.9255","0.2979","7.448","15.6749","-4.8875","0.0104"
"Yazid Atouba","CHI","2013","71","8","0.875","0.8395","0.2838","3.5477","13.7731","2.53","0.0109"
"Donovan Ricketts","POR","2013","3126","3","0.6667","0.58","0.2601","8.6715","42.9428","38.8317","0.0038"
"Josué Martínez","NYRB","2013","17","2","1","0.8743","0.2515","12.5745","13.4095","1.4375","0.0057"
"David Carney","NYRB","2013","686","157","0.7325","0.7311","0.2125","0.1353","24.9063","11.8487","0.1018"
"Michael Seaton","DCU","2013","129","19","0.8947","0.8836","0.2113","1.1121","11.3416","-0.9866","0.0291"
"Pablo Mastroeni","LAG","2013","297","127","0.8661","0.8646","0.1921","0.1513","17.6858","3.5025","0.0582"
"Rafael García","LAG","2013","266","69","0.8696","0.8668","0.1896","0.2748","22.8913","6.3267","0.0349"
"Brian Ownby","HOU","2013","71","10","0.8","0.7829","0.1707","1.7066","22.4395","6.0835","0.0131"
"Jimmy Nielsen","SKC","2013","3332","7","0.4286","0.4109","0.1234","1.7627","50.6501","46.2136","0.003"
"Kellyn Acosta","FCD","2013","1081","306","0.8301","0.8297","0.1092","0.0357","19.6501","3.9795","0.102"
"Matt Kassel","PHI","2013","112","43","0.7907","0.7883","0.1021","0.2376","21.3624","4.0705","0.0414"
"Will Johnson","POR","2013","2725","1024","0.8789","0.8788","0.0864","0.0084","22.8513","3.6616","0.1321"
"Marius Obekop","NYRB","2013","100","8","0.75","0.7397","0.0823","1.0288","13.7525","2.415","0.01"
"Taylor Morgan","TOR","2013","20","1","1","0.9456","0.0544","5.4379","10.1213","-10.12","0.006"
"Eric Gehrig","CLB","2013","581","92","0.7174","0.7169","0.0469","0.051","28.7872","18.6","0.0676"
"Teal Bunbury","SKC","2013","285","27","0.8889","0.8875","0.038","0.1407","12.0217","-3.7524","0.0159"
"Jimmy Medranda","SKC","2013","3","1","1","0.9639","0.0361","3.6112","26.464","1.84","0.0034"
"Phillip Lund","SEA","2013","21","1","1","0.9713","0.0287","2.8741","14.9661","-5.29","0.0047"
"Troy Perkins","MTL","2013","3234","1","1","0.9769","0.0231","2.3067","28.9951","12.995","0.0035"
"Jeff Attinella","RSL","2013","448","1","1","0.978","0.022","2.1993","31.0692","7.13","0.001"
"Michael Gspurning","SEA","2013","2681","1","1","0.9789","0.0211","2.1057","19.6121","0.69","0.0011"
"Anthony Arena","HOU","2013","80","8","0.75","0.7492","0.0062","0.0772","23.9322","14.375","0.0502"
"Marcus Hahnemann","SEA","2013","391","0","0","0","0","0","0","0","0"
"Matt Reis","NER","2013","1085","0","0","0","0","0","0","0","0"
"Luis Robles","NYRB","2013","3320","0","0","0","0","0","0","0","0"
"Patrick McLain","CHV","2013","135","0","0","0","0","0","0","0","0.0041"
"Emery Welshman","TOR","2013","10","0","0","0","0","0","0","0","0.003"
"Brenton Griffiths","COL","2013","4","0","0","0","0","0","0","0","0.0047"
"Matt Miazga","NYRB","2013","20","0","0","0","0","0","0","0","0"
"Joe Bendik","TOR","2013","3220","4","0.25","0.2549","-0.0194","-0.4851","68.6885","61.0938","0.0019"
"Carlo Chueca","CHV","2013","61","16","0.875","0.8787","-0.0588","-0.3677","19.924","4.6719","0.0337"
"Sebastian Velasquez","RSL","2013","1003","285","0.8632","0.8634","-0.0753","-0.0264","16.4191","2.505","0.0606"
"Kevan George","CLB","2013","501","126","0.7937","0.7944","-0.0992","-0.0787","19.0189","6.5249","0.0483"
"Heath Pearce","NYRB","2013","1188","349","0.788","0.7883","-0.1152","-0.033","21.1041","10.2376","0.0894"
"Eriq Zavaleta","SEA","2013","59","4","0.75","0.7861","-0.1443","-3.6076","20.6349","2.8175","0.0067"
"Walker Zimmerman","FCD","2013","460","48","0.7708","0.7741","-0.1564","-0.3259","24.0296","11.7564","0.0397"
"Wandrille Lefevre","MTL","2013","437","56","0.75","0.7528","-0.1576","-0.2815","29.1746","16.4902","0.0507"
"Michael Nanchoff","POR","2013","15","3","0.6667","0.7249","-0.1747","-5.8241","31.2813","9.9283","0.0098"
"Brad Knighton","VAN","2013","1073","1","0","0.1985","-0.1985","-19.8496","67.5111","65.665","0.001"
"Nick Rimando","RSL","2013","2626","3","0.6667","0.744","-0.2319","-7.7316","40.8657","33.58","0.0022"
"Andrew Weber","SEA","2013","247","1","0","0.2608","-0.2608","-26.0814","43.3621","41.975","0.0036"
"Marcos Sánchez","DCU","2013","547","123","0.8455","0.8483","-0.3399","-0.2763","15.5964","1.0126","0.0588"
"Giovani Casillas","CHV","2013","207","29","0.8276","0.8396","-0.3485","-1.2019","18.5394","4.3978","0.0339"
"Michael Bustamante","NYRB","2013","108","32","0.875","0.8866","-0.3704","-1.1575","15.7738","1.3548","0.0674"
"Andy Gruenebaum","CLB","2013","2048","1","0","0.3768","-0.3768","-37.6795","46.8166","46.805","0.0016"
"Chris Albright","PHI","2013","16","4","0.75","0.8446","-0.3782","-9.4562","10.5681","1.8112","0.0078"
"Dylan Remick","SEA","2013","30","6","0.5","0.5678","-0.4068","-6.7803","36.3633","24.9358","0.018"
"Bobby Warshaw","FCD","2013","182","33","0.7576","0.7703","-0.421","-1.2756","23.6419","12.1133","0.018"
"Erick","FCD","2013","693","176","0.8239","0.8263","-0.4243","-0.2411","20.1022","4.9653","0.0931"
"Ibrahim Sekagya","NYRB","2013","764","154","0.7987","0.8015","-0.428","-0.2779","25.3031","11.4813","0.087"
"Matt Lampson","CLB","2013","1265","2","0","0.24","-0.48","-24.0013","48.4159","46.92","0.0033"
"Marcus Tracy","SJE","2013","86","8","0.625","0.6904","-0.523","-6.5373","14.3951","2.7887","0.0065"
"Alain Rochat","VAN","2013","1045","366","0.7896","0.7911","-0.5281","-0.1443","22.228","9.7671","0.1303"
"Kyle Bekker","TOR","2013","388","156","0.8077","0.8111","-0.5285","-0.3388","21.9011","6.9863","0.0816"
"Dillon Serna","COL","2013","17","5","0.8","0.9063","-0.5313","-10.626","10.3331","1.265","0.0213"
"Bill Hamid","DCU","2013","2420","3","0.3333","0.5151","-0.5452","-18.1738","47.1265","41.3233","0.0031"
"Robbie Russell","DCU","2013","13","4","0.75","0.8899","-0.5595","-13.9873","13.481","1.035","0.011"
"Sinisa Ubiparipovic","MTL","2013","11","3","0.6667","0.8537","-0.5612","-18.7072","16.2583","4.9833","0.0091"
"Hernán Bernardello","MTL","2013","665","317","0.836","0.8378","-0.5936","-0.1872","25.8988","9.2907","0.1514"
"Servando Carrasco","HOU","2013","43","4","0.75","0.8998","-0.599","-14.9756","16.4519","-2.0125","0.0081"
"Dan Kennedy","CHV","2013","2980","4","0.5","0.6499","-0.5998","-14.9939","33.6443","29.8712","0.003"
"Eric Brunner","HOU","2013","969","187","0.8289","0.8322","-0.6172","-0.3301","24.888","8.0844","0.0613"
"Jaime Alas","SJE","2013","142","26","0.8462","0.8713","-0.6535","-2.5134","17.1606","1.035","0.0291"
"David Horst","POR","2013","113","7","0.5714","0.6675","-0.6726","-9.6083","24.6076","19.4514","0.0223"
"Mehdi Ballouchy","SJE","2013","140","49","0.8163","0.8304","-0.6909","-1.4101","17.9282","4.9755","0.0356"
"Lewis Neal","DCU","2013","543","259","0.8687","0.8714","-0.6984","-0.2696","21.8128","3.8487","0.0975"
"Walter Vílchez","CHV","2013","1042","208","0.8029","0.8063","-0.7193","-0.3458","21.4972","8.7964","0.0907"
"Khari Stephenson","RSL","2013","867","230","0.8478","0.851","-0.7215","-0.3137","17.4949","0.8495","0.0551"
"Ruben Bover","NYRB","2013","156","30","0.8333","0.8577","-0.7311","-2.4371","21.7609","0.6133","0.0234"
"Dan Gargan","SJE","2013","662","167","0.7485","0.7529","-0.7368","-0.4412","24.1695","11.1529","0.0903"
"Steve Zakuani","SEA","2013","525","115","0.8522","0.8592","-0.8098","-0.7042","16.0894","-1.096","0.0522"
"Bradlee Baladez","FCD","2013","34","6","0.5","0.643","-0.858","-14.3006","12.2768","8.51","0.0305"
"Matt Pickens","COL","2013","104","1","0","0.8622","-0.8622","-86.2244","42.1414","42.09","0.003"
"Brandon McDonald","RSL","2013","295","56","0.7857","0.8012","-0.8686","-1.551","27.1909","15.8495","0.0634"
"David Ousted","VAN","2013","1264","5","0.2","0.3745","-0.8723","-17.4454","68.3183","56.097","0.0053"
"Tony Cascio","COL","2013","601","83","0.7711","0.7818","-0.8931","-1.0761","17.3835","3.1978","0.0362"
"Sean Johnson","CHI","2013","2719","4","0","0.2285","-0.914","-22.8505","53.4693","48.0987","0.0038"
"Bobby Shuttleworth","NER","2013","2242","4","0.25","0.4828","-0.9311","-23.2781","51.3644","43.585","0.0038"
"Calum Mallace","MTL","2013","50","4","0.5","0.7397","-0.9589","-23.9718","33.8833","19.4637","0.0142"
"Kamani Hill","COL","2013","214","42","0.8333","0.8571","-0.9973","-2.3745","15.91","0.0027","0.034"
"Jaime Frías","CHV","2013","279","83","0.7952","0.8082","-1.0835","-1.3054","20.2929","8.625","0.0806"
"Ramón Núñez","FCD","2013","315","89","0.809","0.8212","-1.0861","-1.2203","20.6521","8.6896","0.0389"
"Pablo Mastroeni","COL","2013","332","124","0.8548","0.8643","-1.1728","-0.9458","18.218","2.9677","0.0732"
"Álvaro Rey","TOR","2013","822","130","0.7769","0.7861","-1.1994","-0.9226","20.804","7.0752","0.063"
"Gabriel Farfán","PHI","2013","342","74","0.7703","0.7866","-1.2099","-1.6351","19.1785","8.9156","0.0655"
"Bobby Convey","SKC","2013","130","46","0.8696","0.8962","-1.227","-2.6674","17.3647","-1.7925","0.0484"
"John Bostock","TOR","2013","424","92","0.8152","0.8286","-1.2277","-1.3345","19.2914","-1.8975","0.0748"
"Jonas Elmer","TOR","2013","145","26","0.5769","0.625","-1.2507","-4.8103","20.1173","11.8627","0.0429"
"Jamie Smith","COL","2013","200","27","0.8148","0.8615","-1.2609","-4.6701","18.2281","1.3033","0.0273"
"Josue Soto","CHV","2013","1256","323","0.8019","0.8058","-1.2784","-0.3958","20.1395","6.5404","0.0851"
"Danny Koevermans","TOR","2013","97","14","0.6429","0.7404","-1.3659","-9.7563","27.283","10.6457","0.0222"
"Steven Kinney","CHI","2013","194","45","0.6222","0.6539","-1.4253","-3.1672","30.3127","19.7749","0.0869"
"Soony Saad","SKC","2013","1458","196","0.801","0.8083","-1.4284","-0.7288","17.9655","1.1353","0.0419"
"Wil Trapp","CLB","2013","1505","637","0.8509","0.8533","-1.5324","-0.2406","22.7022","5.8419","0.1473"
"Andrew Jacobson","FCD","2013","2477","660","0.8121","0.8145","-1.5723","-0.2382","18.6913","4.9961","0.1161"
"Gabriel Torres","COL","2013","545","62","0.8387","0.8644","-1.5909","-2.5659","19.6537","4.2587","0.0437"
"Carlo Franco Chueco del Rio","CHV","2013","95","43","0.8837","0.9215","-1.6236","-3.7759","16.6937","-3.1291","0.1853"
"Nick LaBrocca","COL","2013","1300","378","0.8201","0.8245","-1.6493","-0.4363","21.7423","4.9821","0.067"
"Aaron Schoenfeld","CLB","2013","353","61","0.7049","0.7333","-1.7303","-2.8365","13.2431","2.8316","0.0306"
"Andre Akpan","NYRB","2013","167","28","0.6786","0.7409","-1.7456","-6.2342","14.068","1.5114","0.0267"
"Sam Cruz Garza","SJE","2013","124","14","0.7143","0.8395","-1.7529","-12.5206","22.2764","4.4604","0.0135"
"Steven Lenhart","SJE","2013","1425","238","0.7227","0.7301","-1.7636","-0.741","14.7734","2.6126","0.0593"
"Ethan White","DCU","2013","1161","238","0.7689","0.7766","-1.8297","-0.7688","28.2027","14.3069","0.0665"
"Daniel Antúnez","CHV","2013","89","22","0.7273","0.8119","-1.8612","-8.4598","19.6131","3.0266","0.0311"
"Fabinho","PHI","2013","1068","280","0.775","0.7817","-1.8649","-0.6661","20.2916","8.4143","0.0939"
"Josh Gardner","SKC","2013","283","62","0.7742","0.8047","-1.8907","-3.0496","20.6778","7.0335","0.0307"
"Samuel Ochoa","SEA","2013","194","30","0.7667","0.8319","-1.9566","-6.5221","13.0764","0.1227","0.0272"
"Conor Shanosky","DCU","2013","384","73","0.7671","0.7947","-2.0162","-2.762","25.7012","15.0461","0.0548"
"Kalif Alhassan","POR","2013","1447","399","0.8446","0.8498","-2.0544","-0.5149","17.4151","1.7881","0.0558"
"Michael Videira","CHI","2013","86","14","0.5714","0.7231","-2.1234","-15.1672","27.0507","22.1129","0.0273"
"Bilal Duckett","NER","2013","97","10","0.4","0.6165","-2.165","-21.6502","24.947","17.9285","0.1034"
"Marcelo Saragosa","DCU","2013","444","131","0.8015","0.8183","-2.1909","-1.6725","20.3925","6.4277","0.0736"
"Darlington Nagbe","POR","2013","3036","778","0.8676","0.8705","-2.2646","-0.2911","15.7701","1.3509","0.0948"
"Mike Chabala","HOU","2013","177","66","0.7424","0.7769","-2.2774","-3.4507","24.2298","9.0641","0.0925"
"Donnie Smith","NER","2013","54","6","0.3333","0.7283","-2.3696","-39.4928","20.3649","11.9408","0.0508"
"Daniel Paladini","CHI","2013","927","270","0.7704","0.7792","-2.3745","-0.8794","19.746","7.285","0.0638"
"Germán Mera","COL","2013","652","99","0.798","0.8222","-2.3949","-2.4191","24.3976","14.1253","0.0396"
"Ryan Richter","TOR","2013","1220","304","0.7237","0.7319","-2.4843","-0.8172","21.7001","10.2191","0.1184"
"Dom Dwyer","SKC","2013","750","56","0.7321","0.7778","-2.5583","-4.5683","14.5048","1.7825","0.0189"
"Oriol Rosell","SKC","2013","2903","1191","0.8631","0.8654","-2.6896","-0.2258","22.5656","5.9276","0.1443"
