"Team","Season","Games","PassF","PctFPass Completion","xPctFExpected pass completion percentage.","ScoreFNumber of passes completed over/under expected.","Per100FPasses completed over/under expected, measured per 100 passes.","VertFAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","PassA","PctAPass Completion","xPctAExpected pass completion percentage.","ScoreANumber of passes completed over/under expected.","Per100APasses completed over/under expected, measured per 100 passes.","VertAAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","ScoreDiffNumber of passes completed over/under expected.","VertDiffAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions."
"LAFC","2019","34","14628","0.8342","0.8179","238.4477","1.6301","3.5986","9449","0.7654","0.7829","-165.305","-1.7494","3.7894","403.7527","-0.1908"
"SKC","2013","34","11994","0.7588","0.7682","-112.8863","-0.9412","5.469","9129","0.7087","0.7627","-492.6529","-5.3966","5.9849","379.7666","-0.5159"
"SKC","2017","34","13623","0.8298","0.8133","224.9627","1.6513","3.1966","9434","0.7735","0.7861","-118.918","-1.2605","4.1704","343.8807","-0.9738"
"NYC","2018","34","14112","0.812","0.8033","122.4839","0.8679","3.3619","9827","0.7385","0.7574","-186.2593","-1.8954","4.7786","308.7432","-1.4167"
"NYRB","2017","34","12733","0.7543","0.7577","-42.1698","-0.3312","5.5574","8955","0.7043","0.7427","-343.9705","-3.8411","5.9602","301.8008","-0.4028"
"TOR","2019","34","14290","0.84","0.814","372.6328","2.6076","3.0217","11290","0.8028","0.7961","75.995","0.6731","3.7764","296.6379","-0.7547"
"RSL","2013","34","12850","0.7967","0.7949","23.7084","0.1845","4.3143","10031","0.7278","0.7542","-264.2215","-2.634","6.0511","287.9299","-1.7368"
"SKC","2018","34","14342","0.8207","0.8056","217.3282","1.5153","3.575","9531","0.7838","0.7906","-64.9449","-0.6814","4.0011","282.273","-0.4261"
"PHI","2019","34","13804","0.8169","0.8016","210.1734","1.5226","3.3671","10815","0.7813","0.7869","-60.3455","-0.558","4.1841","270.519","-0.817"
"CLB","2018","34","12693","0.8091","0.7972","151.044","1.19","3.8588","11202","0.7954","0.8039","-95.0496","-0.8485","3.4765","246.0936","0.3823"
"NYC","2017","34","12018","0.7884","0.7858","31.176","0.2594","4.1043","10645","0.7589","0.7783","-206.9504","-1.9441","4.4504","238.1263","-0.3461"
"SJE","2019","34","13059","0.8236","0.8095","184.7484","1.4147","3.0976","9333","0.7626","0.7642","-14.8489","-0.1591","4.6142","199.5973","-1.5166"
"SKC","2014","34","12662","0.7806","0.7847","-51.8101","-0.4092","4.5637","8846","0.728","0.7557","-244.6124","-2.7652","5.9317","192.8023","-1.368"
"NYRB","2016","34","12617","0.743","0.7476","-57.3194","-0.4543","5.9311","9385","0.7095","0.7359","-247.0971","-2.6329","5.9765","189.7778","-0.0455"
"LAFC","2018","34","13209","0.8295","0.8147","195.7619","1.482","3.5104","10979","0.7931","0.7922","9.1414","0.0833","3.6852","186.6204","-0.1748"
"NYRB","2018","34","11538","0.7031","0.7219","-217.45","-1.8846","6.9917","10647","0.7144","0.7513","-392.9269","-3.6905","5.5434","175.477","1.4483"
"CLB","2014","34","12523","0.7969","0.7904","80.4552","0.6425","4.7039","10892","0.7623","0.7709","-94.1226","-0.8641","5.0554","174.5777","-0.3515"
"LAG","2014","34","13900","0.8075","0.796","159.8388","1.1499","3.927","10744","0.778","0.7789","-9.0752","-0.0845","4.6855","168.9139","-0.7585"
"NYC","2019","34","12401","0.7974","0.7951","28.0439","0.2261","4.0318","10002","0.7453","0.7593","-140.0939","-1.4007","4.9848","168.1378","-0.953"
"SKC","2016","34","12334","0.7756","0.7802","-56.4676","-0.4578","4.1563","9354","0.7519","0.7754","-219.6564","-2.3483","5.2354","163.1888","-1.0791"
"SEA","2017","34","13606","0.8072","0.7915","213.5687","1.5697","3.8671","11450","0.7955","0.7895","67.8065","0.5922","4.2158","145.7622","-0.3487"
"RSL","2014","34","12982","0.8075","0.8006","89.1651","0.6868","3.971","10359","0.7591","0.7638","-48.3842","-0.4671","5.4808","137.5492","-1.5097"
"CLB","2016","34","12793","0.7934","0.7879","70.1367","0.5482","4.4218","10229","0.764","0.7703","-64.4727","-0.6303","4.6147","134.6094","-0.1928"
"LAG","2013","34","12572","0.7686","0.7735","-61.7061","-0.4908","5.076","10856","0.7634","0.7814","-195.4641","-1.8005","4.7399","133.758","0.3361"
"SEA","2013","34","11985","0.7534","0.7629","-114.07","-0.9518","5.5634","10941","0.7485","0.7709","-245.8148","-2.2467","5.4974","131.7448","0.0659"
"NYRB","2015","34","13234","0.7675","0.7722","-61.8184","-0.4671","4.9461","9912","0.7227","0.7422","-193.443","-1.9516","5.4391","131.6245","-0.493"
"LAG","2019","34","12621","0.8146","0.7873","344.4555","2.7292","3.6482","12273","0.817","0.7996","213.357","1.7384","3.8779","131.0985","-0.2297"
"TOR","2015","34","11071","0.7795","0.7762","36.613","0.3307","4.9561","11558","0.7707","0.7786","-91.6196","-0.7927","4.6597","128.2326","0.2964"
"FCD","2016","34","10596","0.7639","0.7666","-28.8765","-0.2725","5.0754","11326","0.7637","0.7774","-154.9049","-1.3677","4.8582","126.0284","0.2172"
"CLB","2013","34","11455","0.7583","0.767","-99.8446","-0.8716","5.9461","10911","0.7417","0.7619","-220.1515","-2.0177","5.6836","120.3069","0.2625"
"ATL","2018","34","13076","0.8281","0.8172","142.3192","1.0884","2.8354","11264","0.7987","0.7963","26.1938","0.2325","3.906","116.1254","-1.0706"
"TOR","2017","34","13181","0.812","0.8015","138.43","1.0502","3.9273","12033","0.7925","0.7902","27.1277","0.2254","4.027","111.3023","-0.0997"
"SEA","2016","34","12946","0.8033","0.7872","208.0382","1.607","3.9707","11879","0.7967","0.7884","98.792","0.8317","4.307","109.2462","-0.3363"
"SEA","2014","34","13122","0.787","0.7814","72.9047","0.5556","4.9268","12211","0.7887","0.7913","-31.8277","-0.2606","4.4169","104.7325","0.5099"
"HOU","2015","34","10432","0.7674","0.7644","31.4134","0.3011","4.4837","11003","0.7609","0.7671","-68.7821","-0.6251","4.9071","100.1954","-0.4234"
"TOR","2014","34","10647","0.7653","0.7629","25.7052","0.2414","5.4028","12023","0.7715","0.7777","-74.3471","-0.6184","4.62","100.0523","0.7829"
"NER","2016","34","12231","0.7738","0.7696","50.5146","0.413","4.9253","10881","0.7695","0.774","-49.108","-0.4513","4.5226","99.6225","0.4027"
"COL","2013","34","10877","0.7517","0.7603","-93.5582","-0.8601","5.4717","11076","0.757","0.7739","-187.1117","-1.6893","5.403","93.5535","0.0687"
"RSL","2016","34","12202","0.7886","0.7859","31.8383","0.2609","4.7923","10235","0.7487","0.7542","-56.1204","-0.5483","5.499","87.9587","-0.7067"
"TOR","2018","34","14285","0.8232","0.8115","166.3511","1.1645","3.2768","12016","0.8003","0.7934","82.4033","0.6858","3.7359","83.9477","-0.4591"
"RSL","2019","34","11624","0.812","0.8079","47.4449","0.4082","3.3234","12141","0.7877","0.7905","-33.1407","-0.273","4.0667","80.5856","-0.7433"
"RSL","2015","34","11255","0.7787","0.7763","26.8589","0.2386","4.7425","9989","0.7359","0.7409","-50.0687","-0.5012","5.5515","76.9276","-0.809"
"POR","2017","34","12194","0.8047","0.7878","206.4721","1.6932","4.0099","11302","0.793","0.7815","130.2502","1.1525","4.3213","76.2219","-0.3114"
"SKC","2015","34","10818","0.7435","0.7576","-152.3122","-1.408","5.3721","10232","0.729","0.7511","-226.4499","-2.2132","5.8846","74.1378","-0.5125"
"RSL","2017","34","12012","0.7689","0.768","10.7424","0.0894","5.009","10006","0.7641","0.7701","-59.712","-0.5968","4.9001","70.4544","0.1089"
"COL","2016","34","11229","0.7696","0.7741","-50.524","-0.4499","4.731","11844","0.7678","0.7776","-116.4096","-0.9829","4.3011","65.8855","0.4299"
"RSL","2018","34","12312","0.8243","0.8183","73.7002","0.5986","3.1322","10123","0.7711","0.7695","16.2478","0.1605","4.4736","57.4524","-1.3414"
"COL","2014","34","11671","0.7827","0.7868","-48.2665","-0.4136","4.3374","11596","0.7705","0.7795","-104.0467","-0.8973","5.0336","55.7802","-0.6962"
"FCD","2015","34","10268","0.748","0.7529","-50.4416","-0.4913","5.3085","11366","0.7642","0.773","-99.9261","-0.8792","4.8128","49.4845","0.4957"
"CHI","2017","34","12236","0.8173","0.8145","35.0173","0.2862","3.1823","11968","0.789","0.7901","-13.1432","-0.1098","4.1554","48.1605","-0.9731"
"FCD","2017","34","11049","0.7805","0.7745","66.7713","0.6043","4.4004","11299","0.7917","0.7899","20.082","0.1777","4.064","46.6894","0.3364"
"COL","2015","34","10906","0.7382","0.7488","-115.0092","-1.0545","5.6276","10804","0.7479","0.7627","-160.7095","-1.4875","5.1715","45.7003","0.4561"
"CHI","2019","34","11981","0.7915","0.7839","90.5472","0.7558","4.1444","12667","0.8108","0.8073","45.5495","0.3596","3.7243","44.9977","0.4202"
"ATL","2017","34","12707","0.7971","0.805","-99.9569","-0.7866","3.4254","9412","0.7456","0.7607","-141.7682","-1.5062","5.0514","41.8114","-1.626"
"NYRB","2014","34","12123","0.7842","0.7819","27.6764","0.2283","4.8058","11065","0.7798","0.7806","-9.6394","-0.0871","5.0675","37.3158","-0.2617"
"DCU","2016","34","10379","0.7404","0.7476","-74.3882","-0.7167","5.6607","11650","0.7524","0.7617","-108.3925","-0.9304","5.2606","34.0043","0.4001"
"NYRB","2013","34","11280","0.762","0.7714","-106.8167","-0.947","5.45","11695","0.769","0.7809","-139.326","-1.1913","5.3275","32.5093","0.1225"
"SEA","2018","34","12772","0.8025","0.7914","141.8587","1.1107","3.5202","12663","0.8041","0.7953","111.1551","0.8778","3.8194","30.7036","-0.2992"
"SKC","2019","34","12319","0.8084","0.8001","102.5769","0.8327","3.491","10841","0.808","0.8014","72.2356","0.6663","3.6243","30.3413","-0.1332"
"NSH","2020","2","879","0.8009","0.7754","22.4021","2.5486","3.9568","737","0.8141","0.8225","-6.2105","-0.8427","2.3671","28.6126","1.5897"
"CLB","2015","34","11923","0.7777","0.769","104.0191","0.8724","4.9193","10726","0.7717","0.7646","76.2456","0.7108","4.9997","27.7735","-0.0804"
"NER","2017","34","11172","0.7933","0.7853","89.4831","0.801","4.2297","12879","0.8061","0.8012","62.8509","0.488","3.701","26.6323","0.5287"
"LAG","2015","34","12117","0.7763","0.779","-31.7664","-0.2622","4.5335","11233","0.7664","0.7715","-57.0524","-0.5079","4.4527","25.286","0.0808"
"NYRB","2019","34","11262","0.6908","0.7124","-243.3462","-2.1608","6.9319","11323","0.7382","0.762","-268.6266","-2.3724","5.2111","25.2804","1.7208"
"TOR","2020","2","599","0.7813","0.7687","7.5193","1.2553","4.95","723","0.7856","0.8067","-15.2724","-2.1124","3.3535","22.7917","1.5965"
"COL","2020","2","731","0.8181","0.7909","19.8523","2.7158","2.8679","672","0.7812","0.7847","-2.2985","-0.342","4.5422","22.1508","-1.6742"
"CLB","2017","34","12382","0.8036","0.7988","58.8415","0.4752","3.7919","11374","0.7994","0.7961","36.7599","0.3232","3.3206","22.0817","0.4713"
"CIN","2020","2","669","0.7758","0.7819","-4.0751","-0.6091","4.0482","874","0.778","0.8027","-21.5206","-2.4623","3.9125","17.4455","0.1357"
"PHI","2016","34","11262","0.7535","0.7591","-62.6884","-0.5566","5.2605","11199","0.7628","0.7698","-78.4297","-0.7003","4.8538","15.7412","0.4067"
"SKC","2020","2","863","0.8204","0.8113","7.813","0.9053","2.4547","596","0.7768","0.7884","-6.9052","-1.1586","3.3309","14.7182","-0.8762"
"DCU","2014","34","11341","0.7776","0.7787","-12.5397","-0.1106","4.521","12577","0.7726","0.7747","-26.8406","-0.2134","4.8804","14.3009","-0.3594"
"LAFC","2020","2","760","0.7697","0.7639","4.4098","0.5802","5.0542","464","0.6767","0.698","-9.8518","-2.1232","5.7634","14.2616","-0.7091"
"NER","2020","2","603","0.7463","0.7392","4.2488","0.7046","6.4903","780","0.7756","0.7877","-9.3779","-1.2023","4.7433","13.6267","1.747"
"POR","2013","34","12635","0.7827","0.7882","-69.4867","-0.55","4.4223","10389","0.7423","0.7503","-82.9963","-0.7989","5.7126","13.5097","-1.2903"
"POR","2015","34","11236","0.7738","0.7618","134.5702","1.1977","4.3578","11086","0.7768","0.7659","121.3054","1.0942","4.8618","13.2648","-0.504"
"MIN","2020","2","557","0.7522","0.7486","2.0532","0.3686","4.8634","843","0.8007","0.8134","-10.7284","-1.2726","3.5083","12.7815","1.3552"
"NER","2014","34","11367","0.7657","0.7697","-45.1678","-0.3974","5.1416","10650","0.7644","0.7697","-56.4639","-0.5302","5.1236","11.296","0.0179"
"VAN","2014","34","11537","0.7844","0.7892","-54.6054","-0.4733","4.878","12203","0.776","0.7813","-65.4593","-0.5364","4.473","10.8539","0.405"
"CLB","2020","2","817","0.8078","0.7958","9.8009","1.1996","4.1396","613","0.7488","0.75","-0.7609","-0.1241","4.207","10.5618","-0.0674"
"ORL","2018","34","11396","0.8096","0.7988","122.3743","1.0738","3.5586","12364","0.8093","0.8002","112.8029","0.9123","3.8237","9.5714","-0.2651"
"POR","2019","34","12875","0.8011","0.7871","180.6702","1.4033","4.2631","12170","0.804","0.7899","171.4598","1.4089","4.1663","9.2104","0.0968"
"NER","2015","34","12011","0.7651","0.7646","6.4024","0.0533","4.7966","11187","0.7728","0.773","-2.131","-0.019","4.7952","8.5334","0.0015"
"MIA","2020","2","579","0.7323","0.7303","1.1291","0.195","4.7222","715","0.7944","0.8017","-5.1853","-0.7252","3.6298","6.3145","1.0923"
"MTL","2020","2","722","0.8324","0.8269","3.9619","0.5487","3.2259","791","0.7851","0.7876","-2.0235","-0.2558","4.4226","5.9853","-1.1967"
"HOU","2020","2","749","0.7877","0.7743","10.0829","1.3462","3.8553","704","0.7869","0.7781","6.2464","0.8873","3.7251","3.8364","0.1303"
"ORL","2015","34","12106","0.7991","0.7979","14.3666","0.1187","4.021","12091","0.8023","0.8014","10.9818","0.0908","4.2751","3.3848","-0.2541"
"NYRB","2020","2","606","0.6848","0.7056","-12.609","-2.0807","7.0738","694","0.7608","0.7825","-15.0301","-2.1657","4.1948","2.4212","2.879"
"LAG","2017","34","11121","0.7904","0.7876","30.8521","0.2774","3.8121","11683","0.7955","0.7931","28.4344","0.2434","4.0184","2.4178","-0.2064"
"PHI","2020","2","563","0.714","0.7273","-7.482","-1.329","4.7483","659","0.7344","0.7473","-8.4493","-1.2821","5.3057","0.9673","-0.5574"
"RSL","2020","2","652","0.7577","0.784","-17.1449","-2.6296","3.5696","584","0.714","0.7413","-15.9171","-2.7255","5.5403","-1.2278","-1.9707"
"LAG","2020","2","636","0.7484","0.7348","8.6382","1.3582","5.3694","739","0.7943","0.7804","10.294","1.393","4.0792","-1.6558","1.2902"
"CHI","2020","2","723","0.7469","0.7515","-3.316","-0.4586","5.45","701","0.786","0.7854","0.4277","0.061","4.5987","-3.7437","0.8513"
"CHI","2014","34","10432","0.7518","0.7604","-90.0085","-0.8628","5.7291","11948","0.7728","0.7797","-82.2612","-0.6885","4.8036","-7.7473","0.9255"
"ORL","2020","2","705","0.7759","0.7835","-5.3365","-0.757","3.919","690","0.8043","0.8003","2.8123","0.4076","2.8118","-8.1488","1.1071"
