"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Sebastián Méndez","ORL","2020","193","2","1","0","0.1274","-0.037","-0.1274","0","0","0","0","0.1274","0","0.1242"
"Lucas Zelarayán","CLB","2020","192","2","1","0","0.1246","0.313","-0.1246","0","0","0","0","0.1246","0","0.0962"
"Alejandro Pozuelo","TOR","2020","178","2","1","0","0.1214","-0.0487","-0.1214","0","0","0","0","0.1214","0","0.0816"
"Eduard Atuesta","LAFC","2020","146","2","0","0","0.1064","-0.1064","-0.1064","0","0","0","0","0.1064","0","0.0329"
"Joevin Jones","SEA","2020","189","1","0","0","0.1025","-0.1025","-0.1025","0","0","0","0","0.1025","0","0.0575"
"Gustavo Bou","NER","2020","197","2","0","0","0.1015","-0.1015","-0.1015","0","0","0","0","0.1015","0","0.1117"
"Alexandru Mitrita","NYC","2020","178","1","0","0","0.0894","-0.0894","-0.0894","0","0","0","0","0.0894","0","0.0836"
"Carlos Vela","LAFC","2020","205","1","1","1","0.0877","0.0912","0.9123","0","0","0","0","0.0877","0.7446","0.0653"
"Hany Mukhtar","NSH","2020","195","1","0","0","0.0738","-0.0738","-0.0738","0","0","0","0","0.0738","0","0.0441"
"Julian Gressel","DCU","2020","205","1","0","0","0.0696","-0.0696","-0.0696","0","0","0","0","0.0696","0","0.0536"
"Oswaldo Alanís","SJE","2020","197","1","1","1","0.0612","0.1923","0.9388","0","0","0","0","0.0612","0.9999","0.0612"
"Diego Valeri","POR","2020","161","1","0","0","0.0606","-0.0606","-0.0606","0","0","0","0","0.0606","0","0.0669"
"Albert Rusnák","RSL","2020","193","1","0","0","0.0595","-0.0595","-0.0595","0","0","0","0","0.0595","0","0.1102"
"Saphir Taïder","MTL","2020","200","1","0","0","0.0526","-0.0526","-0.0526","0","0","0","0","0.0526","0","0.0309"
"Ola Kamara","DCU","2020","111","1","0","0","0.0524","-0.0524","-0.0524","0","0","0","0","0.0524","0","0.0291"
"Edison Flores","DCU","2020","182","1","0","0","0.038","-0.038","-0.038","0","0","0","0","0.038","0","0.0282"
"Jakob Glesnes","PHI","2020","207","1","1","1","0.0333","0.3101","0.9667","0","0","0","0","0.0333","0.9185","0.0306"
"Pity Martínez","ATL","2020","153","1","0","0","0.0303","-0.0303","-0.0303","0","0","0","0","0.0303","0","0.0181"
"Jan Gregus","MIN","2020","196","1","0","0","0.0296","-0.0296","-0.0296","0","0","0","0","0.0296","0","0.0296"
"Gianluca Busio","SKC","2020","26","1","1","0","0.026","0.155","-0.026","0","0","0","0","0.026","0","0.0000070017"
