"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Deshorn Brown","COL","2013","2317","1","1","0","0.2641","0.0148","-0.2641","0","0","0","0","0.2641","0","0.0091"
"Marco Di Vaio","MTL","2013","2933","4","0","0","0.2592","-0.2592","-0.2592","0","0","0","0","0.2592","0","0.2358"
"Eric Hassli","FCD","2013","506","0","0","0","0","0","0","1","0","0.2561","-0.2561","0.2561","0","0"
"Alvas Powell","POR","2013","416","0","0","0","0","0","0","1","0","0.2488","-0.2488","0.2488","0","0"
"Chris Rolfe","CHI","2013","2253","2","0","0","0.2427","-0.2427","-0.2427","0","0","0","0","0.2427","0","0.1723"
"Patrick Nyarko","CHI","2013","2298","0","0","0","0","0","0","2","0","0.2427","-0.2427","0.2427","0","0"
"Jason Johnson","HOU","2013","493","1","0","0","0.2395","-0.2395","-0.2395","0","0","0","0","0.2395","0","0.2395"
"Rodney Wallace","POR","2013","2154","1","1","1","0.2238","0.2953","0.7762","0","0","0","0","0.2238","0.6858","0.1535"
"Sheanon Williams","PHI","2013","3105","0","0","0","0","0","0","1","0","0.2129","-0.2129","0.2129","0","0"
"Jeff Larentowicz","CHI","2013","3023","0","0","0","0","0","0","1","0","0.2115","-0.2115","0.2115","0","0"
"Juan Luis Anangonó","CHI","2013","902","1","1","0","0.2115","0.4672","-0.2115","0","0","0","0","0.2115","0","0.0236"
"José Villarreal","LAG","2013","1189","2","2","0","0.2018","0.6389","-0.2018","0","0","0","0","0.2018","0","0.1258"
"Teal Bunbury","SKC","2013","285","1","0","0","0.0248","-0.0248","-0.0248","1","0","0.171","-0.171","0.1958","0","0.0264"
"Robert Earnshaw","TOR","2013","1993","0","0","0","0","0","0","1","0","0.19","-0.19","0.19","0","0"
"Álvaro Rey","TOR","2013","822","1","1","0","0.19","-0.1062","-0.19","0","0","0","0","0.19","0","0.1804"
"Michael Farfan","PHI","2013","2159","1","1","0","0.1823","-0.1112","-0.1823","0","0","0","0","0.1823","0","0.0779"
"Jordan Harvey","VAN","2013","2260","0","0","0","0","0","0","1","0","0.1822","-0.1822","0.1822","0","0"
"John Thorrington","DCU","2013","1116","0","0","0","0","0","0","1","0","0.1772","-0.1772","0.1772","0","0"
"Carlos Ruiz","DCU","2013","586","1","1","0","0.1772","-0.0752","-0.1772","0","0","0","0","0.1772","0","0.1616"
"Ethan Finlay","CLB","2013","490","1","0","0","0.1473","-0.1473","-0.1473","1","0","0.0299","-0.0299","0.1772","0","0.007"
"Scott Caldwell","NER","2013","2365","0","0","0","0","0","0","1","1","0.1744","0.8256","0.1744","0","0"
"Jacob Peterson","SKC","2013","917","1","1","0","0.171","0.0701","-0.171","0","0","0","0","0.171","0","0.1731"
"Gabriel Torres","COL","2013","545","2","0","0","0.1678","-0.1678","-0.1678","0","0","0","0","0.1678","0","0.0593"
"Saër Sène","NER","2013","1337","1","1","0","0.1676","0.4635","-0.1676","0","0","0","0","0.1676","0","0.1782"
"Jerry Bengtson","NER","2013","1128","0","0","0","0","0","0","1","0","0.1676","-0.1676","0.1676","0","0"
"José Erick Correa","CHV","2013","1139","1","0","0","0.0708","-0.0708","-0.0708","1","0","0.0935","-0.0935","0.1643","0","0.0427"
"Chris Wondolowski","SJE","2013","2826","2","0","0","0.164","-0.164","-0.164","0","0","0","0","0.164","0","0.1249"
"Ned Grabavoy","RSL","2013","2924","0","0","0","0","0","0","1","0","0.1625","-0.1625","0.1625","0","0"
"Olmes García","RSL","2013","1131","1","1","0","0.1625","0.1313","-0.1625","0","0","0","0","0.1625","0","0.1625"
"Jair Benitez","FCD","2013","2645","2","1","1","0.1442","0.311","0.8558","0","0","0","0","0.1442","0.1495","0.041"
"Erick Torres","CHV","2013","1452","1","1","1","0.1267","0.523","0.8733","0","0","0","0","0.1267","1.2428","0.1574"
"Tristan Bowen","CHV","2013","1257","0","0","0","0","0","0","1","1","0.1267","0.8733","0.1267","0","0"
"Steven Beitashour","SJE","2013","2629","0","0","0","0","0","0","1","0","0.1259","-0.1259","0.1259","0","0"
"Adam Jahn","SJE","2013","1193","1","0","0","0.1259","-0.1259","-0.1259","0","0","0","0","0.1259","0","0.0083"
"Darlington Nagbe","POR","2013","3036","0","0","0","0","0","0","1","0","0.1222","-0.1222","0.1222","0","0"
"Marco Delgado","CHV","2013","1358","0","0","0","0","0","0","1","0","0.119","-0.119","0.119","0","0"
"Giles Barnes","HOU","2013","2653","1","1","0","0.117","0.5545","-0.117","0","0","0","0","0.117","0","0.1434"
