"Team","Season","Games","PassF","PctFPass Completion","xPctFExpected pass completion percentage.","ScoreFNumber of passes completed over/under expected.","Per100FPasses completed over/under expected, measured per 100 passes.","VertFAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","PassA","PctAPass Completion","xPctAExpected pass completion percentage.","ScoreANumber of passes completed over/under expected.","Per100APasses completed over/under expected, measured per 100 passes.","VertAAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","ScoreDiffNumber of passes completed over/under expected.","VertDiffAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions."
"SKC","2013","34","15711","0.7515","0.7631","-182.7676","-1.1633","8.4881","13085","0.6857","0.7404","-716.013","-5.472","11.3849","533.2454","-2.8968"
"RSL","2013","34","17188","0.7852","0.7857","-9.455","-0.055","7.8889","13379","0.7266","0.7484","-292.4271","-2.1857","9.8242","282.9722","-1.9354"
"COL","2013","34","15024","0.7413","0.7465","-77.6532","-0.5169","9.998","15153","0.7412","0.7616","-309.3951","-2.0418","9.6002","231.7419","0.3978"
"SEA","2013","34","16009","0.7506","0.7595","-143.4782","-0.8962","8.8451","14804","0.7332","0.7575","-358.5002","-2.4216","9.5519","215.022","-0.7068"
"LAG","2013","34","16390","0.7594","0.767","-125.64","-0.7666","8.2634","15023","0.7447","0.7641","-291.2882","-1.9389","9.2584","165.6482","-0.995"
"CLB","2013","34","14636","0.7339","0.7477","-203.042","-1.3873","9.8331","15305","0.7416","0.7583","-256.1988","-1.674","9.6595","53.1568","0.1736"
"SJE","2013","34","14497","0.7188","0.7271","-119.9676","-0.8275","10.0406","15415","0.749","0.7592","-156.8439","-1.0175","9.304","36.8764","0.7366"
"POR","2013","34","16482","0.7664","0.7754","-148.5858","-0.9015","8.3493","13961","0.7223","0.7333","-153.2264","-1.0975","10.2979","4.6406","-1.9486"
"TOR","2013","34","13659","0.7067","0.7251","-251.0495","-1.838","11.5093","15572","0.7443","0.7592","-231.9703","-1.4897","9.1695","-19.0792","2.3398"
"FCD","2013","34","13846","0.7448","0.7561","-156.5269","-1.1305","9.6797","14362","0.7448","0.7543","-136.4005","-0.9497","9.4524","-20.1264","0.2273"
"NYRB","2013","34","15669","0.7572","0.7695","-193.7034","-1.2362","8.835","15651","0.7627","0.773","-161.6751","-1.033","8.8456","-32.0283","-0.0106"
"HOU","2013","34","15400","0.7484","0.7601","-179.1487","-1.1633","9.2975","14615","0.7423","0.7523","-146.2072","-1.0004","9.6402","-32.9414","-0.3427"
"NER","2013","34","13992","0.7359","0.7494","-188.8199","-1.3495","10.3972","15690","0.7548","0.7635","-135.7538","-0.8652","9.0536","-53.0661","1.3437"
