"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"LAFC","2019","34","17","15","2","2","0","3.8529","2.6621","1.1908","-1.1908","72","72.643"
"NYRB","2018","34","9","8","0","0","0","1.8765","1.6816","0.195","-0.195","71","59.418"
"ATL","2018","34","25","6","7","2","5","7.208","1.2352","5.9728","-0.9728","69","64.496"
"TOR","2017","34","2","5","2","3","-1","0.9567","1.7013","-0.7446","-0.2554","69","54.298"
"NYC","2019","34","21","4","5","2","3","4.1474","0.6546","3.4928","-0.4928","64","53.73"
"SEA","2014","34","17","11","4","2","2","3.0016","1.9433","1.0583","0.9417","64","54.581"
"SKC","2018","34","3","11","1","2","-1","0.763","1.8888","-1.1257","0.1257","62","56.125"
"LAG","2014","34","6","19","1","3","-2","1.3933","3.144","-1.7507","-0.2493","61","65.171"
"NYRB","2015","34","17","15","3","6","-3","3.79","4.0977","-0.3078","-2.6922","60","60.649"
"FCD","2015","34","11","15","1","2","-1","1.9506","2.9603","-1.0097","0.0097","60","47.088"
"FCD","2016","34","13","10","3","1","2","2.8602","1.9754","0.8848","1.1152","60","54.368"
"NYRB","2013","34","6","6","1","0","1","1.1945","0.8011","0.3933","0.6067","59","46.82"
"DCU","2014","34","10","13","3","0","3","1.7116","1.558","0.1535","2.8465","59","40.791"
"SEA","2018","34","8","8","2","2","0","0.915","1.5831","-0.6681","0.6681","59","44.7"
"ATL","2019","34","26","20","6","3","3","5.2347","4.1438","1.0908","1.9092","58","54.997"
"SKC","2013","34","2","9","0","3","-3","0.1958","1.7907","-1.595","-1.405","58","54.634"
"COL","2016","34","11","9","0","1","-1","1.5469","1.7139","-0.167","-0.833","58","44.299"
"NYC","2017","34","5","2","0","0","0","0.969","0.3442","0.6248","-0.6248","57","54.594"
"FCD","2018","34","14","3","2","1","1","3.1122","0.5177","2.5945","-1.5945","57","51.977"
"POR","2013","34","9","5","1","0","1","1.6696","0.5677","1.1019","-0.1019","57","51.638"
"LAFC","2018","34","11","10","2","1","1","2.4582","1.9016","0.5565","0.4435","57","55.185"
"NYRB","2016","34","7","18","1","3","-2","0.9772","3.8719","-2.8947","0.8947","57","51.823"
"RSL","2013","34","2","4","0","0","0","0.2764","1.1301","-0.8537","0.8537","56","46.071"
"SEA","2019","34","12","11","4","3","1","2.4505","2.7058","-0.2553","1.2553","56","45.867"
"RSL","2014","34","11","21","0","4","-4","1.5125","4.6886","-3.1761","-0.8239","56","43.275"
"NYC","2018","34","8","5","2","1","1","1.737","0.9195","0.8176","0.1824","56","54.887"
"NER","2014","34","9","5","4","1","3","1.1362","0.9196","0.2166","2.7834","55","46.624"
"CHI","2017","34","6","2","3","2","1","1.8169","0.5746","1.2423","-0.2423","55","49.653"
"ATL","2017","34","13","6","3","2","1","3.3339","1.6071","1.7268","-0.7268","55","50.055"
"PHI","2019","34","9","16","1","3","-2","1.9957","3.1257","-1.13","-0.87","55","53.063"
"CLB","2017","34","3","3","1","0","1","0.6883","0.4616","0.2268","0.7732","54","48.481"
"POR","2018","34","16","5","4","1","3","3.3845","1.1104","2.2741","0.7259","54","50.427"
"NYC","2016","34","14","5","5","0","5","2.3404","0.6159","1.7246","3.2754","54","46.682"
"FCD","2014","34","15","12","3","1","2","2.6814","1.768","0.9133","1.0867","54","50.416"
"RSL","2019","34","12","7","5","0","5","2.9809","1.0648","1.9161","3.0839","53","45.431"
"TOR","2016","34","7","11","3","2","1","1.6346","1.2023","0.4323","0.5677","53","57.408"
"POR","2017","34","9","4","3","2","1","3.2549","1.3637","1.8912","-0.8912","53","54.156"
"CLB","2015","34","10","15","2","5","-3","1.6493","1.9325","-0.2833","-2.7167","53","48.644"
"MIN","2019","34","10","8","3","3","0","3.056","2.8248","0.2311","-0.2311","53","52.384"
"POR","2015","34","30","11","1","0","1","4.9207","1.3302","3.5906","-2.5906","53","54.027"
"SEA","2017","34","3","7","1","2","-1","0.9171","1.5698","-0.6526","-0.3474","53","55.35"
"VAN","2015","34","25","10","5","2","3","5.4691","2.1996","3.2695","-0.2695","53","49.96"
"LAG","2013","34","7","0","2","0","2","1.8102","0","1.8102","0.1898","53","62.019"
"CLB","2014","34","19","16","2","2","0","3.0066","3.0681","-0.0615","0.0615","52","52.172"
"VAN","2017","34","5","5","1","1","0","0.4211","0.8775","-0.4565","0.4565","52","44.743"
"LAG","2016","34","8","8","3","2","1","2.2446","2.0781","0.1665","0.8335","52","48.634"
"SEA","2013","34","3","3","0","1","-1","0.7396","0.3812","0.3584","-1.3584","52","51.344"
"LAG","2019","34","13","27","3","3","0","2.0996","4.7546","-2.655","2.655","51","47.212"
"DCU","2018","34","8","10","2","1","1","2.368","2.7614","-0.3934","1.3934","51","44.263"
"COL","2013","34","4","9","1","0","1","0.5131","1.3059","-0.7928","1.7928","51","48.015"
"SKC","2015","34","7","19","2","3","-1","1.3343","4.0495","-2.7152","1.7152","51","48.65"
"MTL","2015","34","17","10","3","2","1","2.099","1.6868","0.4122","0.5878","51","45.265"
"SEA","2015","34","10","12","2","1","1","2.2224","1.2736","0.9488","0.0512","51","49.385"
"NER","2013","34","4","2","2","0","2","0.7352","0.3016","0.4336","1.5664","51","50.937"
"SJE","2013","34","3","6","0","2","-2","0.2899","1.7817","-1.4918","-0.5082","51","48.875"
"LAG","2015","34","14","14","4","5","-1","3.7051","3.2322","0.4729","-1.4729","51","47.366"
"CLB","2018","34","7","11","0","4","-4","1.0662","2.5086","-1.4424","-2.5576","51","57.27"
"HOU","2013","34","3","6","0","0","0","0.4404","1.1964","-0.756","0.756","51","48.842"
"DCU","2015","34","10","18","2","3","-1","1.3018","3.6078","-2.3059","1.3059","51","41.859"
"HOU","2017","34","13","6","5","1","4","2.4005","1.104","1.2965","2.7035","50","51.896"
"NER","2015","34","10","9","1","0","1","2.1279","1.3897","0.7382","0.2618","50","46.011"
"NYRB","2017","34","3","8","0","1","-1","0.4788","1.3239","-0.8451","-0.1549","50","50.812"
"PHI","2018","34","5","15","1","4","-3","1.2905","4.0327","-2.7422","-0.2578","50","50.37"
"VAN","2014","34","26","13","4","4","0","5.3774","2.1383","3.2391","-3.2391","50","51.104"
"NYRB","2014","34","6","6","1","2","-1","1.357","0.6714","0.6856","-1.6856","50","47.906"
"DCU","2019","34","15","11","2","1","1","2.6949","1.8185","0.8764","0.1236","50","39.772"
"TOR","2019","34","13","13","2","3","-1","1.8772","3.3881","-1.5109","0.5109","50","46.818"
"RSL","2018","34","11","15","4","3","1","2.3138","2.7997","-0.4859","1.4859","49","40.712"
"TOR","2015","34","14","15","1","3","-2","2.034","2.5692","-0.5351","-1.4649","49","52.353"
"POR","2019","34","29","12","7","0","7","6.2022","2.6447","3.5575","3.4425","49","46.228"
"SKC","2014","34","5","22","0","4","-4","0.7805","4.7847","-4.0042","0.0042","49","51.672"
"CHI","2013","34","4","6","0","1","-1","0.5529","0.8141","-0.2612","-0.7388","49","47.151"
"SKC","2017","34","5","4","2","0","2","1.3375","0.2727","1.0648","0.9352","49","56.033"
"POR","2014","34","25","10","3","2","1","3.9972","1.5857","2.4115","-1.4115","49","44.73"
"MTL","2013","34","8","7","0","2","-2","1.2984","0.8919","0.4066","-2.4066","49","47.145"
"FCD","2019","34","13","14","2","3","-1","2.2305","3.4395","-1.209","0.209","48","48.505"
"VAN","2013","34","10","9","3","1","2","2.2606","0.9551","1.3055","0.6945","48","43.705"
"SEA","2016","34","9","10","1","1","0","1.3943","2.4551","-1.0607","1.0607","48","47.069"
