"Team","Season","Games","PassF","PctFPass Completion","xPctFExpected pass completion percentage.","ScoreFNumber of passes completed over/under expected.","Per100FPasses completed over/under expected, measured per 100 passes.","VertFAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","PassA","PctAPass Completion","xPctAExpected pass completion percentage.","ScoreANumber of passes completed over/under expected.","Per100APasses completed over/under expected, measured per 100 passes.","VertAAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","ScoreDiffNumber of passes completed over/under expected.","VertDiffAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions."
"SKC","2013","34","12311","0.7761","0.7895","-165.9093","-1.3477","10.3425","10861","0.6998","0.7565","-615.5567","-5.6676","13.3006","449.6474","-2.9581"
"NYRB","2017","34","12304","0.7684","0.7675","10.7067","0.087","10.5129","10821","0.7088","0.746","-402.8773","-3.7231","12.3223","413.584","-1.8094"
"SKC","2017","34","14386","0.8426","0.8288","198.1494","1.3774","7.6322","11329","0.7668","0.7853","-209.9077","-1.8528","10.3866","408.0571","-2.7544"
"LAFC","2019","34","14160","0.865","0.8474","248.2487","1.7532","6.9367","11560","0.783","0.7956","-145.3399","-1.2573","9.5393","393.5887","-2.6026"
"NYC","2018","34","16218","0.8393","0.8315","127.0487","0.7834","6.8709","10750","0.7385","0.7633","-266.1238","-2.4756","11.1187","393.1725","-4.2478"
"SKC","2018","34","13706","0.8476","0.8338","189.6001","1.3833","7.5393","11415","0.777","0.7921","-172.033","-1.5071","10.0232","361.6331","-2.4839"
"NYRB","2016","34","12028","0.7465","0.7531","-79.2479","-0.6589","11.376","10915","0.7039","0.7348","-336.9649","-3.0872","12.7343","257.717","-1.3583"
"NYC","2017","34","14649","0.8175","0.8145","43.4364","0.2965","8.1073","11769","0.7623","0.7795","-203.1666","-1.7263","10.4483","246.603","-2.341"
"NYRB","2018","34","11025","0.7053","0.7277","-247.128","-2.2415","12.6674","12617","0.72","0.7584","-484.1734","-3.8375","10.8092","237.0453","1.8582"
"SKC","2014","34","12985","0.8044","0.8108","-83.2825","-0.6414","8.7191","10339","0.7233","0.7542","-319.614","-3.0913","12.738","236.3315","-4.0189"
