"Team","Season","Games","PassF","PctFPass Completion","xPctFExpected pass completion percentage.","ScoreFNumber of passes completed over/under expected.","Per100FPasses completed over/under expected, measured per 100 passes.","VertFAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","PassA","PctAPass Completion","xPctAExpected pass completion percentage.","ScoreANumber of passes completed over/under expected.","Per100APasses completed over/under expected, measured per 100 passes.","VertAAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","ScoreDiffNumber of passes completed over/under expected.","VertDiffAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions."
"NYRB","2017","34","4115","0.7344","0.7312","13.213","0.3211","16.279","4627","0.676","0.7074","-145.2529","-3.1392","18.6468","158.4659","-2.3678"
"SKC","2013","34","3717","0.728","0.7468","-69.8813","-1.88","18.2302","3956","0.6325","0.6889","-223.3601","-5.6461","23.8462","153.4788","-5.616"
"SJE","2014","34","4527","0.7617","0.7339","125.6832","2.7763","19.7391","3895","0.725","0.732","-27.1385","-0.6968","19.0618","152.8216","0.6772"
"SKC","2018","34","4483","0.824","0.8152","39.6436","0.8843","12.1512","4756","0.722","0.7429","-99.2214","-2.0862","16.5817","138.865","-4.4305"
"COL","2013","34","4147","0.7143","0.7104","15.905","0.3835","21.87","4077","0.6981","0.7281","-122.2834","-2.9993","21.0029","138.1884","0.8671"
"NYC","2018","34","6137","0.812","0.8062","35.0776","0.5716","11.3646","4118","0.6872","0.7122","-102.6671","-2.4931","18.8386","137.7447","-7.4741"
"SKC","2017","34","4932","0.8039","0.7993","23.0913","0.4682","13.2783","4427","0.7039","0.7263","-99.2401","-2.2417","18.4255","122.3314","-5.1472"
"SKC","2014","34","3923","0.767","0.7714","-17.2184","-0.4389","15.6332","3881","0.6573","0.6922","-135.4028","-3.4889","21.6091","118.1844","-5.9759"
"NYRB","2016","34","3885","0.6973","0.7021","-18.7719","-0.4832","18.5123","4535","0.6514","0.6804","-131.7419","-2.905","19.9171","112.97","-1.4048"
"POR","2015","34","3873","0.7263","0.6957","118.5145","3.06","21.9289","3908","0.7037","0.7005","12.5857","0.322","20.7118","105.9288","1.2171"
"FCD","2016","34","4319","0.7321","0.7357","-15.3825","-0.3562","16.8079","4417","0.7014","0.7285","-119.7312","-2.7107","17.5811","104.3488","-0.7732"
"NYC","2017","34","5998","0.7998","0.7963","20.9395","0.3491","12.4968","4173","0.6976","0.7161","-77.1716","-1.8493","19.092","98.1111","-6.5952"
"NYC","2019","34","6237","0.8103","0.8031","44.8637","0.7193","11.3947","3882","0.6994","0.7122","-49.6244","-1.2783","18.5095","94.4881","-7.1148"
"PHI","2014","34","3447","0.7111","0.7035","26.1229","0.7578","20.8857","4677","0.7492","0.7631","-64.7991","-1.3855","17.4571","90.922","3.4286"
"LAFC","2019","34","4537","0.8338","0.8203","61.5233","1.356","11.4692","4953","0.7531","0.7588","-28.3743","-0.5729","15.6567","89.8976","-4.1875"
"FCD","2017","34","4578","0.7691","0.7642","22.2703","0.4865","15.6691","4441","0.7296","0.7442","-64.9995","-1.4636","17.5513","87.2698","-1.8823"
"CLB","2018","34","5360","0.8457","0.8304","81.842","1.5269","10.3126","5075","0.7886","0.7889","-1.9211","-0.0379","14.1017","83.7631","-3.789"
"SEA","2013","34","4024","0.7423","0.7496","-29.4082","-0.7308","18.6192","3863","0.6901","0.7193","-112.6854","-2.917","21.035","83.2772","-2.4158"
"ORL","2015","34","4589","0.8032","0.7803","105.3944","2.2967","14.5883","3872","0.7627","0.7561","25.3429","0.6545","16.8688","80.0516","-2.2805"
"SEA","2017","34","4665","0.7859","0.7671","87.2573","1.8705","15.1163","4544","0.7676","0.7658","8.3725","0.1843","16.2192","78.8848","-1.1029"
"SKC","2016","34","3836","0.7195","0.7203","-3.1871","-0.0831","18.3974","4138","0.6788","0.6981","-79.6621","-1.9251","19.4779","76.475","-1.0804"
"COL","2016","34","4705","0.7573","0.7496","36.3109","0.7718","15.8195","4481","0.7184","0.7272","-39.5556","-0.8827","17.6484","75.8664","-1.8289"
"VAN","2014","34","4219","0.7601","0.7529","30.68","0.7272","18.0721","4062","0.7267","0.7378","-44.7566","-1.1018","19.094","75.4366","-1.0219"
"LAG","2019","34","4130","0.7862","0.7579","116.7299","2.8264","16.3868","4447","0.7942","0.7839","45.9049","1.0323","14.1499","70.825","2.2369"
"SJE","2013","34","3625","0.7079","0.6968","40.2556","1.1105","22.8328","4199","0.718","0.7251","-29.7047","-0.7074","20.8811","69.9603","1.9516"
"NYC","2015","34","4494","0.7588","0.7419","76.1212","1.6938","17.49","3789","0.7052","0.7033","7.0832","0.1869","20.2565","69.0379","-2.7665"
"FCD","2019","34","6041","0.8421","0.8332","53.3466","0.8831","9.7156","4373","0.785","0.7883","-14.3014","-0.327","13.6762","67.6481","-3.9605"
"CLB","2015","34","5167","0.8152","0.8014","71.1158","1.3763","13.9863","3988","0.7437","0.7419","7.1556","0.1794","18.5628","63.9602","-4.5765"
"TOR","2014","34","4428","0.7538","0.7506","14.521","0.3279","17.7203","3958","0.714","0.7259","-46.9285","-1.1857","19.5003","61.4496","-1.78"
"PHI","2018","34","4224","0.7701","0.7524","74.7847","1.7705","16.4168","5300","0.8038","0.8011","14.3452","0.2707","12.5303","60.4395","3.8865"
"CLB","2017","34","5047","0.8029","0.7944","42.7054","0.8462","13.6548","4768","0.7649","0.7683","-16.3447","-0.3428","16.0635","59.0502","-2.4087"
"LAG","2018","34","4186","0.7499","0.7375","51.8352","1.2383","17.7649","4651","0.7781","0.7784","-1.1159","-0.024","13.7859","52.9511","3.979"
"ATL","2019","34","4669","0.8049","0.7981","31.7408","0.6798","12.8134","4110","0.7438","0.7488","-20.4435","-0.4974","16.1314","52.1843","-3.3179"
"NYRB","2018","34","3631","0.6571","0.6799","-82.5432","-2.2733","19.6368","5131","0.6962","0.7224","-134.5097","-2.6215","16.3051","51.9665","3.3317"
"NER","2019","34","3562","0.7238","0.707","59.6169","1.6737","19.2596","5454","0.7739","0.7722","9.6906","0.1777","13.6114","49.9263","5.6482"
"MTL","2013","34","4753","0.7873","0.7933","-28.7153","-0.6042","16.2412","3540","0.7045","0.7264","-77.4926","-2.1891","21.1855","48.7773","-4.9443"
"NYC","2016","34","6104","0.8082","0.804","25.6365","0.42","11.8491","3953","0.7119","0.7165","-18.467","-0.4672","18.5407","44.1035","-6.6915"
"SEA","2014","34","4043","0.7682","0.7638","17.9276","0.4434","17.1927","4206","0.7475","0.7532","-24.0575","-0.572","17.8829","41.9851","-0.6902"
"SKC","2019","34","4965","0.8288","0.8214","36.6563","0.7383","11.6675","4816","0.7716","0.7724","-4.0582","-0.0843","14.2626","40.7146","-2.5951"
"CHI","2019","34","4442","0.7852","0.7772","35.4558","0.7982","13.8118","4681","0.7703","0.7714","-5.0586","-0.1081","14.1726","40.5145","-0.3608"
"FCD","2013","34","3833","0.748","0.7488","-3.325","-0.0867","19.1866","3464","0.7032","0.7156","-42.8585","-1.2373","22.1561","39.5335","-2.9695"
"SEA","2016","34","4960","0.7776","0.7643","65.9734","1.3301","14.7175","4014","0.7412","0.7336","30.2344","0.7532","17.4012","35.7391","-2.6837"
"LAG","2013","34","3818","0.7289","0.7457","-63.9339","-1.6745","18.7589","4167","0.6962","0.7192","-95.8241","-2.2996","21.0301","31.8902","-2.2713"
"TOR","2016","34","4617","0.741","0.7378","14.4544","0.3131","17.1392","4386","0.7145","0.7184","-16.7954","-0.3829","18.2477","31.2497","-1.1085"
"TOR","2013","34","3753","0.644","0.661","-63.6585","-1.6962","26.7596","4048","0.7018","0.7248","-93.155","-2.3013","20.4021","29.4965","6.3575"
"RSL","2017","34","3992","0.7352","0.7376","-9.6236","-0.2411","17.4363","4649","0.7268","0.7351","-38.3096","-0.824","17.829","28.686","-0.3926"
"SEA","2015","34","5064","0.7664","0.7574","45.5888","0.9003","15.8694","3728","0.7299","0.7251","17.6846","0.4744","18.8743","27.9041","-3.0048"
"ATL","2017","34","5032","0.784","0.7825","7.3041","0.1452","14.0308","3748","0.6886","0.694","-20.2715","-0.5409","20.146","27.5756","-6.1152"
"PHI","2016","34","3750","0.7048","0.6988","22.4929","0.5998","18.9571","4579","0.7253","0.7257","-1.8222","-0.0398","17.0175","24.3151","1.9396"
"FCD","2018","34","4358","0.7685","0.7599","37.3742","0.8576","15.5506","4588","0.7875","0.7846","13.2","0.2877","13.9699","24.1742","1.5807"
"COL","2018","34","5208","0.7865","0.7837","14.4792","0.278","13.7011","4751","0.7758","0.7772","-6.3631","-0.1339","14.9235","20.8423","-1.2225"
"NER","2018","34","3436","0.7046","0.7139","-31.8994","-0.9284","18.489","5594","0.7331","0.7424","-52.2291","-0.9337","15.4119","20.3296","3.0771"
"PHI","2020","2","213","0.6714","0.6308","8.63","4.0516","24.1878","324","0.7778","0.8112","-10.8237","-3.3406","11.029","19.4536","13.1588"
"NYRB","2019","34","3414","0.6169","0.6471","-103.2521","-3.0244","20.4853","5372","0.7098","0.7323","-120.9744","-2.2519","15.5923","17.7223","4.8929"
"PHI","2019","34","4031","0.7621","0.7545","30.553","0.758","15.7495","5147","0.796","0.7935","12.8388","0.2494","12.7309","17.7142","3.0185"
"NSH","2020","2","160","0.7438","0.7602","-2.6356","-1.6472","13.7777","348","0.7443","0.8005","-19.5592","-5.6205","12.9557","16.9236","0.822"
"CHI","2020","2","266","0.7632","0.7314","8.4527","3.1777","13.1528","262","0.729","0.7526","-6.1931","-2.3638","15.5193","14.6457","-2.3665"
"SKC","2020","2","256","0.7695","0.7526","4.3273","1.6903","14.6117","371","0.8059","0.8331","-10.0728","-2.715","9.7911","14.4","4.8206"
"TOR","2017","34","4599","0.7678","0.7577","46.234","1.0053","16.6909","4578","0.756","0.749","31.9363","0.6976","16.0621","14.2977","0.6288"
"TOR","2019","34","5105","0.8286","0.8105","92.4854","1.8117","12.0648","5001","0.813","0.7971","79.4735","1.5892","12.3899","13.0119","-0.3251"
"COL","2014","34","4584","0.7426","0.7355","32.6206","0.7116","19.5879","4320","0.7447","0.74","20.1106","0.4655","18.6699","12.51","0.9181"
"CLB","2020","2","254","0.7913","0.7611","7.6707","3.02","14.0848","381","0.7795","0.7912","-4.4617","-1.1711","11.8731","12.1324","2.2117"
"SJE","2020","2","319","0.8276","0.8032","7.7696","2.4356","11.46","195","0.6769","0.6953","-3.5907","-1.8414","19.2769","11.3603","-7.817"
"ORL","2017","34","4217","0.737","0.7366","1.7557","0.0416","17.9703","4272","0.758","0.7601","-9.3469","-0.2188","15.7979","11.1026","2.1724"
"ORL","2018","34","4983","0.7959","0.7845","56.6473","1.1368","13.5921","4235","0.7969","0.786","46.1035","1.0886","14.3609","10.5438","-0.7688"
"CLB","2016","34","5243","0.8175","0.8033","74.2963","1.4171","12.2223","4437","0.7616","0.7471","64.0128","1.4427","17.4718","10.2835","-5.2495"
"LAFC","2018","34","4551","0.8033","0.8066","-14.7091","-0.3232","12.8626","4731","0.7652","0.7703","-24.2137","-0.5118","14.9044","9.5046","-2.0418"
"TOR","2018","34","4989","0.801","0.7903","53.4287","1.0709","13.6995","4459","0.773","0.7627","45.9989","1.0316","14.6243","7.4298","-0.9248"
"DCU","2014","34","4145","0.6938","0.7046","-44.628","-1.0767","22.0558","4052","0.7243","0.737","-51.3726","-1.2678","18.8839","6.7446","3.172"
"NYRB","2020","2","183","0.6066","0.6485","-7.6811","-4.1973","22.7574","435","0.7356","0.7687","-14.3983","-3.31","12.3724","6.7172","10.385"
"VAN","2015","34","4048","0.733","0.7327","1.1371","0.0281","18.4614","4198","0.7213","0.7223","-4.3628","-0.1039","18.635","5.5","-0.1735"
"FCD","2015","34","4090","0.7372","0.7359","5.1298","0.1254","17.6493","3982","0.7275","0.7272","1.1845","0.0297","18.9696","3.9453","-1.3203"
"RSL","2020","2","325","0.7446","0.7588","-4.6032","-1.4164","14.9001","199","0.6432","0.686","-8.505","-4.2739","20.0036","3.9018","-5.1035"
"MIA","2020","2","208","0.6394","0.6459","-1.3534","-0.6507","19.7656","334","0.7844","0.7945","-3.3517","-1.0035","13.0394","1.9983","6.7262"
"ATL","2020","2","292","0.8185","0.8172","0.3663","0.1255","11.4043","220","0.7864","0.7923","-1.3057","-0.5935","11.752","1.672","-0.3477"
"RSL","2018","34","5321","0.797","0.7925","24.3069","0.4568","12.823","4412","0.7729","0.7677","22.7574","0.5158","14.9988","1.5495","-2.1759"
"ORL","2016","34","4409","0.753","0.7445","37.4114","0.8485","16.6131","3809","0.7225","0.713","36.0152","0.9455","18.3228","1.3963","-1.7097"
"NER","2020","2","193","0.6891","0.6698","3.72","1.9275","20.5022","257","0.7354","0.7238","2.9872","1.1623","15.3523","0.7328","5.1499"
"COL","2020","2","365","0.7808","0.7764","1.6076","0.4404","12.2748","270","0.7852","0.7746","2.8618","1.0599","14.3452","-1.2542","-2.0704"
"DCU","2020","2","325","0.7815","0.7948","-4.3153","-1.3278","12.6726","298","0.7181","0.728","-2.9325","-0.9841","14.3306","-1.3828","-1.658"
"COL","2019","34","3990","0.7238","0.7149","35.426","0.8879","18.9544","4652","0.8033","0.7953","37.2003","0.7997","13.3619","-1.7743","5.5925"
"NER","2013","34","3862","0.7002","0.7135","-51.3953","-1.3308","22.6474","4105","0.732","0.7441","-49.4449","-1.2045","19.3589","-1.9504","3.2885"
"MIN","2020","2","206","0.6942","0.6806","2.7885","1.3537","22.9525","292","0.8048","0.7879","4.9257","1.6869","13.0293","-2.1372","9.9233"
"NYC","2020","2","344","0.7674","0.7857","-6.2882","-1.828","11.4696","263","0.7605","0.7747","-3.7542","-1.4275","13.5551","-2.5339","-2.0856"
"FCD","2020","2","304","0.7928","0.8063","-4.1131","-1.353","11.814","245","0.7143","0.7183","-0.9818","-0.4007","16.6863","-3.1313","-4.8723"
"SEA","2020","2","381","0.832","0.8241","3.0117","0.7905","10.0989","244","0.7623","0.7369","6.2031","2.5423","14.2393","-3.1914","-4.1404"
"HOU","2020","2","261","0.7471","0.7731","-6.7875","-2.6006","13.9432","250","0.708","0.7213","-3.3294","-1.3318","17.5596","-3.4581","-3.6164"
"SKC","2015","34","3576","0.6832","0.6853","-7.4734","-0.209","20.9201","4314","0.7065","0.7075","-3.9419","-0.0914","19.2705","-3.5315","1.6496"
"SEA","2018","34","4591","0.7637","0.7675","-17.6103","-0.3836","14.6214","4479","0.7805","0.7834","-13.0015","-0.2903","13.524","-4.6088","1.0974"
"RSL","2013","34","4338","0.751","0.7587","-33.1634","-0.7645","18.4774","3348","0.7228","0.7312","-28.2056","-0.8425","21.1288","-4.9577","-2.6515"
"DCU","2018","34","4700","0.7491","0.7565","-34.698","-0.7383","14.4635","4381","0.7633","0.7701","-29.6648","-0.6771","14.0994","-5.0331","0.3641"
"SJE","2019","34","5376","0.8287","0.8188","52.9555","0.985","11.193","4011","0.7671","0.7527","58.0516","1.4473","16.5755","-5.0961","-5.3824"
"COL","2017","34","4561","0.7367","0.7414","-21.5792","-0.4731","17.919","4672","0.7613","0.7648","-16.2157","-0.3471","15.934","-5.3635","1.985"
"LAG","2020","2","243","0.716","0.7278","-2.8552","-1.175","17.5429","225","0.7778","0.7665","2.5427","1.1301","14.8171","-5.3979","2.7258"
"VAN","2020","2","335","0.8328","0.8351","-0.7426","-0.2217","9.9319","249","0.7791","0.7598","4.8014","1.9283","14.5126","-5.544","-4.5807"
"ORL","2020","2","231","0.7662","0.7705","-0.9955","-0.431","14.4357","320","0.7688","0.7502","5.9261","1.8519","13.8428","-6.9217","0.593"
"RSL","2015","34","3902","0.7283","0.7245","14.9321","0.3827","18.641","3802","0.7173","0.7115","21.99","0.5784","19.7478","-7.0579","-1.1068"
"HOU","2013","34","4205","0.7189","0.7336","-61.6376","-1.4658","21.0907","3799","0.7052","0.7194","-53.9874","-1.4211","21.409","-7.6502","-0.3184"
"MTL","2016","34","4220","0.7246","0.7155","38.6505","0.9159","18.6889","4189","0.7639","0.7528","46.6571","1.1138","15.7025","-8.0066","2.9864"
"POR","2013","34","3847","0.7128","0.7333","-79.0991","-2.0561","21.2471","3572","0.6641","0.6837","-70.2301","-1.9661","23.6342","-8.869","-2.3871"
