"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Brad Davis","HOU","2013","2326","3","2","0","0.0639","0.5226","-0.0639","26","2","3.0335","-1.0334","3.0974","0","0.0358"
"Sebastien Le Toux","PHI","2013","2403","2","1","0","0.0365","-0.0032","-0.0365","28","3","2.727","0.273","2.7635","0","0.0432"
"Shea Salinas","SJE","2013","2092","0","0","0","0","0","0","24","1","2.71","-1.71","2.71","0","0"
"Chris Wondolowski","SJE","2013","2826","13","4","3","2.5491","0.1798","0.4509","2","0","0.1209","-0.1209","2.67","4.1354","3.0085"
"Graham Zusi","SKC","2013","2563","1","0","0","0.0225","-0.0225","-0.0225","30","4","2.5063","1.4937","2.5288","0","0.0079"
"Federico Higuaín","CLB","2013","2782","1","0","0","0.021","-0.021","-0.021","27","3","2.4118","0.5882","2.4328","0","0.0134"
"Giles Barnes","HOU","2013","2653","17","4","2","2.1565","-0.6647","-0.1565","0","0","0","0","2.1565","1.4527","1.4527"
"Camilo Sanvezzo","VAN","2013","2580","11","3","0","1.5168","-0.8457","-1.5168","8","1","0.6128","0.3872","2.1295","0","0.8969"
"Michel","FCD","2013","2478","4","0","0","0.346","-0.346","-0.346","10","1","1.7513","-0.7513","2.0972","0","0.2513"
"Chris Tierney","NER","2013","2556","3","0","0","0.074","-0.074","-0.074","13","1","1.9895","-0.9895","2.0635","0","0.062"
"Jack McInerney","PHI","2013","2367","12","4","3","1.991","0.0741","1.009","1","0","0.0699","-0.0699","2.0608","2.8147","1.9341"
"Drew Moor","COL","2013","3023","14","5","3","1.9113","0.9996","1.0887","0","0","0","0","1.9113","1.8169","1.3483"
"Warren Creavalle","HOU","2013","1764","4","3","2","1.8428","0.3724","0.1572","0","0","0","0","1.8428","2.6638","2.0933"
"Javier Morales","RSL","2013","2466","3","2","2","0.5541","1.1815","1.4459","23","1","1.1927","-0.1927","1.7469","0.7708","0.2393"
"Jámison Olave","NYRB","2013","2559","7","4","3","1.717","1.0068","1.2829","0","0","0","0","1.717","1.7283","1.1853"
"Will Johnson","POR","2013","2725","6","3","2","0.9446","0.4767","1.0554","11","1","0.7586","0.2414","1.7032","1.0846","0.9213"
"Amobi Okugo","PHI","2013","3125","15","2","1","1.6761","-1.2192","-0.6761","0","0","0","0","1.6761","0.6786","0.9876"
"Chad Marshall","CLB","2013","2857","16","5","0","1.6078","-0.361","-1.6078","1","0","0.0337","-0.0337","1.6415","0","1.2575"
"Matt Hedges","FCD","2013","3030","6","1","1","1.4093","-0.4404","-0.4093","1","0","0.2233","-0.2233","1.6326","0.5759","0.8642"
"Dillon Powers","COL","2013","2646","2","1","1","0.2033","0.3571","0.7967","23","2","1.4182","0.5818","1.6215","0.5443","0.1104"
"Thierry Henry","NYRB","2013","2734","3","2","1","0.2552","0.5736","0.7448","16","2","1.3404","0.6596","1.5956","0.1495","0.0381"
"Sean Franklin","LAG","2013","2946","6","2","1","1.491","-0.5461","-0.491","1","0","0.102","-0.102","1.593","0.5608","0.8554"
"Diego Valeri","POR","2013","2417","3","1","0","0.0794","-0.0309","-0.0794","17","3","1.4923","1.5077","1.5717","0","0.0419"
"Mike Magee","CHI","2013","2032","9","2","0","0.5732","0.0258","-0.5732","19","1","0.9892","0.0108","1.5625","0","0.3718"
"George John","FCD","2013","2245","6","3","1","1.29","0.9234","-0.29","2","0","0.2648","-0.2648","1.5549","1.3477","1.3376"
"Mauro Rosales","SEA","2013","2291","0","0","0","0","0","0","22","2","1.5513","0.4487","1.5513","0","0"
"Will Bruin","HOU","2013","2768","13","2","0","1.5413","-0.6495","-1.5413","0","0","0","0","1.5413","0","0.9982"
"Robbie Keane","LAG","2013","2113","2","2","2","0.483","0.6529","1.517","2","1","0.879","0.121","1.362","0.3581","0.058"
"Edgar Mejía","CHV","2013","2428","3","1","0","0.8005","-0.1149","-0.8005","13","0","0.5577","-0.5577","1.3582","0","0.555"
"Omar González","LAG","2013","2539","12","4","1","0.7718","0.2433","0.2282","4","1","0.5752","0.4248","1.347","0.329","0.3654"
"Boniek García","HOU","2013","2056","2","1","0","0.068","0.4592","-0.068","11","0","1.2299","-1.2299","1.2978","0","0.0486"
"David Ferreira","FCD","2013","2626","1","0","0","0.0746","-0.0746","-0.0746","8","1","1.2025","-0.2025","1.2772","0","0.0447"
"Deshorn Brown","COL","2013","2317","9","1","0","1.2764","-0.6193","-1.2764","0","0","0","0","1.2764","0","0.9533"
"Matteo Ferrari","MTL","2013","3041","6","2","1","0.8548","0.4128","0.1452","1","1","0.4101","0.5899","1.2649","1.8513","0.894"
"Álvaro Saborio","RSL","2013","1449","7","2","0","1.2316","-0.4911","-1.2316","0","0","0","0","1.2316","0","0.6551"
"Juninho Pereira","LAG","2013","2963","7","2","0","0.2793","-0.1066","-0.2793","18","0","0.9204","-0.9204","1.1997","0","0.219"
"Hassoun Camara","MTL","2013","3115","12","3","2","0.8658","0.5055","1.1342","2","0","0.3017","-0.3017","1.1675","1.0884","0.6489"
"Claudio Bieler","SKC","2013","2243","7","1","1","1.1076","-0.3258","-0.1076","0","0","0","0","1.1076","0.5399","0.6451"
"Gyasi Zardes","LAG","2013","2317","10","2","0","1.0963","-0.3076","-1.0963","0","0","0","0","1.0963","0","0.5989"
"Mike Magee","LAG","2013","955","7","1","1","1.0582","-0.1115","-0.0582","1","0","0.013","-0.013","1.0712","0.5179","0.6854"
"Landon Donovan","LAG","2013","2008","1","0","0","0.0365","-0.0365","-0.0365","14","1","1.0329","-0.0329","1.0694","0","0.0018"
"Bobby Boswell","HOU","2013","3043","11","2","0","0.9947","-0.2403","-0.9947","2","0","0.0746","-0.0746","1.0694","0","0.618"
"Austin Berry","CHI","2013","3300","7","4","1","0.7513","0.8865","0.2487","1","0","0.3036","-0.3036","1.055","0.7378","0.4812"
"Andrew Jean Baptiste","POR","2013","2343","11","3","1","1.0136","0.0404","-0.0136","1","0","0.0399","-0.0399","1.0534","1.8513","0.5296"
"Brian Carroll","PHI","2013","3223","3","1","1","0.5654","0.183","0.4346","2","1","0.4714","0.5286","1.0367","0.9385","0.444"
"Osvaldo Alonso","SEA","2013","2351","13","1","0","1.015","-0.404","-1.015","1","0","0.0149","-0.0149","1.0299","0","0.6676"
"Tim Cahill","NYRB","2013","2393","12","4","2","0.9772","0.2867","1.0228","1","1","0.0448","0.9552","1.022","0.7741","0.5325"
"Lee Nguyen","NER","2013","3069","5","2","0","0.1669","0.1697","-0.1669","13","1","0.8451","0.1549","1.012","0","0.0941"
"Steven Caldwell","TOR","2013","2230","9","3","1","1.0066","0.1195","-0.0066","0","0","0","0","1.0066","0.612","0.8239"
"Nick LaBrocca","COL","2013","1300","3","1","0","0.0627","0.0283","-0.0627","3","1","0.9148","0.0852","0.9776","0","0.0366"
"Diego Fagundez","NER","2013","2593","3","2","1","0.9504","0.3241","0.0496","1","0","0.0193","-0.0193","0.9697","0.7951","0.7516"
"Sheanon Williams","PHI","2013","3105","4","1","1","0.7057","-0.3075","0.2943","2","2","0.2519","1.7481","0.9575","0.3741","0.5442"
"Chance Myers","SKC","2013","2595","6","1","0","0.9276","-0.5605","-0.9276","0","0","0","0","0.9276","0","0.4179"
"Ike Opara","SKC","2013","1529","10","6","3","0.7304","1.0495","2.2696","2","0","0.1968","-0.1968","0.9272","2.4938","0.6436"
"Conor Casey","PHI","2013","2361","11","5","2","0.9031","0.4964","1.0969","1","0","0.0152","-0.0152","0.9183","1.4483","0.7332"
"Brad Evans","SEA","2013","1896","5","0","0","0.2678","-0.2678","-0.2678","4","0","0.6502","-0.6502","0.9181","0","0.2991"
"Eddie Johnson","SEA","2013","1862","10","4","2","0.9084","0.0678","1.0916","0","0","0","0","0.9084","1.1925","0.5046"
"Kyle Porter","DCU","2013","1708","2","0","0","0.0804","-0.0804","-0.0804","15","0","0.8227","-0.8227","0.903","0","0.0735"
"Nathan Sturgis","COL","2013","2186","6","2","2","0.7842","0.6126","1.2158","2","0","0.1036","-0.1036","0.8878","1.3308","0.5507"
"Saër Sène","NER","2013","1337","3","1","0","0.8545","-0.2308","-0.8545","1","0","0.0217","-0.0217","0.8763","0","0.8658"
"Jeb Brovsky","MTL","2013","2832","4","1","1","0.865","0.004","0.135","0","0","0","0","0.865","0.1195","0.1239"
"Robbie Findley","RSL","2013","1335","2","1","1","0.8479","0.0208","0.1521","0","0","0","0","0.8479","0.2998","0.273"
