"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"NYRB","2013","34","28","28","5","2","3","3.8918","3.2009","0.6908","2.3092","59","46.82"
"SKC","2013","34","49","34","3","4","-1","4.6165","4.1055","0.511","-1.511","58","54.634"
"POR","2013","34","21","38","5","6","-1","3.4249","5.2098","-1.7849","0.7849","57","51.638"
"RSL","2013","34","36","27","6","5","1","5.0269","3.9328","1.094","-0.094","56","46.071"
"LAG","2013","34","20","16","3","6","-3","3.2107","2.3077","0.9031","-3.9031","53","62.019"
"SEA","2013","34","31","39","5","4","1","3.1372","4.108","-0.9707","1.9707","52","51.344"
"COL","2013","34","26","32","3","2","1","2.9198","2.2597","0.6601","0.3399","51","48.015"
"NER","2013","34","20","23","2","1","1","2.3866","2.6307","-0.244","1.244","51","50.937"
"SJE","2013","34","37","26","4","2","2","4.9695","2.7718","2.1977","-0.1977","51","48.875"
"HOU","2013","34","30","24","3","2","1","3.4516","1.8346","1.617","-0.617","51","48.842"
"CHI","2013","34","31","29","3","6","-3","2.9806","4.6708","-1.6902","-1.3097","49","47.151"
"MTL","2013","34","18","33","4","4","0","1.376","2.8734","-1.4974","1.4974","49","47.145"
"VAN","2013","34","18","23","1","2","-1","1.5899","3.9057","-2.3158","1.3158","48","43.705"
"PHI","2013","34","19","27","4","6","-2","3.0357","3.9345","-0.8987","-1.1013","46","48.193"
"FCD","2013","34","39","25","12","2","10","6.0239","2.6441","3.3797","6.6203","44","47.953"
"CLB","2013","34","38","33","4","5","-1","2.3963","2.5087","-0.1124","-0.8876","41","47.14"
"TOR","2013","34","27","32","5","3","2","3.2029","2.1304","1.0724","0.9276","29","36.754"
"CHV","2013","34","29","31","1","5","-4","2.0676","3.8792","-1.8116","-2.1884","26","27.608"
"DCU","2013","34","26","23","1","7","-6","2.2197","3.0197","-0.8","-5.2","16","31.241"
"SEA","2014","34","39","27","6","1","5","3.8571","2.0694","1.7877","3.2123","64","54.581"
"LAG","2014","34","22","16","2","2","0","1.6619","1.2262","0.4357","-0.4357","61","65.171"
"DCU","2014","34","22","19","3","0","3","2.1281","1.1685","0.9596","2.0404","59","40.791"
"RSL","2014","34","31","32","4","5","-1","3.4936","3.0372","0.4564","-1.4564","56","43.275"
"NER","2014","34","27","28","5","3","2","3.2247","2.9232","0.3014","1.6986","55","46.624"
"FCD","2014","34","28","31","7","1","6","3.3507","2.159","1.1917","4.8083","54","50.416"
"CLB","2014","34","17","22","0","4","-4","1.3658","3.1938","-1.8281","-2.1719","52","52.172"
"VAN","2014","34","17","34","1","2","-1","1.7373","2.778","-1.0406","0.0406","50","51.104"
"NYRB","2014","34","27","21","2","3","-1","2.8675","2.3429","0.5246","-1.5246","50","47.906"
"SKC","2014","34","28","26","3","4","-1","2.2304","3.2346","-1.0042","0.0042","49","51.672"
"POR","2014","34","22","34","1","3","-2","3.0091","4.226","-1.2169","-0.7831","49","44.73"
"PHI","2014","34","20","26","2","5","-3","1.9994","2.8277","-0.8282","-2.1718","42","50.258"
