"Player","Team","Season","MinutesIncludes stoppage time.","Passes","Pass %Pass Completion","xPass %Expected pass completion percentage.","ScoreNumber of passes completed over/under expected.","Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","Touch %Players' share of their team's number of touches."
"Marco Donadel","MTL","2015","2127","204","0.8775","0.8289","9.8983","4.8521","21.5391","7.3155","0.0691"
"Chris Mavinga","TOR","2018","1000","266","0.8872","0.85","9.8948","3.7198","21.0752","7.5312","0.1444"
"A.J. DeLaGarza","LAG","2016","2232","357","0.8095","0.7818","9.882","2.7681","21.7575","9.3659","0.1077"
"Sean St Ledger","ORL","2015","1307","311","0.8746","0.8429","9.847","3.1662","22.1454","8.9212","0.1591"
"Tally Hall","HOU","2013","3306","1172","0.564","0.5556","9.8384","0.8395","51.3958","46.5898","0.2188"
"Graham Zusi","SKC","2018","3369","505","0.8139","0.7944","9.813","1.9432","21.5993","7.5522","0.1154"
"DaMarcus Beasley","HOU","2015","2565","347","0.7522","0.7239","9.8129","2.8279","20.7618","11.2054","0.1188"
"Laurent Ciman","MTL","2015","2576","563","0.8011","0.7837","9.7961","1.74","27.4217","12.4126","0.1806"
"Jorge Moreira","POR","2019","2482","293","0.7577","0.7243","9.7697","3.3344","22.157","13.5661","0.1051"
"Ben Sweat","NYC","2018","2379","440","0.8023","0.7801","9.7548","2.217","19.3948","7.9264","0.0953"
"Steven Beitashour","SJE","2013","2629","315","0.7492","0.7182","9.7528","3.0961","24.4194","15.8145","0.1138"
"Jordan Stewart","SJE","2014","2788","438","0.8059","0.7837","9.7229","2.2198","23.674","10.6244","0.1071"
"Johnny Leverón","VAN","2014","1506","369","0.8211","0.7948","9.72","2.6342","25.511","14.3725","0.1816"
"Harrison Afful","CLB","2019","2101","349","0.765","0.7373","9.6983","2.7789","20.7517","9.201","0.1083"
"Jonathan Campbell","CHI","2016","3049","784","0.7972","0.7848","9.6872","1.2356","26.7232","12.1108","0.1738"
"Steve Clark","CLB","2016","3105","1112","0.7716","0.7629","9.6826","0.8707","36.2873","27.144","0.1983"
"José Gonçalves","NER","2015","2666","466","0.7575","0.7367","9.6776","2.0767","27.1834","14.2637","0.1593"
"Dan Gargan","LAG","2015","1916","265","0.7698","0.7335","9.6248","3.632","24.789","13.9675","0.0911"
"Tim Parker","NYRB","2018","2858","494","0.7571","0.7377","9.5773","1.9387","22.8972","13.3738","0.1547"
"Andrés Imperiale","SJE","2017","1198","351","0.8091","0.7819","9.537","2.7171","25.888","13.4222","0.1794"
"Víctor Cabrera","MTL","2016","2084","466","0.7961","0.7757","9.5276","2.0446","26.3105","10.4541","0.1656"
"Rafael Ramos","ORL","2015","2153","298","0.7819","0.75","9.4988","3.1875","20.1033","8.7593","0.0862"
"Lalas Abubakar","CLB","2017","574","131","0.9313","0.8593","9.437","7.2038","20.7858","3.4605","0.1358"
"Nick Besler","RSL","2018","1599","494","0.8806","0.8615","9.4327","1.9095","23.1458","7.411","0.1352"
"Héctor Jiménez","CLB","2017","1457","164","0.7927","0.7353","9.4127","5.7395","19.9723","11.2174","0.0672"
"Aníbal Godoy","SJE","2017","2285","273","0.9121","0.8776","9.4082","3.4462","19.9822","5.1678","0.0768"
"Larrys Mabiala","POR","2017","1265","268","0.847","0.8119","9.4023","3.5083","22.2835","8.0002","0.1619"
"Raïs M'bolhi","PHI","2015","494","144","0.5486","0.4834","9.3887","6.5199","51.2343","47.2155","0.2094"
"Osvaldo Alonso","SEA","2017","2229","379","0.8997","0.875","9.3733","2.4732","21.0681","6.4949","0.1064"
"Gastón Sauro","CLB","2016","981","257","0.8482","0.8118","9.3562","3.6405","22.2364","7.5685","0.1325"
"Andrés Imperiale","SJE","2016","938","165","0.7515","0.6949","9.3412","5.6614","26.1386","15.3473","0.1327"
"Leonardo González","SEA","2014","1985","273","0.7253","0.6912","9.3054","3.4086","22.8617","16.1636","0.1024"
"Pa Modou Kah","VAN","2015","2340","519","0.7958","0.7779","9.265","1.7852","26.9775","14.4605","0.1631"
"Will Johnson","ORL","2018","2353","255","0.8314","0.7954","9.1712","3.5966","21.4265","6.8815","0.0709"
"Graham Zusi","SKC","2019","2587","377","0.8329","0.8086","9.1482","2.4266","20.7391","6.4504","0.0986"
"Jámison Olave","RSL","2015","1984","301","0.8571","0.8269","9.1151","3.0283","21.3425","5.2778","0.1422"
"Kai Wagner","PHI","2019","2951","300","0.7433","0.713","9.1096","3.0365","19.6519","10.4405","0.0981"
"Steven Birnbaum","DCU","2019","3353","659","0.7967","0.7828","9.109","1.3823","22.7079","11.6792","0.1477"
"Luke Boden","ORL","2016","1736","272","0.7463","0.7131","9.031","3.3202","20.2656","11.9156","0.1038"
"Marc Burch","COL","2014","2036","252","0.6905","0.6547","9.0063","3.5739","28.6627","18.9522","0.094"
"Oriol Rosell","ORL","2018","1868","301","0.8704","0.8406","8.9839","2.9847","20.6466","7.6145","0.0888"
"Edwin Cerrillo","FCD","2019","1017","205","0.9512","0.9074","8.9766","4.3788","19.3082","2.539","0.0922"
"Jeff Larentowicz","CHI","2015","2815","592","0.799","0.7839","8.9601","1.5135","26.1098","13.0245","0.1794"
"Chris Korb","DCU","2015","1557","216","0.7269","0.6854","8.9543","4.1455","24.6351","17.7521","0.1006"
"Tyrone Mears","SEA","2016","3043","400","0.765","0.7426","8.9445","2.2361","21.2622","9.2221","0.0886"
"Greg Ranjitsingh","ORL","2019","204","77","0.6494","0.5333","8.9321","11.6001","51.425","45.4952","0.2129"
"Justen Glad","RSL","2017","1759","423","0.8322","0.8111","8.9194","2.1086","24.6111","8.8803","0.1854"
"Leonardo","HOU","2018","1976","456","0.8487","0.8291","8.9092","1.9538","26.1754","8.7698","0.1482"
"Doneil Henry","VAN","2018","1391","337","0.8398","0.8136","8.8334","2.6212","24.0278","11.8245","0.1876"
"Jeff Attinella","POR","2017","1352","387","0.6693","0.6466","8.763","2.2643","47.2112","39.9258","0.1804"
"Maxime Chanot","NYC","2016","536","209","0.8708","0.8289","8.7554","4.1892","21.856","7.8305","0.1782"
"Zach Scott","SEA","2016","963","237","0.8354","0.7985","8.7468","3.6906","26.4539","10.5159","0.1191"
"Kendall Waston","CIN","2019","2399","656","0.814","0.8007","8.7381","1.332","25.2714","10.3071","0.1829"
"Clint Irwin","TOR","2018","684","201","0.7562","0.7128","8.7219","4.3393","36.9127","30.8251","0.1886"
"José Aja","ORL","2016","899","203","0.798","0.7551","8.7169","4.2941","24.023","11.1369","0.1672"
"Graham Smith","SKC","2019","976","263","0.9087","0.8758","8.6743","3.2982","22.7441","8.2577","0.1501"
"Kevin Ellis","SKC","2016","1041","180","0.8333","0.7852","8.67","4.8167","26.3427","10.9288","0.1118"
"Tristan Blackmon","LAFC","2019","1510","327","0.8593","0.8328","8.6612","2.6487","20.1212","8.9123","0.1252"
"Brad Guzan","ATL","2019","3342","1218","0.7438","0.7367","8.6408","0.7094","39.4941","29.1741","0.217"
"Sean St Ledger","COL","2015","1128","276","0.8225","0.7912","8.6396","3.1303","25.5268","10.79","0.1812"
"Tony Beltran","RSL","2017","1958","211","0.7299","0.689","8.6247","4.0875","22.0711","13.7466","0.096"
