"Team","Season","Games","PassF","PctFPass Completion","xPctFExpected pass completion percentage.","ScoreFNumber of passes completed over/under expected.","Per100FPasses completed over/under expected, measured per 100 passes.","VertFAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","PassA","PctAPass Completion","xPctAExpected pass completion percentage.","ScoreANumber of passes completed over/under expected.","Per100APasses completed over/under expected, measured per 100 passes.","VertAAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","ScoreDiffNumber of passes completed over/under expected.","VertDiffAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions."
"TOR","2019","34","5098","0.7678","0.7459","111.2466","2.1822","0.3451","3462","0.7002","0.7008","-2.0279","-0.0586","1.1658","113.2745","-0.8207"
"ATL","2018","34","4321","0.7461","0.7311","65.0893","1.5063","1.0013","3586","0.6991","0.7117","-45.3007","-1.2633","1.7137","110.3901","-0.7124"
"LAFC","2019","34","5005","0.7467","0.7363","51.7223","1.0334","1.2891","2842","0.6721","0.6891","-48.3393","-1.7009","1.0837","100.0616","0.2054"
"CLB","2018","34","4062","0.7043","0.6935","43.9319","1.0815","1.4116","3166","0.6889","0.7054","-52.2246","-1.6495","0.8848","96.1564","0.5268"
"SKC","2016","34","3927","0.6891","0.6883","2.9655","0.0755","1.0773","2469","0.6488","0.6844","-87.7828","-3.5554","1.4736","90.7483","-0.3964"
"LAG","2014","34","4159","0.7098","0.6911","77.5163","1.8638","1.4047","2979","0.6724","0.6765","-12.392","-0.416","1.277","89.9083","0.1278"
"NYC","2017","34","3367","0.6822","0.6796","8.6791","0.2578","1.6386","3049","0.6619","0.6884","-80.9554","-2.6551","1.3378","89.6345","0.3007"
"TOR","2015","34","3394","0.6818","0.6761","19.1964","0.5656","1.4814","3483","0.6695","0.6887","-66.8388","-1.919","1.3269","86.0351","0.1545"
"LAG","2019","34","4428","0.7143","0.6891","111.8239","2.5254","1.8441","4098","0.7247","0.718","27.495","0.6709","1.0576","84.3289","0.7865"
"SKC","2013","34","3400","0.6626","0.6676","-16.8583","-0.4958","1.7736","2224","0.6165","0.6616","-100.4563","-4.5169","2.0296","83.598","-0.2559"
