"Player","Team","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"Thierry Henry","NYRB","2.4675","-0.3346","-0.2907","3.3035","-0.4352","0.1695","4.88"
"Diego Valeri","POR","0.7711","0.2576","0.0044","1.6622","1.034","0.4843","4.2136"
"Sheanon Williams","PHI","-0.0668","0.045","0.8451","2.2601","0.436","0.4569","3.9763"
"Patrick Nyarko","CHI","2.4161","0.0323","1.1115","0.6526","-0.6458","0.0709","3.6376"
"Robbie Keane","LAG","1.2994","0.0914","-0.0429","2.4994","-1.1975","0.3984","3.0482"
"Dominic Oduro","CLB","2.409","0.3755","0.3517","-0.5029","-0.0635","0.3571","2.9269"
"Landon Donovan","LAG","2.4068","-0.0349","0.4353","-0.1279","0.3319","-0.2024","2.8088"
"Javier Morales","RSL","0.8803","0.4825","-0.1495","1.9883","-0.1148","-0.3443","2.7425"
"Amobi Okugo","PHI","-0.1772","0.1109","1.1309","-0.087","1.3894","0.1251","2.4921"
"Justin Mapp","MTL","1.7024","-0.0854","0.598","0.8677","-0.5045","-0.1235","2.4547"
"Will Bruin","HOU","1.0595","-0.0431","-0.3828","0.1179","1.2756","0.3756","2.4027"
"Marcelo Sarvas","LAG","1.1579","0.2261","-0.2718","0.6156","0.6563","-0.1476","2.2365"
"Lee Nguyen","NER","1.7906","0.7512","-0.2906","0.6246","-0.4603","-0.2105","2.205"
"Tim Cahill","NYRB","-0.192","-0.1772","0.4842","-0.1497","2.1459","0.0195","2.1307"
"Shea Salinas","SJE","0.8712","0.1998","0.2309","1.636","-0.8618","0.0312","2.1073"
"Boniek García","HOU","0.5944","0.0231","0.8899","1.0216","-0.5688","-0.0048","1.9554"
"Omar González","LAG","-0.0602","0.2844","0.1648","0.7529","0.8387","-0.0399","1.9407"
"Mike Magee","CHI","0.6162","0.1972","0.2395","1.1934","-0.7005","0.3695","1.9153"
"Diego Chara","POR","0.6013","-0.3939","0.9579","0.6796","-0.2285","0.2102","1.8266"
"Jair Benitez","FCD","0.0695","0.0365","0.1181","1.721","-0.3373","0.0621","1.6699"
"Matt Besler","SKC","0.1747","0.3352","-0.316","1.5605","-0.1983","0.0207","1.5768"
"Nigel Reo-Coker","VAN","1.7186","-0.0625","1.021","-0.0403","-0.7645","-0.3023","1.57"
"Quincy Amarikwa","CHI","-0.0247","0.2751","-0.0235","0.1775","0.8916","0.1767","1.4727"
"Leonardo González","SEA","-0.2502","0.126","0.7374","1.3507","-0.4792","-0.0449","1.4398"
"Jackson","FCD","0.0635","-0.191","1.1963","-0.2405","0.7549","-0.1716","1.4116"
"Darlington Nagbe","POR","1.5632","0.1901","0.1147","-0.8347","0.6403","-0.3469","1.3267"
"Dilly Duka","CHI","0.7955","0.0652","0.1564","0.0463","-0.112","0.3033","1.2547"
"Darren Mattocks","VAN","0.6327","-0.0292","-0.1875","-0.0856","0.4948","0.378","1.2032"
"Kyle Beckerman","RSL","-0.0209","0.324","0.2955","0.8591","-0.1916","-0.1299","1.1362"
"Sebastian Velasquez","RSL","0.7757","0.0229","0.3914","-0.0093","-0.054","-0.0296","1.0971"
"Michel","FCD","-0.1089","0.0164","0.4528","1.024","-0.5196","0.1859","1.0506"
"Abdoulie Mansally","RSL","-0.013","-0.2412","1.2208","0.3136","-0.2297","-0.0218","1.0287"
"Gyasi Zardes","LAG","0.6106","0.3498","0.0323","-0.6559","1.0652","-0.3768","1.0252"
"Chad Marshall","CLB","-0.0907","0.4436","0.5576","-0.4592","0.4446","0.1202","1.0161"
"Todd Dunivant","LAG","-0.114","0.0795","-0.3204","1.2113","0.1295","0.0174","1.0033"
"Jonathan Osorio","TOR","0.2069","-0.3115","0.9401","0.2251","0.0838","-0.1791","0.9653"
"Fabian Castillo","FCD","2.8841","-0.2334","-0.044","-0.0361","-1.4076","-0.1985","0.9645"
"Jalil Anibaba","CHI","-0.1208","0.1472","0.5581","0.7509","-0.3345","-0.0494","0.9515"
"Marvell Wynne","COL","0.1169","-0.3578","0.6466","0.8336","-0.3165","0.0129","0.9357"
"Graham Zusi","SKC","0.1351","0.0443","-0.5665","0.9488","0.0952","0.274","0.9309"
"Ned Grabavoy","RSL","0.3825","-0.0472","0.2461","-0.0972","0.3903","0.0344","0.9089"
"Chance Myers","SKC","0.2271","0.1015","-0.5154","0.4594","0.4526","0.1791","0.9043"
"Warren Creavalle","HOU","0.6721","-0.0405","0.7732","-0.3802","-0.22","0.0985","0.9031"
"Ricardo Clark","HOU","-0.287","0.2467","0.4337","0.303","0.4879","-0.2919","0.8924"
"Aurélien Collin","SKC","-0.1668","0.2116","-0.4974","-0.218","1.1448","0.4077","0.8819"
"Bradley Wright-Phillips","NYRB","0.4938","-0.0382","-0.0419","-0.1735","0.5024","0.1109","0.8535"
"Andrés Romero","MTL","-0.0172","0.067","0.2228","0.8265","-0.1703","-0.1706","0.7582"
"Steven Caldwell","TOR","0.1656","0.1538","0.36","-0.1386","0.2015","0.015","0.7573"
"Kekuta Manneh","VAN","0.2771","0.4717","0.0526","-0.0925","0.0555","-0.0162","0.7482"
"Richard Eckersley","TOR","-0.1796","0.1466","0.3766","0.6988","-0.2302","-0.0648","0.7474"
"Bradford Rusin","VAN","-0.288","0.1404","0.594","-0.0909","0.3456","0.0434","0.7445"
"Jason Johnson","HOU","0.2114","-0.0782","0.1045","-0.1718","0.3667","0.3034","0.736"
"Andrew Wenger","MTL","0.4513","-0.164","-0.0717","0.1914","0.3671","-0.0496","0.7245"
"Eddie Johnson","SEA","-0.0934","-0.0701","-0.2916","-0.5489","1.519","0.1619","0.6769"
"Dimitry Imbongo Boele","NER","-0.0386","0.0514","-0.0577","-0.1204","0.7561","0.0784","0.6692"
"Justin Meram","CLB","0.5486","0.1703","-0.0555","0.1684","-0.1083","-0.0872","0.6363"
"Juan Luis Anangonó","CHI","-0.1152","-0.083","0.1901","-0.4792","0.8539","0.2527","0.6193"
"Maicon Santos","CHI","-0.0581","-0.0247","-0.0314","0.1115","0.5216","0.089","0.6079"
"Oriol Rosell","SKC","0.2777","0.1501","1.0341","-0.3997","-0.5078","0.0246","0.579"
"Steve Zakuani","SEA","0.4518","-0.0036","-0.0095","0.0338","-0.0494","0.151","0.5741"
"Tony Cascio","COL","0.2218","0.27","0.0766","-0.1529","0.0221","0.1347","0.5723"
"Jack McBean","LAG","0.1967","-0.0135","-0.0346","-0.3089","0.2792","0.4495","0.5684"
"Giles Barnes","HOU","1.3672","0.2842","-0.2097","0.3296","-0.9489","-0.2739","0.5485"
"Brandon Barklage","NYRB","-0.4672","-0.046","0.9996","0.3305","-0.1897","-0.0895","0.5377"
"Drew Moor","COL","0.0418","0.0608","-0.7392","0.6716","0.391","0.1095","0.5355"
"Juan Agudelo","NER","-0.4553","-0.0206","0.0411","-1.0412","1.4106","0.5986","0.5332"
"Kléberson","PHI","0.0864","-0.042","0.1325","0.1975","0.0309","0.1156","0.5209"
"Lamar Neagle","SEA","0.978","0.2253","-0.1112","0.2934","-0.5998","-0.2709","0.5148"
"Benny Feilhaber","SKC","-0.4522","0.6369","-0.1239","-0.0436","0.1486","0.3479","0.5137"
"Will Johnson","POR","0.2388","0.1896","0.3205","-0.7274","0.4105","0.0777","0.5097"
"Olmes García","RSL","0.1284","0.4581","-0.0236","-0.1197","-0.0179","0.0809","0.5062"
"Robbie Findley","RSL","0.2118","0.2132","0.2331","-0.7741","0.7468","-0.1327","0.4981"
"Michael Farfan","PHI","0.5274","-0.1311","0.2102","1.1528","-1.0427","-0.2235","0.4931"
"Mauro Díaz","FCD","0.5096","-0.0327","-0.1069","0.0298","-0.0113","0.0999","0.4884"
"Rodney Wallace","POR","-1.2017","-0.2455","0.2396","0.5771","0.6918","0.4229","0.4842"
"Darel Russell","TOR","0.2087","0.0191","0.2124","0.1832","-0.0527","-0.0923","0.4784"
"Kelyn Rowe","NER","0.1117","0.4219","-0.2084","0.6822","-0.0544","-0.4748","0.4782"
"Alvas Powell","POR","0.1901","-0.0095","0.1509","-0.0957","0.2686","-0.036","0.4684"
"Brad Davis","HOU","-0.2775","-0.1501","1.0411","1.0602","-0.9108","-0.3015","0.4614"
"Martin Ponce","CHV","0.0127","0.0594","0.6125","-0.1052","-0.0429","-0.0784","0.4581"
"Fabián Espíndola","NYRB","0.7205","0.2361","-0.0506","0.0433","-0.2999","-0.1972","0.4522"
"Johnny Leverón","VAN","0.038","0.1896","0.4318","0.2015","-0.3525","-0.0694","0.439"
"Jeb Brovsky","MTL","-0.7033","-0.1834","-0.1864","1.2896","0.0486","0.1735","0.4386"
"Lloyd Sam","NYRB","0.2758","0.2079","0.3128","-0.1742","-0.0565","-0.1292","0.4366"
"Aaron Wheeler","PHI","0.1859","-0.0418","-0.0227","0.0113","0.306","-0.0199","0.4188"
"Chris Klute","COL","0.3143","0.052","-0.3662","0.7393","-0.3523","0.0273","0.4144"
"Juninho Pereira","LAG","0.0225","0.2506","0.6696","1.0725","-0.8755","-0.7275","0.4122"
"Carlos Bocanegra","CHV","-0.0807","0.0723","0.3581","0.124","-0.0474","-0.0166","0.4097"
"Mikaël Silvestre","POR","-0.0118","0.0106","-0.0597","0.3041","0.0896","0.0644","0.3972"
"Andy Dorman","NER","-0.084","0.2918","-0.1212","0.0252","0.1417","0.1435","0.397"
"Gabriel Farfán","CHV","0.1023","0.071","0.2572","-0.0397","0.053","-0.0522","0.3916"
"Egidio Arévalo Ríos","CHI","-0.1479","0.0442","0.3461","0.4056","-0.2482","-0.0109","0.3889"
"Blake Smith","MTL","0.1108","-0.0007","0.2464","0.1453","-0.1186","-0.0257","0.3575"
"Jordan Stewart","SJE","-0.1391","0.1062","0.1967","0.1368","0.0051","0.0406","0.3463"
"Jaime Castrillon","COL","-0.4454","-0.0645","0.2056","-0.1434","0.7202","0.0482","0.3207"
"José Adolfo Valencia","POR","0.7433","-0.048","-0.1244","-0.2187","-0.0798","0.0483","0.3207"
"Vicente Sánchez","COL","0.3788","-0.0555","0.0257","0.0216","0.0286","-0.0819","0.3173"
"Hassoun Camara","MTL","-0.6598","-0.073","0.5345","0.0597","0.6487","-0.201","0.3091"
"Ryan Richter","TOR","-0.5994","-0.0102","0.4875","0.4191","0.0351","-0.032","0.3001"
"Luiz Camargo","HOU","-0.1231","-0.0154","0.5653","-0.0435","-0.0604","-0.0292","0.2937"
"Nana Attakora","SJE","-0.0081","0.0947","-0.2648","-0.1212","0.4472","0.1382","0.286"
"Matthew Fondy","CHV","0.0654","-0.0655","0.012","-0.0496","0.2941","0.0169","0.2733"
"Matthew Watson","VAN","0.1318","0.4566","-0.0809","-0.073","-0.2765","0.1113","0.2693"
