"Player","Team","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"Joao Plata","RSL","1.7598","-0.075","-0.4153","2.3441","1.6425","1.356","6.6121"
"Diego Fagundez","NER","2.793","0.4694","0.3764","1.0566","1.3948","0.4547","6.5449"
"Alberth Elis","HOU","1.9139","0.1764","-0.5399","0.3157","2.3808","-0.3143","3.9326"
"Miguel Almirón","ATL","3.1365","0.1442","0.2562","-0.1433","-0.1148","0.4261","3.7049"
"Josef Martínez","ATL","0.1442","0.1506","-0.2046","-0.0483","2.0786","1.4357","3.5562"
"Sebastián Blanco","POR","2.8375","-0.3675","0.5153","1.8679","-1.1445","-0.3078","3.4009"
"David Villa","NYC","0.8658","0.5063","-0.0102","1.2409","0.0493","0.4333","3.0854"
"Florian Jungwirth","SJE","0.0626","0.2081","2.4528","0.113","0.0842","0.0266","2.9473"
"Bradley Wright-Phillips","NYRB","-1.9498","-0.0815","0.0782","0.0684","4.3785","0.3343","2.8281"
"Mauro Manotas","HOU","-0.5794","0.6161","-0.4073","0.5254","1.9494","0.6968","2.801"
"Cristian Roldan","SEA","0.6094","0.1998","0.1209","0.9663","0.3288","0.3725","2.5977"
"David Accam","CHI","0.2684","0.287","-0.0036","-0.1377","1.4492","0.6664","2.5297"
"Víctor Vázquez","TOR","0.1033","-0.0085","-0.2141","1.8802","0.7433","-0.1404","2.3638"
"Alex","HOU","1.209","0.4508","0.3535","-0.017","0.049","0.2394","2.2847"
"Ibson","MIN","0.8489","0.318","0.7616","0.7844","-0.492","-0.0526","2.1683"
"Clint Dempsey","SEA","-1.2578","0.3297","-0.6133","-0.3496","3.1388","0.9076","2.1554"
"Leandro González Pirez","ATL","0.9442","-0.3486","0.6634","0.911","-0.1385","0.115","2.1465"
"Justin Meram","CLB","1.1557","-0.2865","0.1352","-0.0787","0.8798","0.2438","2.0493"
"Romell Quioto","HOU","0.6299","-0.0497","-0.1501","0.5218","0.8862","0.1084","1.9465"
"Dax McCarty","CHI","0.5499","0.1266","0.7894","0.8547","-0.2774","-0.1635","1.8797"
"Ola Kamara","CLB","-1.5469","0.8501","-0.3339","0.045","2.0959","0.7637","1.8739"
"Matt Besler","SKC","0.8075","0.2874","0.0481","1.2868","-0.5581","-0.0427","1.829"
