"Player","Team","Season","MinutesIncludes stoppage time.","Passes","Pass %Pass Completion","xPass %Expected pass completion percentage.","ScoreNumber of passes completed over/under expected.","Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","Touch %Players' share of their team's number of touches."
"Haris Medunjanin","PHI","2019","3374","2225","0.8247","0.7842","90.1367","4.0511","22.2211","7.8144","0.1437"
"Jonathan dos Santos","LAG","2019","2769","1715","0.884","0.8319","89.3728","5.2112","19.9376","4.0924","0.1444"
"Osvaldo Alonso","SEA","2014","3183","1808","0.9071","0.8611","83.0652","4.5943","20.2526","6.0891","0.1356"
"Diego Chara","POR","2019","2910","1523","0.912","0.8595","79.914","5.2471","19.9242","6.2203","0.1181"
"Wil Trapp","CLB","2017","3277","1688","0.8969","0.8508","77.777","4.6076","20.4839","6.3659","0.1254"
"Darlington Nagbe","POR","2017","2517","1230","0.9293","0.8711","71.5048","5.8134","17.6341","1.8436","0.1216"
"Osvaldo Alonso","SEA","2018","1980","1134","0.9277","0.8651","70.9941","6.2605","21.2391","5.767","0.1111"
"Osvaldo Alonso","SEA","2016","3020","1704","0.9038","0.8636","68.5063","4.0203","21.257","6.1164","0.1331"
"Graham Zusi","SKC","2017","2290","1264","0.8505","0.7981","66.1643","5.2345","21.3206","1.1472","0.1216"
"Graham Zusi","SKC","2018","3369","2019","0.8063","0.7753","62.569","3.099","21.6692","3.0709","0.1315"
"Alejandro Bedoya","PHI","2018","3010","1510","0.8801","0.8388","62.4251","4.1341","17.8139","3.516","0.1114"
"Michael Bradley","TOR","2019","2593","1629","0.8729","0.8347","62.3463","3.8273","21.7969","5.824","0.1279"
"Osvaldo Alonso","MIN","2019","2585","1174","0.925","0.8728","61.3615","5.2267","20.1578","5.9497","0.118"
"Darlington Nagbe","POR","2015","3015","1352","0.8809","0.8364","60.1851","4.4516","17.2891","1.3968","0.1279"
"Michael Bradley","TOR","2017","2902","1841","0.8675","0.8356","58.7331","3.1903","21.8496","6.4044","0.1417"
"Michael Bradley","TOR","2018","3095","1962","0.8654","0.8357","58.2844","2.9707","21.42","6.2785","0.1292"
"Gregory van der Wiel","TOR","2018","2495","1035","0.8812","0.8252","57.9426","5.5983","19.051","3.5309","0.0869"
"Darlington Nagbe","ATL","2019","3071","1472","0.9293","0.8904","57.2662","3.8904","18.0897","1.8774","0.1052"
"Osvaldo Alonso","SEA","2017","2229","1319","0.9067","0.8635","57.01","4.3222","21.4905","5.8913","0.1176"
"Juninho Pereira","LAG","2014","2940","1952","0.8924","0.8635","56.3799","2.8883","20.9482","3.9961","0.1305"
"Aníbal Godoy","SJE","2017","2285","1218","0.8998","0.8538","56.0702","4.6035","22.3206","4.932","0.1281"
"Zarek Valentin","POR","2018","2994","1133","0.8508","0.8015","55.9101","4.9347","21.3419","3.1537","0.093"
"Diego Polenta","LAG","2019","2764","851","0.8049","0.7397","55.5154","6.5235","23.0406","10.3691","0.0725"
"Tommy Thompson","SJE","2019","2468","1117","0.8917","0.8429","54.5162","4.8806","16.1206","1.5421","0.0922"
"Diego Chara","POR","2018","2632","1137","0.8892","0.8415","54.2521","4.7715","19.1118","4.2321","0.1178"
"Keegan Rosenberry","COL","2019","3377","1098","0.8188","0.7702","53.2973","4.854","19.1746","4.8448","0.1028"
"Wil Trapp","CLB","2018","2855","1499","0.8833","0.8477","53.2498","3.5524","21.8711","7.0854","0.1235"
