"Player","Team","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"Robbie Keane","LAG","4.0724","-0.356","-0.081","2.5026","0.8193","0.9486","7.9059"
"Landon Donovan","LAG","2.4347","-0.1877","0.7166","0.3325","0.5298","0.2914","4.1173"
"Fabian Castillo","FCD","4.3587","0.0369","-0.1855","-0.8701","0.2626","0.1834","3.786"
"Diego Valeri","POR","0.5865","0.4646","-0.3932","1.9199","0.2953","0.7583","3.6314"
"Bradley Wright-Phillips","NYRB","-0.5452","0.2135","-0.181","-1.4486","3.7724","1.6809","3.492"
"Deshorn Brown","COL","1.5037","0.519","-0.0478","-0.6422","1.1664","0.9333","3.4324"
"Lloyd Sam","NYRB","3.1447","0.3336","0.2372","0.5092","-0.7768","-0.1721","3.2758"
"Michael Parkhurst","CLB","-0.0998","0.4787","1.662","1.035","-0.2456","0.0349","2.8652"
"Tony Tchani","CLB","1.1211","-0.0794","1.298","0.4852","0.0958","-0.0677","2.853"
"Thierry Henry","NYRB","1.6953","0.368","-0.0064","3.2029","-1.5014","-1.0344","2.724"
"Obafemi Martins","SEA","-1.3506","0.2977","-0.3533","0.9678","2.2893","0.7624","2.6133"
"Osvaldo Alonso","SEA","0.1094","-0.3409","1.4014","1.9075","-0.6716","-0.0248","2.381"
"Maurice Edu","PHI","0.0771","0.6846","1.5275","-0.4482","0.523","-0.0012","2.3628"
"Benny Feilhaber","SKC","1.1745","0.499","0.2171","0.551","-0.2803","0.1393","2.3006"
"Matt Hedges","FCD","-0.1014","0.1998","1.4306","-0.4091","0.9999","-0.0613","2.0585"
"Marcelo Sarvas","LAG","0.9553","0.2793","0.5566","0.1607","-0.0467","0.0705","1.9757"
"Quincy Amarikwa","CHI","0.0136","1.1983","0.0053","0.2735","0.9228","-0.4677","1.9458"
"Will Bruin","HOU","0.5884","0.0067","0.1141","0.2032","0.2503","0.7763","1.939"
"Michael Bradley","TOR","0.4121","0.0252","0.2839","2.1449","-0.6637","-0.3276","1.8748"
"Dan Gargan","LAG","0.2368","-0.1837","0.4615","1.4631","-0.0986","-0.0335","1.8456"
"Cristián Maidana","PHI","0.4525","0.103","0.8017","1.1622","-0.5102","-0.1994","1.8098"
"Mauro Díaz","FCD","0.5312","0.5077","-0.0346","0.9878","-0.2672","0.0044","1.7293"
"Clint Dempsey","SEA","0.1398","0.0968","0.0934","0.9634","-0.457","0.8646","1.701"
"Dax McCarty","NYRB","0.0661","0.1054","1.3305","0.9723","-0.5844","-0.2382","1.6517"
"Omar González","LAG","-0.0084","0.4299","0.3217","0.7018","0.2745","-0.0743","1.6452"
"Marco Pappa","SEA","0.2903","-0.1561","0.8543","0.7883","-0.6469","0.3447","1.4746"
"Darlington Nagbe","POR","2.3258","0.1709","-0.1078","-0.5798","-0.7273","0.3737","1.4555"
"Marco Di Vaio","MTL","1.4107","-0.1481","-0.312","0.3417","-0.489","0.5804","1.3837"
"Lamar Neagle","SEA","-1.0614","0.176","0.2278","1.2678","0.7835","-0.0413","1.3524"
"Robbie Rogers","LAG","0.8943","-0.009","0.1905","0.4686","-0.1483","-0.0481","1.348"
"Kekuta Manneh","VAN","1.6319","0.037","-0.0838","-0.3182","-0.1678","0.2147","1.3138"
"Lee Nguyen","NER","1.824","0.2064","-0.8111","0.0277","0.1041","-0.0822","1.2689"
"Lovel Palmer","CHI","0.4292","-0.1852","0.6821","0.3919","-0.0507","-0.0318","1.2355"
"Dominic Oduro","TOR","0.4257","0.1019","0.0721","0.8227","-0.011","-0.178","1.2334"
"Roy Miller","NYRB","0.5789","-0.0173","-0.3616","1.2419","-0.1208","-0.094","1.2271"
"Federico Higuaín","CLB","1.6621","-0.1502","-0.231","2.2383","-1.8046","-0.5185","1.1961"
"Jackson","TOR","-0.0272","-0.0867","0.6163","0.1229","0.299","0.2504","1.1747"
"Pedro Morales","VAN","-0.0632","0.1534","0.4013","1.7827","-0.7918","-0.3179","1.1645"
"Chris Tierney","NER","-0.2782","-0.1322","0.9985","0.8518","-0.2105","-0.0728","1.1566"
"DaMarcus Beasley","HOU","0.1497","0.0907","0.8322","0.2575","-0.0989","-0.0786","1.1526"
"Brandon Barklage","SJE","-0.0737","-0.2521","0.8334","0.8144","-0.1741","-0.0035","1.1444"
"Fanendo Adi","POR","-1.2972","-0.0772","0.2403","-0.3865","2.3181","0.3469","1.1444"
"Andrew Wenger","PHI","0.3149","-0.2292","-0.2201","-0.0381","0.8605","0.4497","1.1377"
"Brad Davis","HOU","0.5477","-0.375","0.3696","0.9412","-0.2601","-0.121","1.1024"
"DeAndre Yedlin","SEA","0.4324","0.0591","0.6651","-0.0614","-0.0194","0.0066","1.0824"
"Chris Wingert","RSL","-0.0225","-0.0447","-0.2955","1.8472","-0.5001","0.0711","1.0555"
"Alan Gordon","LAG","-0.4979","0.0611","0.0816","-0.2182","1.5638","0.0639","1.0543"
"Wil Trapp","CLB","0.3409","-0.0483","0.8776","0.8205","-0.7242","-0.2179","1.0486"
"Gyasi Zardes","LAG","0.3734","0.0286","0.0993","-0.7114","0.8664","0.3793","1.0356"
"Nick Hagglund","TOR","-0.4891","0.3931","0.184","0.5416","0.466","-0.0688","1.0268"
"Justin Mapp","MTL","1.2537","-0.0931","0.0777","0.7818","-0.8948","-0.1238","1.0015"
"Drew Moor","COL","-0.0922","-0.2631","-0.0709","0.9714","0.1117","0.3365","0.9934"
