"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"NYRB","2013","34","329","356","39","23","16","36.8624","31.4156","5.4468","10.5532","59","46.82"
"SKC","2013","34","375","220","35","24","11","28.0332","20.5369","7.4963","3.5037","58","54.634"
"POR","2013","34","368","320","40","19","21","35.0799","22.0988","12.9811","8.0189","57","51.638"
"RSL","2013","34","346","302","37","28","9","30.9513","34.0667","-3.1154","12.1154","56","46.071"
"LAG","2013","34","388","260","38","26","12","39.1477","20.9638","18.1839","-6.1839","53","62.019"
"SEA","2013","34","299","324","29","30","-1","31.8987","26.954","4.9447","-5.9447","52","51.344"
"COL","2013","34","367","314","30","25","5","28.6767","28.1459","0.5308","4.4692","51","48.015"
"NER","2013","34","330","326","41","27","14","33.3911","28.1278","5.2633","8.7367","51","50.937"
"SJE","2013","34","341","336","26","34","-8","31.5848","31.3614","0.2234","-8.2234","51","48.875"
"HOU","2013","34","359","342","29","31","-2","32.3479","33.6283","-1.2804","-0.7196","51","48.842"
"CHI","2013","34","395","381","33","37","-4","36.9148","33.0594","3.8554","-7.8554","49","47.151"
"MTL","2013","34","344","387","36","35","1","36.6566","32.4568","4.1999","-3.1999","49","47.145"
"VAN","2013","34","364","418","44","35","9","30.4302","32.8623","-2.432","11.432","48","43.705"
"PHI","2013","34","369","356","30","32","-2","34.8157","34.8975","-0.0818","-1.9182","46","48.193"
"FCD","2013","34","340","365","26","42","-16","30.2557","37.5395","-7.2839","-8.7161","44","47.953"
"CLB","2013","34","368","360","27","32","-5","31.1787","34.373","-3.1943","-1.8057","41","47.14"
"TOR","2013","34","273","371","20","36","-16","24.4006","34.5531","-10.1525","-5.8475","29","36.754"
"CHV","2013","34","256","413","26","50","-24","21.7176","41.7654","-20.0477","-3.9523","26","27.608"
"DCU","2013","34","313","373","17","37","-20","22.6175","38.155","-15.5375","-4.4625","16","31.241"
"SEA","2014","34","355","343","44","35","9","39.0905","28.5679","10.5226","-1.5226","64","54.581"
"LAG","2014","34","431","279","54","25","29","47.2708","24.2139","23.0569","5.9431","61","65.171"
"DCU","2014","34","276","378","36","25","11","25.8302","36.8718","-11.0416","22.0416","59","40.791"
"RSL","2014","34","333","346","27","24","3","27.6092","34.8432","-7.2341","10.2341","56","43.275"
"NER","2014","34","354","313","35","38","-3","31.625","32.9314","-1.3064","-1.6936","55","46.624"
"FCD","2014","34","284","369","29","28","1","30.0677","31.5544","-1.4867","2.4867","54","50.416"
"CLB","2014","34","372","330","41","30","11","34.8318","32.3534","2.4783","8.5217","52","52.172"
"VAN","2014","34","365","341","26","31","-5","31.6284","26.8058","4.8226","-9.8226","50","51.104"
"NYRB","2014","34","317","347","44","35","9","38.5668","33.3838","5.183","3.817","50","47.906"
"SKC","2014","34","344","262","33","28","5","32.2183","28.5683","3.65","1.35","49","51.672"
"POR","2014","34","358","342","46","31","15","36.3787","33.1072","3.2715","11.7285","49","44.73"
"PHI","2014","34","351","318","36","35","1","39.3095","35.0242","4.2853","-3.2853","42","50.258"
"TOR","2014","34","350","325","30","37","-7","35.1429","31.9759","3.167","-10.167","41","50.172"
"HOU","2014","34","363","367","26","42","-16","34.0109","39.4132","-5.4023","-10.5977","39","39.63"
"CHI","2014","34","318","326","25","34","-9","27.0296","33.4775","-6.448","-2.552","36","41.7"
"CHV","2014","34","235","335","20","44","-24","21.2625","31.6073","-10.3448","-13.6552","33","36.492"
"COL","2014","34","373","289","23","43","-20","28.2041","35.2386","-7.0345","-12.9655","32","45.289"
"SJE","2014","34","291","429","25","31","-6","25.2044","37.9517","-12.7472","6.7472","30","34.864"
"MTL","2014","34","320","351","38","42","-4","36.5244","33.9161","2.6082","-6.6082","28","43.01"
"NYRB","2015","34","335","288","46","31","15","41.4735","28.787","12.6865","2.3135","60","60.649"
"FCD","2015","34","304","289","39","23","16","31.5797","26.8297","4.75","11.25","60","47.088"
"CLB","2015","34","369","334","47","40","7","39.0648","36.3401","2.7247","4.2753","53","48.644"
"POR","2015","34","364","304","29","28","1","32.4037","25.5051","6.8986","-5.8986","53","54.027"
"VAN","2015","34","329","278","31","28","3","30.4947","23.9897","6.5051","-3.5051","53","49.96"
"SKC","2015","34","302","245","31","34","-3","30.9993","32.3303","-1.3311","-1.669","51","48.65"
"MTL","2015","34","324","324","31","31","0","30.4006","28.3815","2.019","-2.019","51","45.265"
"SEA","2015","34","243","356","36","24","12","32.638","28.9804","3.6576","8.3424","51","49.385"
"LAG","2015","34","308","295","40","36","4","33.8394","31.0916","2.7478","1.2522","51","47.366"
"DCU","2015","34","247","374","26","36","-10","26.1662","37.3536","-11.1873","1.1873","51","41.859"
"NER","2015","34","287","274","32","31","1","32.7458","29.5936","3.1522","-2.1522","50","46.011"
"TOR","2015","34","331","310","40","37","3","34.5541","28.2196","6.3345","-3.3345","49","52.353"
"SJE","2015","34","267","272","25","25","0","25.5526","26.9839","-1.4313","1.4313","47","49.848"
"ORL","2015","34","288","320","29","36","-7","31.244","33.2357","-1.9916","-5.0083","44","44.2"
"HOU","2015","34","277","277","31","35","-4","26.0336","30.2868","-4.2531","0.2532","42","43.562"
"RSL","2015","34","252","308","23","31","-8","25.019","36.1868","-11.1678","3.1678","41","36.932"
"NYC","2015","34","343","374","32","38","-6","32.4631","47.0793","-14.6162","8.6162","37","36.2"
"PHI","2015","34","284","299","31","39","-8","31.4633","31.2847","0.1786","-8.1786","37","43.689"
"COL","2015","34","307","300","22","30","-8","25.9222","30.9979","-5.0756","-2.9244","37","41.75"
"CHI","2015","34","340","280","28","36","-8","31.336","31.9365","-0.6005","-7.3995","30","45.708"
"FCD","2016","34","339","236","34","25","9","32.8707","23.4712","9.3995","-0.3995","60","54.368"
"COL","2016","34","331","310","29","23","6","25.6244","26.3995","-0.7751","6.7751","58","44.299"
"NYRB","2016","34","315","314","38","36","2","37.6148","33.0997","4.5151","-2.5151","57","51.823"
"NYC","2016","34","363","342","47","35","12","38.4211","38.9325","-0.5114","12.5114","54","46.682"
"TOR","2016","34","348","291","37","27","10","38.051","28.4566","9.5944","0.4056","53","57.408"
"LAG","2016","34","272","400","41","28","13","35.0094","35.4406","-0.4312","13.4312","52","48.634"
"SEA","2016","34","310","337","30","29","1","36.1768","34.0883","2.0885","-1.0885","48","47.069"
"SKC","2016","34","333","237","25","28","-3","29.5077","27.8029","1.7048","-4.7048","47","51.371"
"DCU","2016","34","347","341","39","32","7","40.1008","38.5195","1.5813","5.4187","46","50.445"
"RSL","2016","34","314","301","27","29","-2","29.527","36.0598","-6.5328","4.5328","46","42.74"
"MTL","2016","34","321","330","34","38","-4","32.475","34.3503","-1.8753","-2.1247","45","43.127"
"POR","2016","34","343","363","33","35","-2","38.7468","31.4878","7.259","-9.259","44","51.147"
"NER","2016","34","348","337","27","41","-14","34.4469","40.3072","-5.8602","-8.1398","42","42.266"
"PHI","2016","34","303","334","34","41","-7","34.1499","36.5204","-2.3705","-4.6295","42","47.303"
"ORL","2016","34","317","338","41","40","1","35.6343","44.3725","-8.7383","9.7383","41","40.308"
"VAN","2016","34","324","374","23","33","-10","27.826","37.361","-9.535","-0.465","39","39.252"
"SJE","2016","34","303","307","24","21","3","32.1344","29.6047","2.5297","0.4703","38","46.529"
"CLB","2016","34","374","345","33","43","-10","44.502","38.6003","5.9017","-15.9017","36","51.479"
"HOU","2016","34","326","319","31","32","-1","29.5256","36.3571","-6.8315","5.8315","34","38.698"
"CHI","2016","34","322","397","32","43","-11","35.9417","37.0545","-1.1127","-9.8873","31","41.404"
"TOR","2017","34","305","299","50","26","24","35.4295","28.8199","6.6096","17.3904","69","54.298"
"NYC","2017","34","347","298","44","33","11","37.3565","30.6477","6.7089","4.2911","57","54.594"
"CHI","2017","34","326","300","50","33","17","39.3175","34.4342","4.8833","12.1167","55","49.653"
"ATL","2017","34","355","274","59","25","34","41.0296","30.1091","10.9205","23.0795","55","50.055"
"CLB","2017","34","297","327","37","38","-1","35.0405","33.9974","1.0431","-2.0431","54","48.481"
"POR","2017","34","368","300","42","37","5","36.5185","28.5006","8.0179","-3.0179","53","54.156"
"SEA","2017","34","360","324","35","27","8","38.4467","31.0012","7.4455","0.5545","53","55.35"
