"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Robbie Keane","LAG","2013","2113","58","22","9","7.1439","1.1292","1.8561","51","9","8.9567","0.0433","16.1006","5.2937","3.84"
"Thierry Henry","NYRB","2013","2734","88","26","9","10.1402","-0.8776","-1.1402","41","4","5.9248","-1.9248","16.065","6.0452","6.2701"
"Marco Di Vaio","MTL","2013","2933","114","52","19","13.7285","5.3423","5.2715","24","2","2.15","-0.15","15.8785","11.0538","8.1918"
"Will Bruin","HOU","2013","2768","82","27","7","11.3342","-2.2266","-4.3342","33","6","3.2665","2.7335","14.6007","4.0802","6.4436"
"Dominic Oduro","CLB","2013","3013","82","35","13","10.4257","0.3258","2.5743","32","3","2.4222","0.5778","12.848","8.737","6.6078"
"Mike Magee","CHI","2013","2032","65","32","12","8.3731","4.1289","3.6269","34","2","3.7541","-1.7541","12.1272","8.6848","5.1521"
"Chris Wondolowski","SJE","2013","2826","80","36","7","8.9251","-0.872","-1.9251","34","2","2.7384","-0.7384","11.6634","4.5411","7.2016"
"Camilo Sanvezzo","VAN","2013","2580","104","44","16","9.0829","4.9422","6.9171","25","3","2.5766","0.4234","11.6595","9.2216","5.1929"
"Diego Valeri","POR","2013","2417","67","24","9","6.9171","-0.1846","2.0829","37","3","4.3946","-1.3946","11.3117","5.0582","4.2027"
"Conor Casey","PHI","2013","2361","52","21","8","6.6961","1.1695","1.3039","33","3","4.1982","-1.1982","10.8943","3.5569","4.6862"
"Federico Higuaín","CLB","2013","2782","74","24","5","4.7145","0.3282","0.2855","73","4","5.7029","-1.7029","10.4174","2.7867","2.7724"
"Deshorn Brown","COL","2013","2317","86","27","9","8.9877","-1.599","0.0123","13","2","1.3151","0.6849","10.3027","5.6704","5.366"
"Landon Donovan","LAG","2013","2008","34","17","10","5.6429","1.7343","4.3571","42","5","4.642","0.358","10.2849","5.5734","3.1493"
"Lamar Neagle","SEA","2013","2588","50","20","7","6.6324","0.128","0.3676","31","4","3.6321","0.3679","10.2645","4.5541","4.1955"
"Jack McInerney","PHI","2013","2367","69","23","7","8.2635","-0.0297","-1.2635","20","0","1.8087","-1.8087","10.0722","6.2862","5.3013"
"Felipe","MTL","2013","2493","49","22","5","4.967","1.4518","0.033","34","4","4.6963","-0.6963","9.6633","2.5513","3.0032"
"Diego Fagundez","NER","2013","2593","50","27","12","6.8633","3.8543","5.1367","26","5","2.6873","2.3127","9.5505","7.8109","4.9346"
"Eddie Johnson","SEA","2013","1862","37","21","5","7.1627","0.2099","-2.1627","27","1","2.2018","-1.2018","9.3646","2.4121","3.2229"
"Fabián Espíndola","NYRB","2013","2173","42","22","6","6.1319","-0.7082","-0.1319","24","2","3.2029","-1.2029","9.3348","4.1241","3.4419"
"Gyasi Zardes","LAG","2013","2317","65","20","3","5.9653","-1.9179","-2.9653","26","1","2.999","-1.999","8.9643","1.2414","3.7426"
"Kelyn Rowe","NER","2013","2763","65","20","7","4.1932","0.6005","2.8068","35","6","4.6474","1.3526","8.8406","2.306","2.577"
"Justin Mapp","MTL","2013","2307","31","15","2","3.3005","0.8602","-1.3005","34","6","5.5285","0.4715","8.829","1.0301","2.035"
"Javier Morales","RSL","2013","2466","41","14","4","2.8519","1.2304","1.1481","60","5","5.9462","-0.9462","8.7981","2.5038","1.5626"
"Giles Barnes","HOU","2013","2653","75","24","7","6.2361","1.7619","0.7639","23","2","2.3206","-0.3206","8.5567","4.651","4.0533"
"Darlington Nagbe","POR","2013","3036","57","24","9","5.2148","1.8408","3.7852","43","2","3.3077","-1.3077","8.5225","5.4166","3.3668"
"Chris Rolfe","CHI","2013","2253","57","18","4","5.7695","-0.9014","-1.7695","37","1","2.7045","-1.7045","8.474","2.756","3.942"
"Jonny Steele","NYRB","2013","2829","44","15","5","4.5742","0.2085","0.4258","24","5","3.7856","1.2144","8.3598","1.194","2.1294"
"David Ferreira","FCD","2013","2626","30","9","3","3.6732","-0.9352","-0.6732","45","4","4.432","-0.432","8.1052","3.0834","2.6814"
"Obafemi Martins","SEA","2013","1562","40","15","7","6.0033","-1.4076","0.9967","10","2","1.9813","0.0187","7.9847","2.5256","3.0515"
"Sebastien Le Toux","PHI","2013","2403","32","12","3","3.9594","-0.8129","-0.9594","41","3","4.0154","-1.0154","7.9747","1.3952","2.0754"
"Fabian Castillo","FCD","2013","2328","39","15","2","4.3922","-0.6861","-2.3922","31","5","3.565","1.435","7.9572","1.7872","2.5854"
"Rodney Wallace","POR","2013","2154","44","17","6","4.536","-0.8134","1.464","30","4","3.4164","0.5836","7.9524","4.593","2.8942"
"Patrick Nyarko","CHI","2013","2298","32","15","4","3.0265","0.6034","0.9735","36","4","4.8651","-0.8651","7.8916","2.3072","2.2243"
"Jackson","FCD","2013","2513","56","17","3","4.2494","0.2738","-1.2494","33","3","3.3882","-0.3882","7.6376","1.3848","2.2751"
"Dilly Duka","CHI","2013","1877","54","25","4","4.2659","2.1122","-0.2659","26","2","3.3474","-1.3474","7.6132","2.4259","2.4398"
"Jairo Arrieta","CLB","2013","1993","56","16","3","5.1211","-1.1235","-2.1211","28","4","2.3951","1.6049","7.5161","1.9979","3.0936"
"Lee Nguyen","NER","2013","3069","47","17","2","2.8299","-0.2966","-0.8299","39","5","4.5277","0.4723","7.3576","0.6824","2.0542"
"Robert Earnshaw","TOR","2013","1993","59","19","5","6.6458","-1.7537","-1.6458","5","0","0.6508","-0.6508","7.2966","3.3025","4.4481"
"Claudio Bieler","SKC","2013","2243","59","23","7","5.6585","2.6276","1.3415","25","3","1.5276","1.4724","7.186","4.301","3.837"
"Ned Grabavoy","RSL","2013","2924","24","9","5","3.1813","0.4711","1.8187","41","4","3.6378","0.3622","6.8191","1.8364","1.3932"
"Tim Cahill","NYRB","2013","2393","34","14","7","4.9802","0.9454","2.0198","17","2","1.7867","0.2133","6.7669","6.3813","4.8712"
"Brad Evans","SEA","2013","1896","29","9","2","3.1637","-0.443","-1.1637","19","5","3.509","1.491","6.6727","0.9781","1.5905"
"Ryan Johnson","POR","2013","1880","35","17","6","4.9976","0.35","1.0024","15","3","1.6138","1.3862","6.6113","2.2408","3.0945"
"Blas Pérez","FCD","2013","2189","45","23","6","4.8918","0.8941","1.1082","21","1","1.677","-0.677","6.5688","4.467","3.3296"
"Shea Salinas","SJE","2013","2092","35","16","2","3.643","0.2336","-1.643","25","2","2.8183","-0.8183","6.4613","1.5252","2.6112"
"Kenny Cooper","FCD","2013","1866","39","16","3","5.4434","-0.6889","-2.4434","15","0","0.9881","-0.9881","6.4315","3.0472","4.1414"
"Kenny Miller","VAN","2013","1766","39","14","7","4.2874","1.2142","2.7126","21","1","2.1047","-1.1047","6.3921","3.8384","3.0576"
"Atiba Harris","COL","2013","2171","43","14","3","3.7628","-0.0484","-0.7628","31","1","2.5801","-1.5801","6.3428","1.9107","2.5907"
"Boniek García","HOU","2013","2056","14","2","1","1.5834","-1.446","-0.5834","49","4","4.6947","-0.6947","6.278","0.0397","0.6689"
"Graham Zusi","SKC","2013","2563","49","19","6","4.2235","1.0738","1.7765","27","1","1.9978","-0.9978","6.2213","4.0235","2.6868"
"Danny Cruz","PHI","2013","2246","52","18","3","3.4813","-0.0512","-0.4814","22","2","2.4857","-0.4857","5.967","2.4337","2.3308"
"Mauro Rosales","SEA","2013","2291","23","7","4","2.6115","1.064","1.3885","27","3","3.1853","-0.1853","5.7968","2.09","1.654"
"Joao Plata","RSL","2013","1766","45","18","4","2.8812","0.9466","1.1188","22","6","2.8707","3.1293","5.7519","2.1628","1.7216"
"Marcelo Sarvas","LAG","2013","3083","45","14","4","3.8415","0.7369","0.1585","30","1","1.9084","-0.9084","5.7498","2.7979","2.8081"
"Will Johnson","POR","2013","2725","46","15","5","3.6861","0.0403","1.3139","16","2","1.8007","0.1993","5.4868","2.5119","1.8361"
"Edson Buddle","COL","2013","1766","45","16","5","3.7558","-1.0413","1.2442","20","3","1.7039","1.2961","5.4598","4.6136","2.8829"
"Dimitry Imbongo Boele","NER","2013","1129","29","10","3","3.9324","-0.3393","-0.9324","16","2","1.5179","0.4821","5.4503","1.1855","1.9148"
