"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"RSL","2014","34","6","7","5","4","1","4.484","5.2625","-0.7784","1.7784","56","43.275"
"NYC","2018","34","4","3","3","1","2","2.9586","2.2553","0.7033","1.2967","56","54.887"
"NER","2014","34","4","4","3","2","1","2.9173","2.6426","0.2747","0.7253","55","46.624"
"CHI","2017","34","7","3","6","3","3","5.2076","2.2553","2.9522","0.0478","55","49.653"
"ATL","2017","34","4","5","4","5","-1","2.7426","3.682","-0.9394","-0.0606","55","50.055"
"PHI","2019","34","8","6","4","5","-1","5.955","4.447","1.5081","-2.5081","55","53.063"
"CLB","2017","34","6","7","4","4","0","4.4821","5.2625","-0.7803","0.7803","54","48.481"
"POR","2018","34","6","2","5","2","3","4.4909","1.5036","2.9874","0.0126","54","50.427"
"NYC","2016","34","7","5","6","4","2","5.2625","3.7589","1.5036","0.4964","54","46.682"
"FCD","2014","34","8","5","6","3","3","5.9473","3.7589","2.1884","0.8116","54","50.416"
"RSL","2019","34","7","5","6","3","3","5.2324","3.7589","1.4734","1.5265","53","45.431"
"TOR","2016","34","6","3","4","3","1","4.5107","2.2553","2.2553","-1.2553","53","57.408"
"POR","2017","34","11","4","9","3","6","8.2559","2.9519","5.304","0.696","53","54.156"
"CLB","2015","34","2","4","1","4","-3","1.5036","2.871","-1.3675","-1.6325","53","48.644"
"MIN","2019","34","7","4","6","3","3","5.2423","3.0071","2.2352","0.7648","53","52.384"
"POR","2015","34","6","4","4","4","0","4.5107","3.0071","1.5036","-1.5036","53","54.027"
"SEA","2017","34","6","6","5","5","0","4.4471","4.497","-0.0499","0.0499","53","55.35"
"VAN","2015","34","5","6","5","2","3","3.7476","4.5107","-0.7631","3.7631","53","49.96"
"LAG","2013","34","7","1","5","0","5","5.2625","0.7518","4.5107","0.4893","53","62.019"
"CLB","2014","34","4","4","3","2","1","3.0071","3.0071","0","1","52","52.172"
"VAN","2017","34","6","5","3","4","-1","4.5107","3.7589","0.7518","-1.7518","52","44.743"
"LAG","2016","34","6","4","4","3","1","4.4719","2.9595","1.5124","-0.5124","52","48.634"
"SEA","2013","34","3","2","3","2","1","2.2553","1.5036","0.7518","0.2482","52","51.344"
"LAG","2019","34","8","8","7","6","1","5.9772","5.8736","0.1036","0.8964","51","47.212"
"DCU","2018","34","5","2","4","1","3","3.7258","1.5036","2.2222","0.7778","51","44.263"
"COL","2013","34","3","5","3","4","-1","2.2553","3.7589","-1.5036","0.5036","51","48.015"
"SKC","2015","34","5","2","4","2","2","3.7589","1.5036","2.2553","-0.2553","51","48.65"
"MTL","2015","34","6","7","5","6","-1","4.5107","5.1247","-0.6141","-0.3859","51","45.265"
"SEA","2015","34","3","3","2","2","0","2.2553","2.1402","0.1151","-0.1151","51","49.385"
"NER","2013","34","4","3","3","3","0","2.8219","2.2553","0.5665","-0.5665","51","50.937"
"SJE","2013","34","1","3","1","3","-2","0.7518","2.2553","-1.5036","-0.4964","51","48.875"
"LAG","2015","34","6","4","5","4","1","4.4711","3.0071","1.464","-0.464","51","47.366"
"CLB","2018","34","7","5","6","5","1","5.2625","3.7308","1.5317","-0.5317","51","57.27"
"HOU","2013","34","5","4","3","2","1","3.5176","3.0071","0.5105","0.4895","51","48.842"
"DCU","2015","34","6","2","4","0","4","4.4838","1.422","3.0617","0.9383","51","41.859"
"HOU","2017","34","8","3","6","3","3","5.9371","2.2553","3.6817","-0.6817","50","51.896"
"NER","2015","34","3","8","3","7","-4","2.2553","5.9947","-3.7393","-0.2607","50","46.011"
"NYRB","2017","34","8","9","7","8","-1","5.9615","6.7208","-0.7593","-0.2407","50","50.812"
"PHI","2018","34","7","8","5","8","-3","5.1644","6.0142","-0.8498","-2.1502","50","50.37"
"VAN","2014","34","10","5","9","5","4","7.5178","3.7489","3.7689","0.2311","50","51.104"
"NYRB","2014","34","6","8","5","6","-1","4.5107","5.7699","-1.2592","0.2592","50","47.906"
"DCU","2019","34","4","6","4","2","2","2.8738","4.4542","-1.5803","3.5803","50","39.772"
"TOR","2019","34","7","13","5","10","-5","5.1987","9.7479","-4.5492","-0.4508","50","46.818"
"RSL","2018","34","8","7","6","5","1","5.8186","5.2625","0.5561","0.4439","49","40.712"
"TOR","2015","34","7","8","6","6","0","5.2625","5.9767","-0.7142","0.7142","49","52.353"
"POR","2019","34","5","7","3","6","-3","3.634","5.2423","-1.6083","-1.3917","49","46.228"
"SKC","2014","34","4","6","3","5","-2","3.0071","4.4209","-1.4137","-0.5863","49","51.672"
"CHI","2013","34","5","3","3","3","0","3.7006","2.2553","1.4453","-1.4453","49","47.151"
"SKC","2017","34","3","5","2","2","0","2.2553","3.7589","-1.5036","1.5036","49","56.033"
"POR","2014","34","4","7","4","6","-2","3.0071","5.233","-2.2259","0.2259","49","44.73"
"MTL","2013","34","4","6","4","4","0","3.0071","4.4545","-1.4474","1.4474","49","47.145"
"FCD","2019","34","5","8","4","5","-1","3.6204","5.8643","-2.2439","1.244","48","48.505"
"VAN","2013","34","6","3","6","3","3","4.4545","2.2145","2.24","0.76","48","43.705"
"SEA","2016","34","4","7","3","5","-2","2.7297","5.2063","-2.4766","0.4766","48","47.069"
"LAG","2018","34","5","8","5","6","-1","3.7308","5.9636","-2.2328","1.2328","48","44.372"
"NYRB","2019","34","5","7","4","6","-2","3.7589","5.2625","-1.5036","-0.4964","48","45.776"
"VAN","2018","34","5","11","5","9","-4","3.7589","8.2195","-4.4605","0.4605","47","43.835"
"SJE","2015","34","6","6","6","4","2","4.4731","4.4925","-0.0193","2.0193","47","49.848"
"SKC","2016","34","5","4","5","3","2","3.7589","3.0071","0.7518","1.2482","47","51.371"
"DCU","2016","34","4","4","3","4","-1","3.0071","3.0071","0","-1","46","50.445"
"MTL","2018","34","6","8","6","6","0","4.5005","6.0142","-1.5137","1.5137","46","45.629"
"PHI","2013","34","0","1","0","1","-1","0","0.7518","-0.7518","-0.2482","46","48.193"
"SJE","2017","34","1","3","1","2","-1","0.7518","2.2553","-1.5036","0.5036","46","46.272"
"FCD","2017","34","4","4","3","3","0","3.0071","3.0071","0","0","46","54.084"
"RSL","2016","34","9","6","6","4","2","6.7184","4.5107","2.2078","-0.2078","46","42.74"
"MTL","2016","34","6","6","5","5","0","4.4847","4.5107","-0.026","0.026","45","43.127"
"NER","2017","34","4","5","4","5","-1","3.0071","3.4143","-0.4072","-0.5928","45","49.081"
"RSL","2017","34","4","4","4","2","2","2.7413","3.0071","-0.2658","2.2658","45","47.664"
"NER","2019","34","7","4","5","4","1","5.1068","2.9507","2.1561","-1.1561","45","41.166"
"POR","2016","34","9","7","7","7","0","6.7281","5.2158","1.5124","-1.5124","44","51.147"
"FCD","2013","34","4","3","3","2","1","3.0071","2.2553","0.7518","0.2482","44","47.953"
"SJE","2019","34","1","7","1","4","-3","0.7215","5.1776","-4.4561","1.4561","44","51.094"
"ORL","2015","34","6","7","4","6","-2","4.2931","5.2625","-0.9694","-1.0306","44","44.2"
"HOU","2015","34","4","4","2","4","-2","3.0071","2.9689","0.0382","-2.0382","42","43.562"
"PHI","2017","34","7","7","5","6","-1","5.1635","5.2402","-0.0767","-0.9233","42","44.42"
"COL","2019","34","8","9","5","7","-2","5.845","6.6689","-0.8239","-1.1761","42","40.895"
"NER","2016","34","4","9","3","7","-4","3.0071","6.7146","-3.7075","-0.2925","42","42.266"
"CHI","2019","34","5","5","3","4","-1","3.6689","3.7589","-0.09","-0.91","42","53.693"
"PHI","2014","34","6","7","6","4","2","4.2055","5.2625","-1.057","3.057","42","50.258"
"PHI","2016","34","8","1","6","0","6","5.9888","0.7518","5.2371","0.7629","42","47.303"
"MTL","2019","34","6","7","6","6","0","4.5107","5.1334","-0.6227","0.6227","41","44.923"
"NER","2018","34","5","5","3","4","-1","3.7129","3.6393","0.0737","-1.0737","41","40.843"
"RSL","2015","34","5","10","4","7","-3","3.6438","7.4799","-3.8361","0.8361","41","36.932"
"CLB","2013","34","9","4","6","4","2","6.766","2.8554","3.9106","-1.9106","41","47.14"
"TOR","2014","34","4","4","2","3","-1","3.0071","3.0071","0","-1","41","50.172"
"ORL","2016","34","7","7","5","4","1","5.2625","5.2625","0","1","41","40.308"
"HOU","2019","34","5","7","4","7","-3","3.6773","5.1639","-1.4865","-1.5135","40","48.02"
"VAN","2016","34","7","8","6","6","0","5.2625","6.0142","-0.7518","0.7518","39","39.252"
"MTL","2017","34","7","5","6","4","2","5.1344","3.6998","1.4346","0.5654","39","40.093"
"HOU","2014","34","4","8","2","6","-4","2.8591","5.9695","-3.1104","-0.8896","39","39.63"
"ORL","2017","34","1","5","0","4","-4","0.7518","3.7273","-2.9755","-1.0245","39","40.268"
"SKC","2019","34","9","5","6","2","4","6.6265","3.6767","2.9497","1.0503","38","48.327"
"CLB","2019","34","5","5","4","4","0","3.7104","3.6524","0.058","-0.058","38","43.172"
"HOU","2018","34","4","10","4","7","-3","2.9565","7.4322","-4.4757","1.4757","38","50.597"
"SJE","2016","34","5","5","3","5","-2","3.6022","3.7589","-0.1567","-1.8433","38","46.529"
"NYC","2015","34","9","7","8","6","2","6.7278","5.2512","1.4766","0.5234","37","36.2"
"ORL","2019","34","5","1","3","1","2","3.7394","0.5962","3.1432","-1.1432","37","47.442"
"PHI","2015","34","2","6","1","5","-4","1.5036","4.4838","-2.9802","-1.0198","37","43.689"
"COL","2015","34","2","3","1","3","-2","1.5036","2.2553","-0.7518","-1.2482","37","41.75"
"CLB","2016","34","7","6","6","4","2","5.2625","4.5107","0.7518","1.2482","36","51.479"
"TOR","2018","34","9","7","5","6","-1","6.5036","5.1325","1.3711","-2.3711","36","48.378"
"MIN","2017","34","4","9","3","7","-4","2.8924","6.7024","-3.8101","-0.1899","36","30.213"
"MIN","2018","34","1","5","1","5","-4","0.6661","3.5173","-2.8512","-1.1488","36","40.118"
"CHI","2014","34","11","8","7","6","1","7.9317","5.7475","2.1842","-1.1842","36","41.7"
"HOU","2016","34","1","6","1","5","-4","0.7051","4.3314","-3.6263","-0.3737","34","38.698"
"VAN","2019","34","7","8","5","8","-3","5.222","5.7317","-0.5097","-2.4903","34","30.511"
"CHV","2014","34","6","4","5","4","1","4.5021","2.9769","1.5252","-0.5252","33","36.492"
"COL","2017","34","2","8","1","7","-6","1.5036","5.6495","-4.146","-1.8541","33","35.645"
"COL","2014","34","9","5","8","4","4","6.7366","3.7589","2.9777","1.0223","32","45.289"
"CHI","2018","34","4","6","3","6","-3","2.9712","4.5107","-1.5395","-1.4605","32","33.491"
"DCU","2017","34","4","7","2","5","-3","2.9849","5.2097","-2.2247","-0.7752","32","37.897"
"LAG","2017","34","5","5","5","3","2","3.7589","3.7589","0","2","32","38.313"
"CHI","2016","34","1","3","1","3","-2","0.7518","2.2553","-1.5036","-0.4964","31","41.404"
"COL","2018","34","5","5","3","5","-2","3.7589","3.6678","0.0911","-2.0911","31","34.651"
"CHI","2015","34","8","4","7","4","3","5.9781","3.0071","2.9709","0.0291","30","45.708"
"SJE","2014","34","3","7","2","5","-3","2.2453","5.0426","-2.7973","-0.2027","30","34.864"
"TOR","2013","34","2","3","2","3","-1","1.5036","2.2169","-0.7134","-0.2866","29","36.754"
"ORL","2018","34","7","7","5","5","0","5.2625","5.2523","0.0102","-0.0102","28","35.521"
"MTL","2014","34","2","6","0","5","-5","1.5036","4.5107","-3.0071","-1.9929","28","43.01"
"CHV","2013","34","2","5","1","5","-4","1.5036","3.5176","-2.0141","-1.9859","26","27.608"
"CIN","2019","34","5","7","4","3","1","3.6987","5.2319","-1.5332","2.5332","24","29.706"
"SJE","2018","34","7","3","6","2","4","5.1547","2.2553","2.8994","1.1006","21","37.883"
"DCU","2013","34","3","7","2","5","-3","2.2553","5.2625","-3.0071","0.0071","16","31.241"
"MIN","2020","2","1","2","0","2","-2","0.7518","1.5036","-0.7518","-1.2482","6","2.85"
"SKC","2020","2","0","0","0","0","0","0","0","0","0","6","2.932"
"COL","2020","2","0","0","0","0","0","0","0","0","0","6","3.039"
"ATL","2020","2","0","0","0","0","0","0","0","0","0","6","2.949"
"TOR","2020","2","1","0","1","0","1","0.7518","0","0.7518","0.2482","4","4.773"
"SEA","2020","2","1","0","1","0","1","0.7518","0","0.7518","0.2482","4","4.832"
"CLB","2020","2","0","1","0","1","-1","0","0.7518","-0.7518","-0.2482","4","3.04"
"NYRB","2020","2","0","0","0","0","0","0","0","0","0","4","1.744"
"FCD","2020","2","0","0","0","0","0","0","0","0","0","4","3.63"
"MTL","2020","2","0","0","0","0","0","0","0","0","0","4","1.966"
"LAFC","2020","2","0","0","0","0","0","0","0","0","0","4","3.719"
"DCU","2020","2","1","0","1","0","1","0.7518","0","0.7518","0.2482","3","2.101"
"VAN","2020","2","1","0","0","0","0","0.7518","0","0.7518","-0.7518","3","4.495"
"POR","2020","2","1","0","1","0","1","0.7518","0","0.7518","0.2482","3","2.059"
"RSL","2020","2","0","0","0","0","0","0","0","0","0","2","3.451"
"LAG","2020","2","0","1","0","0","0","0","0.7518","-0.7518","0.7518","1","2.32"
"SJE","2020","2","1","2","1","1","0","0.7518","1.5036","-0.7518","0.7518","1","1.661"
"NER","2020","2","0","0","0","0","0","0","0","0","0","1","3.504"
"CHI","2020","2","0","0","0","0","0","0","0","0","0","1","0.733"
"HOU","2020","2","0","0","0","0","0","0","0","0","0","1","1.387"
"PHI","2020","2","0","0","0","0","0","0","0","0","0","1","1.95"
"ORL","2020","2","0","0","0","0","0","0","0","0","0","1","3.142"
"MIA","2020","2","0","1","0","1","-1","0","0.7518","-0.7518","-0.2482","0","3.142"
"NYC","2020","2","0","0","0","0","0","0","0","0","0","0","0.816"
"CIN","2020","2","0","0","0","0","0","0","0","0","0","0","1.752"
"NSH","2020","2","0","0","0","0","0","0","0","0","0","0","3.89"
