"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"LAFC","2019","34","11","3","9","2","7","8.1151","2.1158","5.9993","1.0007","72","72.643"
"NYRB","2018","34","6","4","4","2","2","4.4423","2.7332","1.7091","0.2909","71","59.418"
"ATL","2018","34","14","7","12","6","6","10.3872","5.1706","5.2166","0.7834","69","64.496"
"TOR","2017","34","11","6","7","3","4","8.1652","4.3194","3.8458","0.1542","69","54.298"
"NYC","2019","34","9","10","5","8","-3","6.7362","7.4446","-0.7084","-2.2916","64","53.73"
"SEA","2014","34","6","7","5","6","-1","4.5114","5.093","-0.5816","-0.4184","64","54.581"
"SKC","2018","34","7","8","5","5","0","5.2354","5.7998","-0.5644","0.5644","62","56.125"
"LAG","2014","34","6","3","2","3","-1","4.3157","2.2553","2.0604","-3.0604","61","65.171"
"NYRB","2015","34","11","3","7","2","5","8.1319","2.2553","5.8765","-0.8765","60","60.649"
"FCD","2015","34","5","9","4","5","-1","3.7589","6.766","-3.0071","2.0071","60","47.088"
"FCD","2016","34","5","4","5","3","2","3.5622","2.7297","0.8325","1.1675","60","54.368"
"NYRB","2013","34","3","9","3","6","-3","2.2553","6.7126","-4.4573","1.4573","59","46.82"
"DCU","2014","34","5","3","4","2","2","3.5065","2.2553","1.2511","0.7489","59","40.791"
"SEA","2018","34","5","2","5","2","3","3.617","1.5036","2.1135","0.8865","59","44.7"
"ATL","2019","34","10","5","8","3","5","7.3517","3.7589","3.5928","1.4072","58","54.997"
"SKC","2013","34","3","1","3","1","2","2.2553","0.7518","1.5036","0.4964","58","54.634"
"COL","2016","34","3","8","2","4","-2","2.2553","5.8197","-3.5643","1.5643","58","44.299"
"NYC","2017","34","6","4","4","3","1","4.4791","3.0071","1.472","-0.4719","57","54.594"
"FCD","2018","34","6","7","4","5","-1","4.5107","5.126","-0.6153","-0.3847","57","51.977"
"POR","2013","34","2","5","2","4","-2","1.4627","3.7437","-2.2809","0.281","57","51.638"
"LAFC","2018","34","5","8","4","6","-2","3.5444","5.9269","-2.3825","0.3825","57","55.185"
"NYRB","2016","34","3","4","1","3","-2","2.2553","3.0071","-0.7518","-1.2482","57","51.823"
"RSL","2013","34","6","4","6","4","2","4.4954","3.0071","1.4883","0.5117","56","46.071"
"SEA","2019","34","3","5","3","5","-2","2.2553","3.7589","-1.5036","-0.4964","56","45.867"
