"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Carlos Vela","LAFC","2019","2985","11","11","9","8.2696","0.7389","0.7304","0","0","0","0","8.2696","7.3356","6.502"
"Josef Martínez","ATL","2018","3106","9","8","8","6.766","0.0984","1.234","0","0","0","0","6.766","3.6848","3.2067"
"Maximiliano Moralez","NYC","2019","2700","8","6","4","6.0142","-1.5182","-2.0142","0","0","0","0","6.0142","2.7906","3.0462"
"Federico Higuaín","CLB","2013","2782","8","7","6","6.0142","0.21","-0.0142","0","0","0","0","6.0142","3.7398","3.8168"
"David Villa","NYC","2015","2705","8","8","7","6.0142","0.4449","0.9858","0","0","0","0","6.0142","3.8204","3.1533"
"Pedro Morales","VAN","2014","2741","7","7","7","5.2625","0.2716","1.7375","0","0","0","0","5.2625","5.4282","4.0808"
"Zlatan Ibrahimovic","LAG","2019","2862","7","7","6","5.2625","-0.0038","0.7375","0","0","0","0","5.2625","4.0783","3.5543"
"Kei Kamara","COL","2019","2788","7","7","4","5.2625","0.1042","-1.2625","0","0","0","0","5.2625","2.1296","3.1481"
"Diego Valeri","POR","2017","3057","7","7","6","5.2625","0.4865","0.7375","0","0","0","0","5.2625","3.5177","3.4172"
"Ilie Sánchez","SKC","2018","3369","6","6","4","4.5107","0.5731","-0.5107","0","0","0","0","4.5107","2.6511","2.4369"
"Alejandro Pozuelo","TOR","2019","2728","6","6","5","4.5107","0.2946","0.4893","0","0","0","0","4.5107","3.7623","3.6156"
"Felipe Gutiérrez","SKC","2019","2952","6","5","5","4.5107","-0.3256","0.4893","0","0","0","0","4.5107","2.8436","2.6866"
"Chris Wondolowski","SJE","2015","2901","6","6","6","4.5107","0.4822","1.4893","0","0","0","0","4.5107","3.8965","2.9293"
"Sacha Kljestan","NYRB","2015","3029","6","6","5","4.5107","0.4025","0.4893","0","0","0","0","4.5107","3.5769","2.8263"
"Josef Martínez","ATL","2019","2808","6","5","5","4.5107","-0.2427","0.4893","0","0","0","0","4.5107","2.1883","2.4749"
"David Villa","NYC","2016","3103","6","5","5","4.5107","-0.2434","0.4893","0","0","0","0","4.5107","2.7001","2.0868"
"Jeff Larentowicz","CHI","2015","2815","6","6","5","4.5107","0.2341","0.4893","0","0","0","0","4.5107","1.9778","1.9374"
"Erick Torres","HOU","2017","2153","6","6","5","4.5107","0.7461","0.4893","0","0","0","0","4.5107","2.2835","2.0209"
"Chris Wondolowski","SJE","2016","2910","5","4","3","3.7589","-0.5012","-0.7589","0","0","0","0","3.7589","1.7863","3.5873"
