"Player","Team","Season","MinutesIncludes stoppage time.","Passes","Pass %Pass Completion","xPass %Expected pass completion percentage.","ScoreNumber of passes completed over/under expected.","Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","Touch %Players' share of their team's number of touches."
"Diego Chara","POR","2018","2632","235","0.8213","0.7634","13.6035","5.7887","17.4475","0.8921","0.0759"
"Jonathan Osorio","TOR","2019","1921","389","0.8406","0.8061","13.4387","3.4547","14.4113","1.3096","0.103"
"Saphir Taïder","MTL","2018","3076","671","0.7347","0.7148","13.4009","1.9972","22.0809","1.4616","0.1749"
"Federico Higuaín","CLB","2013","2782","612","0.6667","0.6449","13.3128","2.1753","23.099","1.7321","0.2168"
"Dan Gargan","LAG","2014","2551","401","0.6434","0.6103","13.2806","3.3119","22.486","4.0284","0.0934"
"Jack Price","COL","2019","2442","284","0.6021","0.5554","13.2686","4.6721","30.5183","2.0445","0.0821"
"Tyrone Mears","SEA","2016","3043","511","0.7104","0.6845","13.2414","2.5913","19.6524","0.2514","0.113"
"A.J. DeLaGarza","HOU","2017","2851","271","0.7306","0.6822","13.1361","4.8473","19.1187","3.7912","0.0787"
"Diego Rossi","LAFC","2019","3127","632","0.7563","0.7355","13.1328","2.078","14.8645","-1.4335","0.1407"
"Andrew Farrell","NER","2013","3059","277","0.8014","0.7541","13.1191","4.7361","17.9605","1.8014","0.0745"
"Hwang In-Beom","VAN","2019","3078","369","0.7751","0.7395","13.1169","3.5547","19.4435","2.0631","0.1189"
"Waylon Francis","CLB","2014","2265","328","0.6433","0.6033","13.1129","3.9978","21.8071","1.1181","0.1059"
"Brooks Lennon","RSL","2018","3116","495","0.7657","0.7392","13.1047","2.6474","19.166","-1.0173","0.1179"
"Harrison Afful","CLB","2018","3114","619","0.7092","0.6881","13.0588","2.1097","18.3016","0.4868","0.1387"
"Marco Delgado","TOR","2019","2767","596","0.797","0.7751","13.0279","2.1859","16.4269","2.9304","0.1245"
"Jahmir Hyka","SJE","2018","976","218","0.8211","0.7614","13.0207","5.9728","15.9205","-2.9631","0.1031"
"Thierry Henry","NYRB","2013","2734","575","0.5983","0.5757","12.9687","2.2554","22.6866","4.0094","0.1906"
"Darlington Nagbe","POR","2014","2922","532","0.8083","0.7842","12.8014","2.4063","15.4408","1.9105","0.157"
"Brian Mullan","COL","2013","1473","214","0.6776","0.6178","12.7933","5.9782","24.6016","4.3254","0.1078"
"Albert Rusnák","RSL","2018","2837","567","0.7213","0.6989","12.7508","2.2488","22.2876","1.3443","0.1651"
"Tomás Martínez","HOU","2019","2486","400","0.785","0.7531","12.7406","3.1851","17.7671","2.6605","0.1233"
"Juninho Pereira","LAG","2014","2940","282","0.8759","0.8307","12.7329","4.5152","19.6648","2.3958","0.0652"
"Darlington Nagbe","ATL","2018","2155","252","0.8929","0.8424","12.7162","5.0461","16.8678","2.76","0.0854"
"Seth Sinovic","SKC","2018","1793","302","0.8742","0.8325","12.5797","4.1655","17.5067","-0.1527","0.0792"
"Seth Sinovic","SKC","2017","3101","502","0.8267","0.8017","12.5277","2.4956","16.9215","-4.0733","0.1037"
"Eric Gehrig","CHI","2015","2373","161","0.764","0.6865","12.4673","7.7437","22.3695","-0.2579","0.0674"
"Miguel Ibarra","MIN","2017","1912","308","0.776","0.7356","12.4342","4.0371","16.4235","-0.4372","0.1015"
"Wil Trapp","CLB","2017","3277","211","0.8578","0.7992","12.3733","5.8641","16.359","4.4223","0.0489"
"Osvaldo Alonso","SEA","2016","3020","238","0.8655","0.814","12.2677","5.1545","18.6158","5.1349","0.0649"
"Tony Beltran","RSL","2013","2407","371","0.7655","0.7326","12.1975","3.2877","17.1694","0.947","0.1062"
"Fraser Aird","VAN","2016","1563","167","0.6527","0.5805","12.0568","7.2197","22.2159","4.6503","0.0899"
"Diego Fagundez","NER","2014","2297","390","0.7872","0.7564","12.0098","3.0794","14.9055","0.4904","0.1108"
"Giovani dos Santos","LAG","2016","2516","360","0.7083","0.675","11.9841","3.3289","20.3267","2.2412","0.1308"
"Marvell Wynne","SJE","2015","2972","343","0.7522","0.7175","11.9125","3.473","19.2191","2.7627","0.087"
"Lloyd Sam","NYRB","2014","3046","618","0.6408","0.6215","11.9015","1.9258","19.9105","1.2897","0.1706"
"A.J. DeLaGarza","HOU","2019","2188","199","0.8492","0.7895","11.896","5.9779","16.4164","-1.5418","0.0675"
"Júnior Moreno","DCU","2018","1682","80","0.9375","0.7889","11.889","14.8612","14.6695","4.5626","0.0367"
"Diego Polenta","LAG","2019","2764","144","0.7014","0.619","11.8621","8.2376","21.5631","6.206","0.0379"
"Nick DeLeon","DCU","2013","2036","295","0.7695","0.7295","11.7975","3.9991","18.5671","0.7457","0.1235"
"Luke Mulholland","RSL","2014","2123","297","0.7071","0.6674","11.7684","3.9624","18.2072","3.3338","0.0883"
"Sam Cronin","SJE","2013","3211","232","0.6767","0.6261","11.7524","5.0657","23.0752","5.2166","0.0611"
"Boniek García","HOU","2013","2056","416","0.7284","0.7002","11.7275","2.8191","19.3941","0.4368","0.172"
"Rodney Wallace","NYC","2017","2039","364","0.739","0.7069","11.6933","3.2124","15.589","0.3406","0.1372"
"Boniek García","HOU","2016","2430","542","0.7472","0.7257","11.6762","2.1543","17.318","0.9811","0.1507"
"Valeri Qazaishvili","SJE","2019","2307","401","0.7905","0.7614","11.6702","2.9103","14.7768","2.2627","0.1242"
"Tesho Akindele","FCD","2017","1652","216","0.7778","0.7238","11.6639","5.4","16.0219","-0.92","0.0778"
"Soony Saad","SKC","2013","1458","195","0.7231","0.6635","11.6187","5.9583","19.0432","0.0666","0.1034"
"Shea Salinas","SJE","2019","1514","295","0.7356","0.6965","11.521","3.9054","16.4536","-2.1207","0.0785"
"Osvaldo Alonso","SEA","2013","2351","180","0.8556","0.7916","11.5135","6.3964","19.1926","4.5962","0.0684"
"Maximiliano Moralez","NYC","2017","2774","528","0.6761","0.6544","11.495","2.1771","20.7012","1.2521","0.1633"
"Júnior Moreno","DCU","2019","2818","222","0.8198","0.7687","11.3549","5.1148","16.3385","4.038","0.0666"
"Ned Grabavoy","RSL","2014","2934","357","0.8011","0.7695","11.2948","3.1638","16.5697","3.0767","0.0853"
"Andy Rose","SEA","2013","985","94","0.7872","0.6671","11.2916","12.0123","16.7499","3.7705","0.0443"
"Victor Ulloa","FCD","2014","2583","199","0.8141","0.7577","11.2114","5.6339","17.8813","1.9694","0.0676"
"Bacary Sagna","MTL","2018","877","197","0.7817","0.7248","11.2062","5.6884","14.853","-0.8383","0.162"
"Javier Morales","FCD","2017","820","198","0.7323","0.6757","11.2033","5.6582","22.7444","1.4451","0.1028"
"Dillon Powers","COL","2013","2646","393","0.6896","0.6612","11.147","2.8364","23.7323","1.9559","0.1206"
"Rafael Ramos","ORL","2015","2153","356","0.7107","0.6794","11.1215","3.124","18.3346","0.1001","0.1283"
"Kofi Sarkodie","HOU","2014","3107","419","0.7303","0.7038","11.1084","2.6512","17.7679","1.8751","0.1091"
"Fabinho","PHI","2015","2255","264","0.7045","0.6625","11.0934","4.2021","20.5499","2.486","0.0845"
"Tony Tchani","CLB","2014","3169","268","0.8097","0.7685","11.0478","4.1223","19.0386","4.5309","0.0783"
"Paxton Pomykal","FCD","2019","2083","299","0.7492","0.7123","11.0272","3.688","18.6795","2.0819","0.1151"
"Chris Wingert","RSL","2014","2746","333","0.7718","0.7387","11.0044","3.3046","18.2763","4.0184","0.0767"
"Shaun Maloney","CHI","2015","1317","297","0.6633","0.6263","10.9921","3.701","21.7091","-0.019","0.172"
"Ricardo Clark","HOU","2014","2237","159","0.805","0.736","10.9788","6.9049","15.8946","3.5824","0.0733"
"Andrés Romero","MTL","2013","1807","180","0.6889","0.628","10.9669","6.0927","18.9967","0.453","0.0853"
"Keegan Rosenberry","PHI","2018","3008","514","0.7704","0.7491","10.9662","2.1335","16.9636","-1.2825","0.1149"
"Jorge Villafaña","POR","2015","3131","507","0.6647","0.6431","10.9573","2.1612","20.0679","0.6188","0.1145"
"Marc Rzatkowski","NYRB","2019","2546","525","0.6762","0.6555","10.8812","2.0726","19.1338","4.3098","0.1386"
"Brad Davis","SKC","2016","1415","369","0.6829","0.6538","10.7599","2.916","20.5174","-0.6267","0.124"
"Keegan Rosenberry","COL","2019","3377","338","0.7189","0.6871","10.7502","3.1805","18.3953","2.8719","0.0882"
"Diego Chara","POR","2017","2758","166","0.8614","0.7968","10.7342","6.4664","18.0791","3.0593","0.0465"
"Ignacio Piatti","MTL","2015","2337","325","0.7662","0.7331","10.7273","3.3007","17.9049","0.5148","0.1712"
"Jonathan dos Santos","LAG","2018","2062","312","0.7788","0.7445","10.7205","3.4361","18.3891","3.0519","0.1119"
"Michael Stephens","CHI","2015","1410","194","0.7887","0.7341","10.5789","5.453","18.5765","6.0049","0.0825"
"Zarek Valentin","POR","2019","1892","231","0.8355","0.7898","10.5527","4.5683","17.9801","-1.0016","0.0674"
"Victor Ulloa","FCD","2016","1799","124","0.8145","0.7295","10.5447","8.5038","16.6245","4.9496","0.0427"
"Jonathan Osorio","TOR","2016","2609","370","0.8378","0.8096","10.4419","2.8221","15.1868","1.8984","0.1097"
"Ben Sweat","NYC","2018","2379","340","0.7588","0.7283","10.3718","3.0505","17.8256","-1.4652","0.0961"
"Andrés Flores","POR","2018","1339","153","0.8105","0.7427","10.3614","6.7721","17.8907","1.7603","0.0558"
"Scott Caldwell","NER","2016","2777","264","0.8295","0.7906","10.2801","3.894","16.7569","4.5251","0.0579"
"Ezequiel Barco","ATL","2018","1843","536","0.7761","0.757","10.2478","1.9119","17.9224","1.5351","0.1454"
"Benny Feilhaber","LAFC","2018","3104","425","0.7576","0.7337","10.1603","2.3906","17.3805","4.0853","0.0932"
"Shamit Shome","MTL","2019","1783","150","0.8467","0.779","10.1474","6.7649","15.2074","2.2563","0.0569"
"Héctor Jiménez","CLB","2019","1756","261","0.7778","0.739","10.1198","3.8773","16.5414","0.0436","0.0876"
"Nick DeLeon","DCU","2017","1712","227","0.7357","0.6911","10.112","4.4546","18.8936","1.9737","0.1069"
"Andrew Farrell","NER","2014","3067","278","0.7914","0.755","10.1051","3.6349","17.6665","-0.0856","0.0719"
"Chris Pontius","PHI","2016","2686","382","0.7749","0.7484","10.1015","2.6444","16.3985","-1.0142","0.1208"
"Federico Higuaín","CLB","2014","2671","641","0.7051","0.6894","10.0942","1.5748","22.4212","1.6251","0.1786"
"Jeb Brovsky","NYC","2015","1222","148","0.7568","0.6887","10.0793","6.8104","18.0553","4.0934","0.077"
"Sebastian Lletget","LAG","2016","2210","420","0.731","0.7071","10.0206","2.3859","16.2482","2.2537","0.1349"
"Robbie Rogers","LAG","2016","1807","266","0.7406","0.703","9.9933","3.7569","17.1458","0.7501","0.1177"
"Víctor Vázquez","TOR","2018","1522","398","0.7487","0.7238","9.9384","2.4971","19.0812","1.8183","0.1199"
"Benny Feilhaber","SKC","2015","2939","425","0.6282","0.6049","9.9308","2.3367","22.6146","5.8098","0.138"
"Sean Davis","NYRB","2016","1270","174","0.7414","0.6845","9.9017","5.6906","17.5585","3.331","0.061"
"Nick DeLeon","TOR","2019","2015","362","0.7873","0.7601","9.8543","2.7222","16.3597","-0.277","0.0817"
"Chris Korb","DCU","2015","1557","146","0.6986","0.6311","9.8531","6.7487","22.858","3.1003","0.0861"
"Uriel Antuna","LAG","2019","2591","456","0.6974","0.6758","9.8362","2.1571","17.8101","-0.5142","0.122"
"Will Johnson","POR","2015","1110","87","0.7586","0.6456","9.8317","11.3008","27.3566","-1.7488","0.0626"
"Valeri Qazaishvili","SJE","2017","839","142","0.8239","0.755","9.7852","6.891","16.1491","1.0609","0.1354"
"Osvaldo Alonso","SEA","2017","2229","225","0.8711","0.8277","9.7662","4.3405","18.2745","4.6557","0.0634"
"Kofi Sarkodie","SJE","2016","1111","141","0.7943","0.7251","9.7582","6.9207","19.1222","0.907","0.0725"
"Michael Barrios","FCD","2016","2577","385","0.6857","0.6605","9.7253","2.526","17.3362","-0.9092","0.1402"
"Jesús Medina","NYC","2018","2163","353","0.745","0.7175","9.7211","2.7539","15.1964","1.0972","0.12"
"Benny Feilhaber","SKC","2016","2763","533","0.6754","0.6572","9.7055","1.8209","21.2233","3.2985","0.1382"
"Scott Caldwell","NER","2017","2357","213","0.8122","0.7668","9.6685","4.5392","18.139","3.1536","0.0557"
"RJ Allen","ORL","2018","1082","130","0.6846","0.6103","9.6657","7.4351","21.0617","2.5335","0.0608"
"Raymon Gaddis","PHI","2015","2584","252","0.746","0.7078","9.6393","3.8251","17.2999","2.7363","0.0779"
"Shkëlzen Gashi","COL","2016","2218","386","0.6477","0.6227","9.6278","2.4942","22.4577","1.0484","0.1594"
"Rodney Wallace","POR","2013","2154","425","0.7059","0.6832","9.6215","2.2639","16.3987","0.4549","0.135"
"Jordan Stewart","SJE","2013","1165","114","0.7368","0.6527","9.5974","8.4188","21.0615","5.0156","0.0869"
"Osvaldo Alonso","MIN","2019","2585","162","0.8642","0.805","9.5961","5.9235","17.3964","5.8068","0.048"
"Andrew Jacobson","NYC","2015","3044","174","0.7816","0.7268","9.5412","5.4834","17.0065","4.5471","0.0509"
"Diego Fagundez","NER","2017","2603","558","0.7455","0.7285","9.4996","1.7024","15.5187","2.204","0.1658"
"Ryan Hollingshead","FCD","2019","3286","384","0.7448","0.7201","9.4928","2.4721","17.7208","1.3734","0.1079"
"Carlos Vela","LAFC","2018","2616","648","0.6929","0.6783","9.4436","1.4573","21.1426","2.4782","0.1944"
"Gregory van der Wiel","TOR","2018","2495","228","0.7763","0.7349","9.4357","4.1384","17.1213","0.7334","0.0581"
"Lee Nguyen","NER","2014","2946","630","0.7571","0.7423","9.3775","1.4885","16.9944","3.1735","0.1688"
"Scott Sutter","ORL","2018","1696","242","0.7273","0.6885","9.3768","3.8747","17.9726","-0.0561","0.0967"
"Marcelo Sarvas","LAG","2014","2372","328","0.7988","0.7703","9.3533","2.8516","17.4353","2.9371","0.0937"
"Gerso","SKC","2018","1792","343","0.723","0.6958","9.3517","2.7264","15.9597","-2.6313","0.0855"
"Ned Grabavoy","NYC","2015","2025","268","0.7761","0.7413","9.3194","3.4774","14.2147","0.9917","0.0984"
"Romell Quioto","HOU","2018","2427","462","0.6169","0.5968","9.2984","2.0126","23.4107","0.0092","0.1426"
"Jozy Altidore","TOR","2019","1835","271","0.7823","0.748","9.2901","3.4281","14.5667","0.8648","0.0983"
"Joevin Jones","CHI","2015","2428","360","0.7139","0.6881","9.2852","2.5792","19.0104","-0.4354","0.1128"
"Gonzalo Pineda","SEA","2015","2000","204","0.7255","0.68","9.2837","4.5508","21.4977","3.9574","0.0724"
"Tommy Thompson","SJE","2019","2468","354","0.822","0.7958","9.2784","2.621","14.6451","0.165","0.0832"
"Luciano Acosta","DCU","2018","2973","613","0.7129","0.6978","9.2751","1.5131","15.1268","4.243","0.1877"
"DeAndre Yedlin","SEA","2013","2945","357","0.7171","0.6911","9.2688","2.5963","18.266","2.4517","0.1009"
"Lee Nguyen","NER","2017","2706","625","0.6816","0.6669","9.2099","1.4736","20.9365","1.9552","0.1798"
"Soony Saad","SKC","2014","1018","138","0.7101","0.6434","9.2057","6.6708","19.2069","-0.2717","0.0776"
"Lloyd Sam","NYRB","2015","2375","544","0.6618","0.6448","9.205","1.6921","16.5496","1.2343","0.1266"
"Raymon Gaddis","PHI","2018","2499","223","0.8341","0.793","9.1594","4.1073","17.6976","-0.772","0.0575"
"Wil Trapp","CLB","2015","1657","130","0.7923","0.7221","9.1241","7.0185","20.1681","5.1732","0.0494"
"Jorge Villafaña","POR","2014","1719","249","0.6787","0.6424","9.0343","3.6282","17.6884","1.4026","0.1013"
