"Player","Team","Season","MinutesIncludes stoppage time.","Passes","Pass %Pass Completion","xPass %Expected pass completion percentage.","ScoreNumber of passes completed over/under expected.","Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","Touch %Players' share of their team's number of touches."
"Nicolás Lodeiro","SEA","2018","2644","823","0.7205","0.6726","39.4752","4.7965","21.3082","1.8263","0.2205"
"Darlington Nagbe","POR","2015","3015","528","0.8485","0.7863","32.8084","6.2137","16.5601","1.6771","0.1413"
"Chris Tierney","NER","2015","2812","710","0.6662","0.6204","32.5005","4.5775","22.9067","0.9692","0.1485"
"Brad Davis","HOU","2013","2326","512","0.6914","0.6312","30.8432","6.0241","22.2654","-0.2576","0.1711"
"Haris Medunjanin","PHI","2019","3374","553","0.698","0.6422","30.8358","5.5761","25.2778","6.2682","0.0983"
"Magnus Eriksson","SJE","2019","3061","833","0.7311","0.6942","30.7077","3.6864","18.0544","2.0492","0.1838"
"Graham Zusi","SKC","2017","2290","463","0.7862","0.7203","30.4964","6.5867","21.2801","-0.6088","0.1375"
"Ilsinho","PHI","2019","1230","384","0.8411","0.7629","30.0289","7.82","14.8132","-0.5436","0.1029"
"Jamiro Monteiro","PHI","2019","2249","464","0.8017","0.741","28.1548","6.0678","16.5179","3.6832","0.1221"
"Darlington Nagbe","POR","2017","2517","408","0.9069","0.8397","27.393","6.714","16.7407","2.7172","0.1218"
"Kelvin Leerdam","SEA","2019","2611","458","0.7642","0.7056","26.8341","5.859","16.9363","0.7164","0.112"
"Javier Morales","RSL","2015","2302","735","0.7333","0.697","26.6892","3.6312","20.1134","2.3613","0.2359"
"Brad Davis","HOU","2014","2176","551","0.6497","0.6016","26.5416","4.817","23.316","0.58","0.1812"
"Alejandro Bedoya","PHI","2018","3010","410","0.822","0.761","25.009","6.0998","15.5328","1.1032","0.0937"
"Darlington Nagbe","ATL","2019","3071","388","0.9201","0.8592","23.6421","6.0933","16.3975","3.2078","0.0822"
"Jonathan Osorio","TOR","2018","2809","472","0.8475","0.7986","23.0515","4.8838","14.3146","0.1637","0.1201"
"Clint Dempsey","SEA","2014","2294","387","0.8295","0.771","22.6395","5.85","14.1451","1.9889","0.1529"
"Joao Plata","RSL","2014","2106","432","0.7269","0.6748","22.5013","5.2086","17.2431","-0.7542","0.1369"
"Ned Grabavoy","RSL","2013","2924","346","0.8121","0.748","22.1831","6.4113","15.1555","1.4272","0.0911"
"Valeri Qazaishvili","SJE","2018","2918","492","0.7642","0.7194","22.0517","4.4821","17.7044","1.2164","0.1641"
"Cristián Maidana","HOU","2016","1815","589","0.7165","0.6793","21.8649","3.7122","19.9983","1.989","0.1527"
"Miguel Ibarra","MIN","2018","2950","486","0.7551","0.711","21.4364","4.4108","16.5911","0.7501","0.1381"
"Jorge Villafaña","POR","2019","2138","340","0.7265","0.6635","21.4243","6.3013","19.4971","0.3599","0.0941"
"Joevin Jones","SEA","2016","2727","469","0.7335","0.6883","21.1832","4.5167","16.7938","-0.257","0.1112"
"Nani","ORL","2019","2495","666","0.7087","0.6769","21.1523","3.176","19.0836","1.7048","0.1765"
"Sacha Kljestan","ORL","2018","2724","662","0.7976","0.7662","20.8028","3.1424","16.9772","0.7591","0.164"
"Javier Morales","RSL","2016","2366","700","0.7586","0.7292","20.5617","2.9374","18.6468","2.415","0.1806"
"Waylon Francis","CLB","2015","2572","394","0.7132","0.6617","20.2835","5.1481","21.4817","0.3611","0.1069"
"Djordje Mihailovic","CHI","2019","1600","245","0.7429","0.6606","20.1631","8.2298","21.5666","2.2995","0.0764"
"Sebastian Lletget","LAG","2019","2517","463","0.7559","0.7139","19.4529","4.2015","17.5727","1.9572","0.1143"
"Zarek Valentin","POR","2018","2994","298","0.8087","0.744","19.2889","6.4728","20.5299","-0.049","0.0705"
"Chris McCann","ATL","2018","1986","287","0.7944","0.7272","19.2888","6.7208","18.6982","0.1098","0.0801"
"Osvaldo Alonso","SEA","2018","1980","209","0.9043","0.8129","19.105","9.1412","19.8545","4.9367","0.0584"
"Jorge Moreira","POR","2019","2482","525","0.701","0.665","18.8804","3.5963","20.5855","-0.1884","0.1316"
"Héctor Jiménez","CLB","2015","1216","237","0.7046","0.6256","18.7267","7.9016","22.8764","0.2708","0.0783"
"Cristian Roldan","SEA","2019","2783","415","0.7783","0.7334","18.6482","4.4936","18.2913","3.5797","0.11"
"Joao Plata","RSL","2017","2461","634","0.6814","0.652","18.6033","2.9343","17.8489","0.9033","0.1812"
"Steven Beitashour","LAFC","2018","2876","416","0.7981","0.7534","18.5872","4.4681","16.9528","0.4301","0.0887"
"Graham Zusi","SKC","2018","3369","787","0.7078","0.6843","18.4399","2.3431","21.8635","-0.063","0.1328"
"Diego Valeri","POR","2019","2857","867","0.6482","0.627","18.4222","2.1248","22.3809","1.6249","0.1936"
"Reggie Cannon","FCD","2019","2523","330","0.8","0.7449","18.1704","5.5062","16.7117","-1.0956","0.1067"
"Sean Franklin","LAG","2013","2946","543","0.7422","0.709","18.0333","3.3211","17.144","0.7063","0.109"
"Jørgen Skjelvik","LAG","2019","1846","271","0.7934","0.7277","17.7923","6.5654","15.8051","-1.4793","0.0913"
"Jordan Harvey","LAFC","2019","2556","375","0.8587","0.8114","17.7181","4.7248","15.7787","-2.2718","0.0675"
"Diego Fagundez","NER","2015","1888","400","0.8025","0.7583","17.6742","4.4185","16.4927","0.5566","0.1035"
"Albert Rusnák","RSL","2019","2658","470","0.7511","0.7135","17.6507","3.7555","21.7288","0.427","0.1538"
"Ilsinho","PHI","2018","1071","320","0.8062","0.7512","17.6094","5.5029","15.6221","1.5741","0.1122"
"Osvaldo Alonso","SEA","2014","3183","209","0.89","0.8058","17.5801","8.4115","16.6122","4.2737","0.0564"
"Cristian Roldan","SEA","2018","3329","483","0.793","0.7568","17.4775","3.6185","16.9403","0.0538","0.1117"
"Ashley Cole","LAG","2018","2909","291","0.7766","0.7173","17.2742","5.9361","17.6008","0.739","0.0793"
"Darlington Nagbe","POR","2016","2617","357","0.8123","0.7643","17.1473","4.8032","16.5378","2.78","0.1231"
"Lee Nguyen","NER","2016","3106","734","0.718","0.6948","17.023","2.3192","19.1234","3.8914","0.1705"
"Ismael Tajouri-Shradi","NYC","2018","1672","408","0.7304","0.6888","16.9548","4.1556","17.5752","0.6122","0.1248"
"Sacha Kljestan","NYRB","2016","2821","966","0.7039","0.6864","16.9242","1.752","18.0596","1.822","0.2"
"Jonathan dos Santos","LAG","2019","2769","401","0.7107","0.6686","16.9054","4.2158","22.172","3.0109","0.0897"
"Nicolás Lodeiro","SEA","2017","3175","946","0.6945","0.6767","16.8872","1.7851","21.137","1.5534","0.2112"
"Robbie Keane","LAG","2014","2734","482","0.7137","0.679","16.7431","3.4737","16.3932","3.7723","0.1646"
"Cristian Roldan","SEA","2017","3171","384","0.7604","0.7171","16.6229","4.3289","18.555","3.8842","0.0923"
"Alejandro Bedoya","PHI","2019","3118","576","0.7986","0.7703","16.3095","2.8315","14.7216","-0.7573","0.1114"
"Alejandro Pozuelo","TOR","2019","2728","935","0.7166","0.6992","16.2646","1.7395","19.7548","2.286","0.2037"
"Haris Medunjanin","PHI","2017","3298","397","0.5945","0.5538","16.1539","4.069","29.261","2.2635","0.1096"
"Ignacio Piatti","MTL","2016","3035","384","0.7812","0.7399","15.8912","4.1383","16.6394","1.4405","0.1889"
"Lee Nguyen","LAFC","2019","1323","349","0.8481","0.8026","15.8892","4.5528","14.6638","1.8136","0.0822"
"Jonathan Osorio","TOR","2015","2360","328","0.8293","0.7809","15.8798","4.8414","15.1244","0.5319","0.1026"
"Joevin Jones","SEA","2017","2610","626","0.7412","0.7159","15.8643","2.5342","16.9345","-1.5088","0.1476"
"Reggie Cannon","FCD","2018","3198","414","0.7826","0.7443","15.8556","3.8299","16.5507","-0.9825","0.0943"
"Michael Harrington","POR","2013","3189","422","0.7867","0.7494","15.7712","3.7373","18.8053","1.2372","0.0887"
"Juninho Pereira","LAG","2013","2963","407","0.7469","0.7082","15.7467","3.869","26.0912","1.9926","0.0902"
"Graham Zusi","SKC","2016","1790","407","0.7076","0.6695","15.5287","3.8154","22.3832","-0.0624","0.1519"
"Marcelo Sarvas","LAG","2013","3083","412","0.7864","0.7488","15.488","3.7592","17.3632","4.705","0.1002"
"Sal Zizzo","NYRB","2017","1787","229","0.7817","0.715","15.2548","6.6615","16.0539","1.7667","0.0651"
"Tony Beltran","RSL","2015","2996","415","0.7735","0.7368","15.2254","3.6688","16.1547","1.8009","0.1071"
"Edgar Mejía","CHV","2013","2428","218","0.6743","0.6047","15.1714","6.9594","29.5238","2.7505","0.0865"
"Sebastian Lletget","LAG","2018","2030","415","0.7446","0.708","15.1655","3.6543","18.7879","0.7776","0.1265"
"Boniek García","HOU","2019","2822","337","0.822","0.777","15.1488","4.4952","17.3998","3.0903","0.0866"
"Tomás Martínez","HOU","2018","2610","495","0.7859","0.7556","14.9765","3.0255","18.1977","3.2432","0.1496"
"Aaron Herrera","RSL","2019","3028","352","0.7898","0.7476","14.8455","4.2175","18.511","1.4378","0.1014"
"Tony Beltran","RSL","2014","2690","427","0.8126","0.7779","14.8424","3.476","15.6211","0.8387","0.1059"
"Vytautas Andriuskevicius","POR","2017","1937","339","0.7227","0.6791","14.7885","4.3624","18.5229","0.8701","0.1033"
"Bacary Sagna","MTL","2019","2390","461","0.7267","0.6947","14.7499","3.1995","16.4924","-0.3315","0.1283"
"Auro","TOR","2019","2035","429","0.8112","0.7768","14.7453","3.4371","15.3575","-1.8866","0.112"
"Jordan Harvey","LAFC","2018","2360","305","0.823","0.7748","14.6963","4.8184","16.0365","-0.9166","0.0701"
"Giovani dos Santos","LAG","2017","2360","295","0.7492","0.6994","14.6647","4.9711","21.2964","4.1232","0.1239"
"Andy Polo","POR","2019","1186","244","0.8074","0.7476","14.5943","5.9813","16.3195","0.7084","0.0805"
"Chris Tierney","NER","2014","2081","442","0.681","0.648","14.58","3.2987","22.6958","0.0029","0.1317"
"Darlington Nagbe","POR","2013","3036","580","0.8293","0.8042","14.5426","2.5073","14.9414","0.6454","0.1542"
"Victor Ulloa","FCD","2018","2355","225","0.7956","0.7311","14.4967","6.443","18.6795","1.7352","0.07"
"DaMarcus Beasley","HOU","2018","2435","312","0.8429","0.7968","14.3848","4.6105","17.0314","-1.9631","0.0922"
"Haris Medunjanin","PHI","2018","2723","340","0.7","0.6578","14.3491","4.2203","24.4284","3.3834","0.0861"
"Auro","TOR","2018","1545","361","0.7784","0.7389","14.2447","3.9459","16.3081","-0.0162","0.1327"
"Diego Fagundez","NER","2016","2410","441","0.7687","0.7364","14.2429","3.2297","15.7773","1.9652","0.1114"
"Brad Davis","HOU","2015","2784","626","0.6326","0.6099","14.2004","2.2684","21.0754","1.1193","0.1852"
"Robbie Keane","LAG","2013","2113","418","0.7512","0.7174","14.1268","3.3796","14.8886","3.7347","0.1623"
"Rolf Feltscher","LAG","2019","2370","429","0.6993","0.6666","14.021","3.2683","18.0566","0.7047","0.1119"
"Diego Chara","POR","2019","2910","293","0.8532","0.8056","13.9631","4.7656","17.0691","4.5443","0.0603"
"Greg Garza","ATL","2017","2320","449","0.7506","0.7195","13.9501","3.1069","17.9144","-0.378","0.1206"
"Víctor Vázquez","TOR","2017","2517","604","0.7252","0.7021","13.9217","2.3049","22.0839","0.7778","0.1519"
"Jordan Stewart","SJE","2016","1309","171","0.8363","0.7556","13.8","8.0702","15.6463","2.4305","0.0971"
"Milton Valenzuela","CLB","2018","2758","520","0.7365","0.7101","13.7378","2.6419","17.1698","-0.5082","0.129"
"Ronald Matarrita","NYC","2018","1500","321","0.7196","0.6769","13.7145","4.2724","18.749","-0.3074","0.0962"
"Giovani dos Santos","LAG","2018","888","144","0.7917","0.6969","13.6506","9.4796","19.9628","3.1106","0.0926"
