"Player","Team","Season","MinutesIncludes stoppage time.","Passes","Pass %Pass Completion","xPass %Expected pass completion percentage.","ScoreNumber of passes completed over/under expected.","Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","Touch %Players' share of their team's number of touches."
"Jon Busch","SJE","2013","3224","1066","0.575","0.5025","77.3457","7.2557","54.3402","49.3977","0.1426"
"Clint Irwin","COL","2013","3110","876","0.5947","0.5128","71.7884","8.195","54.5034","49.7157","0.1422"
"Ned Grabavoy","RSL","2013","2924","1327","0.8621","0.8244","49.9768","3.7661","15.7653","2.2442","0.0829"
"Diego Chara","POR","2013","2963","1631","0.8584","0.8313","44.1562","2.7073","18.8966","5.9471","0.104"
"James Riley","DCU","2013","1877","1167","0.8475","0.8112","42.3446","3.6285","18.3444","6.6325","0.1101"
"Juninho Pereira","LAG","2013","2963","1873","0.8313","0.8087","42.3383","2.2605","23.4666","6.2586","0.1139"
"Osvaldo Alonso","SEA","2013","2351","1514","0.8804","0.8536","40.6211","2.683","21.1485","6.0767","0.1193"
"Sean Franklin","LAG","2013","2946","1678","0.7825","0.7604","37.0152","2.2059","19.6553","6.2038","0.0994"
"Brad Davis","HOU","2013","2326","1227","0.7637","0.7361","33.8216","2.7564","21.1268","3.445","0.0996"
"Nathan Sturgis","COL","2013","2186","1296","0.841","0.8167","31.6207","2.4399","19.318","5.5294","0.1057"
"Matt Reis","NER","2013","1085","408","0.6863","0.6117","30.4193","7.4557","48.693","42.4034","0.1981"
"Jeb Brovsky","MTL","2013","2832","1548","0.801","0.7825","28.621","1.8489","20.1789","8.2644","0.1059"
"Drew Moor","COL","2013","3023","1287","0.8034","0.7814","28.3595","2.2035","25.179","13.6933","0.0969"
"Chad Marshall","CLB","2013","2857","822","0.8151","0.7837","25.8326","3.1426","24.5959","10.2718","0.0818"
"Joe Bendik","TOR","2013","3220","888","0.5101","0.4836","23.5205","2.6487","60.161","55.5656","0.1279"
"Jhon Kennedy Hurtado","SEA","2013","2434","834","0.8417","0.8139","23.1896","2.7805","22.1249","8.4227","0.0785"
"Javier Morales","RSL","2013","2466","1912","0.784","0.7724","22.2585","1.1641","19.8263","4.2191","0.1263"
