"Player","Team","Season","MinutesIncludes stoppage time.","Passes","Pass %Pass Completion","xPass %Expected pass completion percentage.","ScoreNumber of passes completed over/under expected.","Per100Passes completed over/under expected, measured per 100 passes.","DistanceAverage distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","VerticalAverage vertical distance of completed passes, measured in yards. Assumes 115x80 field dimensions.","Touch %Players' share of their team's number of touches."
"Jonathan dos Santos","LAG","2019","2769","1716","0.9382","0.8869","88.0699","5.1323","18.9531","4.4213","0.1516"
"Reto Ziegler","FCD","2019","3208","2038","0.8862","0.8433","87.3668","4.2869","23.4522","8.9537","0.1349"
"Jon Busch","SJE","2014","3310","1164","0.6375","0.5626","87.1403","7.4863","50.0123","44.5589","0.1775"
"Matt Besler","SKC","2018","3020","2060","0.8782","0.837","84.7735","4.1152","23.9366","9.6778","0.152"
"Diego Chara","POR","2019","2910","1545","0.9236","0.8713","80.8666","5.2341","20.5291","6.8824","0.132"
"Osvaldo Alonso","SEA","2014","3183","1979","0.9085","0.869","78.1958","3.9513","20.8994","6.7177","0.1466"
"Jon Busch","SJE","2013","3224","1066","0.575","0.5025","77.3457","7.2557","54.3402","49.3977","0.1446"
"Osvaldo Alonso","SEA","2016","3020","1999","0.911","0.8742","73.3756","3.6706","21.3364","6.1196","0.149"
"Eddie Segura","LAFC","2019","3249","1927","0.8962","0.8584","72.8793","3.782","20.6407","8.0964","0.128"
"Bastian Schweinsteiger","CHI","2019","2927","1707","0.8799","0.8373","72.7644","4.2627","23.7993","9.5957","0.1433"
"Clint Irwin","COL","2013","3110","876","0.5947","0.5128","71.7884","8.195","54.5034","49.7157","0.1422"
"Chad Marshall","SEA","2016","2818","1238","0.853","0.7952","71.5864","5.7824","23.7248","11.5184","0.1022"
"Michael Bradley","TOR","2019","2593","1849","0.9032","0.865","70.5786","3.8171","21.0082","6.5465","0.1469"
"Matt Hedges","FCD","2019","3206","1921","0.8782","0.8426","68.3133","3.5561","23.2142","9.4992","0.1292"
"Alexander Callens","NYC","2017","3304","1936","0.859","0.8238","68.0824","3.5167","23.1436","9.3315","0.1281"
"Alexander Callens","NYC","2018","2981","2044","0.8713","0.8381","67.8277","3.3184","21.3852","7.6763","0.1316"
"Michael Parkhurst","CLB","2015","3118","1604","0.8591","0.817","67.6079","4.215","26.2179","10.6944","0.1238"
"Gregory van der Wiel","TOR","2018","2495","1221","0.9034","0.8484","67.0951","5.4951","19.6805","4.6469","0.1015"
"David Bingham","LAG","2019","3259","1022","0.6791","0.614","66.5092","6.5077","46.2035","39.6073","0.1733"
"Wil Trapp","CLB","2017","3277","2075","0.8954","0.8635","66.3028","3.1953","21.4314","6.6846","0.1436"
"Michael Bradley","TOR","2018","3095","2415","0.8882","0.861","65.5723","2.7152","21.1767","7.0938","0.1572"
"Chad Marshall","SEA","2017","2550","973","0.9024","0.8376","62.9837","6.4731","23.0601","8.1183","0.0884"
"Diego Polenta","LAG","2019","2764","1264","0.8354","0.7859","62.6769","4.9586","22.4389","10.3164","0.1194"
"Frédéric Brillant","NYC","2016","3015","1589","0.8408","0.8018","61.9416","3.8982","24.5074","10.5947","0.1246"
