"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"LAFC","2019","34","85","57","5","1","4","6.4537","4.2175","2.2362","1.7638","72","72.643"
"NYRB","2018","34","65","66","9","6","3","5.9476","4.9299","1.0177","1.9823","71","59.418"
"ATL","2018","34","58","52","4","4","0","4.9092","4.3674","0.5418","-0.5418","69","64.496"
"TOR","2017","34","62","61","5","5","0","4.2341","5.8149","-1.5807","1.5807","69","54.298"
"NYC","2019","34","59","52","2","2","0","2.9101","4.6039","-1.6938","1.6938","64","53.73"
"SEA","2014","34","53","52","7","5","2","4.7532","2.7627","1.9905","0.0095","64","54.581"
"SKC","2018","34","68","52","6","2","4","6.6186","3.5556","3.0629","0.9371","62","56.125"
"LAG","2014","34","75","39","8","4","4","6.7528","2.4565","4.2963","-0.2963","61","65.171"
"NYRB","2015","34","77","60","5","7","-2","6.2908","4.6402","1.6506","-3.6506","60","60.649"
"FCD","2015","34","44","46","6","5","1","4.5799","3.1938","1.3861","-0.3861","60","47.088"
"FCD","2016","34","55","36","4","4","0","2.9806","3.2034","-0.2227","0.2227","60","54.368"
"NYRB","2013","34","44","60","9","8","1","4.2586","5.7875","-1.5289","2.5289","59","46.82"
"DCU","2014","34","56","49","5","10","-5","4.3079","5.3412","-1.0334","-3.9666","59","40.791"
"SEA","2018","34","52","56","5","5","0","4.4436","4.2712","0.1724","-0.1724","59","44.7"
"ATL","2019","34","80","61","4","3","1","5.063","5.2095","-0.1465","1.1465","58","54.997"
"SKC","2013","34","72","47","5","1","4","5.9616","3.0406","2.921","1.079","58","54.634"
"COL","2016","34","47","58","3","3","0","3.3329","3.8003","-0.4674","0.4674","58","44.299"
"NYC","2017","34","76","62","4","4","0","5.6342","3.9648","1.6694","-1.6694","57","54.594"
"FCD","2018","34","65","66","5","5","0","5.3355","4.963","0.3724","-0.3724","57","51.977"
"POR","2013","34","54","66","6","4","2","4.4229","4.8263","-0.4034","2.4034","57","51.638"
