"Player","Team","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"Ola Kamara","CLB","-0.6709","0.6653","-0.4977","-0.1408","4.4297","1.6982","5.4838"
"Ignacio Piatti","MTL","2.6561","0.5659","-0.3188","0.9073","0.4826","0.7992","5.0923"
"Bradley Wright-Phillips","NYRB","0.1381","-0.2263","0.4935","-0.3932","3.3691","1.2664","4.6476"
"Sebastian Giovinco","TOR","2.109","0.7008","-0.2865","2.2283","-0.8867","0.6873","4.5522"
"David Villa","NYC","1.6845","0.283","0.0958","0.5869","0.6677","0.861","4.1789"
"Patrick Nyarko","DCU","-0.1108","0.3488","0.224","1.3697","1.2174","0.0538","3.1029"
"Justin Meram","CLB","1.2855","0.516","0.1382","-0.0631","0.7217","0.2783","2.8766"
"Diego Valeri","POR","0.8374","0.1624","-0.4219","2.4264","-0.1653","0.0291","2.8681"
"David Accam","CHI","3.7976","-0.0204","-0.4192","-0.4941","-0.5083","0.3691","2.7247"
"Jordan Morris","SEA","2.6549","-0.3691","-0.8975","-0.0839","1.389","-0.0517","2.6417"
"Kaká","ORL","1.3119","0.4359","-0.2099","1.2078","-0.517","0.3719","2.6006"
"Juan Agudelo","NER","-0.6911","-0.0348","0.0126","-0.5816","3.2464","0.6318","2.5833"
"Michael Bradley","TOR","0.3369","0.1361","0.7732","1.7651","-0.3784","-0.0777","2.5552"
"Robbie Keane","LAG","0.8257","0.4506","-0.3373","0.3611","1.0779","0.0298","2.4078"
"Jozy Altidore","TOR","-0.0615","0.4674","0.2388","0.3719","0.9808","0.1858","2.1832"
"Fanendo Adi","POR","-0.4631","-0.1205","-0.3376","-1.1788","3.2903","0.9649","2.1552"
"Cyle Larin","ORL","-2.0016","-0.1816","-0.2004","0.102","3.6969","0.6815","2.0968"
"John Stiven Mendoza","NYC","0.783","0.218","-0.0234","0.2786","0.2398","0.5356","2.0316"
"Osvaldo Alonso","SEA","0.3961","-0.2115","1.2484","0.9103","-0.1062","-0.2805","1.9566"
"Patrick Mullins","DCU","0.2679","-0.1424","-0.2143","-0.2616","1.7438","0.555","1.9484"
"Yura Movsisyan","RSL","0.5592","0.8853","-0.5413","-0.4689","1.2496","0.2044","1.8883"
"Jelle Van Damme","LAG","0.4265","-0.2829","-0.2915","1.4724","0.4766","0.0394","1.8405"
"Chris Pontius","PHI","-0.2612","0.5841","-0.5981","0.3973","1.4259","0.2011","1.7491"
"Lloyd Sam","NYRB","0.3189","0.2472","-0.0325","0.7611","0.3172","0.0847","1.6966"
"Harrison Afful","CLB","0.175","-0.2223","0.3353","0.3703","0.7609","0.1334","1.5526"
"C.J. Sapong","PHI","-1.057","0.3109","-0.0513","-0.2516","1.982","0.6039","1.5369"
"Giovani dos Santos","LAG","1.516","0.0802","-0.6144","0.3118","0.0906","0.1482","1.5324"
"Juan Manuel Martínez","RSL","0.0778","0.7731","-0.0653","0.3712","0.2487","0.0288","1.4343"
"Jonathan Campbell","CHI","0.002","0.0888","1.6602","-0.0098","-0.3307","-0.0797","1.3308"
"Matt Besler","SKC","0.1728","0.1655","-0.0854","0.9348","0.1476","-0.0118","1.3235"
"Alvas Powell","POR","0.2196","0.0743","2.0142","-0.6839","-0.1961","-0.1097","1.3184"
"Dom Dwyer","SKC","-1.7151","0.2625","-0.1122","-0.0607","2.6005","0.3009","1.2759"
"Luciano Acosta","DCU","1.5005","-0.125","-0.5742","0.9386","-0.3616","-0.164","1.2143"
"Benny Feilhaber","SKC","0.092","0.4124","-0.4455","1.4733","-0.2746","-0.0457","1.2119"
"Kendall Waston","VAN","-0.3963","-0.2599","1.1616","-0.0472","0.5797","0.1736","1.2115"
"Dax McCarty","NYRB","0.1666","-0.0589","-0.2917","0.856","0.7942","-0.2626","1.2036"
"Lawrence Olum","SKC","0.0945","0.0811","-0.2541","0.3607","0.8048","0.1157","1.2027"
"Frank Lampard","NYC","-0.6096","0.084","-0.6294","-0.3741","1.8285","0.8897","1.1891"
"Clint Dempsey","SEA","0.2479","-0.0645","-0.493","0.0916","0.9973","0.3836","1.1629"
"Teal Bunbury","NER","-0.7317","-0.0534","0.4112","-1.1683","2.373","0.3072","1.138"
"Tony Tchani","CLB","0.6312","-0.0515","0.0728","0.3853","-0.0093","0.0626","1.0911"
"Didier Drogba","MTL","-0.6004","-0.0057","-0.0315","0.4225","0.7864","0.4773","1.0486"
"Jack McInerney","POR","-0.7155","0.1422","-0.178","-0.4275","1.6728","0.5298","1.0238"
"Johan Kappelhof","CHI","0.4389","0.0462","1.625","-0.4309","-0.6666","-0.0085","1.0041"
"Matteo Mancosu","MTL","0.1418","0.3837","-0.174","0.0618","0.422","0.1608","0.9961"
"Matt Hedges","FCD","0.2556","0.3075","-0.6329","0.2957","0.5345","0.2243","0.9847"
"David Mateos","ORL","0.2004","-0.2602","0.8244","0.4649","-0.2621","0.0151","0.9825"
"Michael Parkhurst","CLB","0.2341","0.3504","0.2562","0.8635","-0.7142","-0.0222","0.9678"
"Álvaro Saborio","DCU","-0.4191","-0.1367","-0.0019","-0.3331","1.3432","0.5054","0.9578"
"Darren Mattocks","POR","1.1087","-0.1438","0.1781","0.2188","-0.1486","-0.2788","0.9344"
"Sebastien Le Toux","PHI","-0.4943","-0.09","-0.0347","1.151","0.2878","0.0979","0.9177"
"Chad Marshall","SEA","-0.3887","-0.218","0.9299","0.2094","0.2808","0.1012","0.9146"
"Khaly Thiam","CHI","0.021","0.0653","0.6444","-0.3017","0.3811","0.1033","0.9134"
"Arturo Álvarez","CHI","0.891","0.2124","0.0888","0.4966","-0.7205","-0.0618","0.9065"
"Khiry Shelton","NYC","1.0165","-0.5034","-0.2573","0.0882","0.4365","0.1093","0.8898"
"Kwadwo Poku","NYC","0.3768","0.4944","0.0577","0.0292","-0.0537","-0.0253","0.8791"
"Mauro Díaz","FCD","-0.2202","0.0352","-0.418","2.2615","-0.5414","-0.2411","0.876"
"Octavio Rivero","VAN","-1.0565","0.3163","0.0814","0.4363","1.0207","0.0644","0.8626"
